	Dataset	Scenario	N Exts.	Ext. Midpoint		Genetic			Phenotypic		
				Group	Lat.	MLE1sp	MLE2sp	BF	BIC1sp	BIC2sp	_BIC
Pre-Extinction	P	1	0	Ð	Ð	Ð	Ð	Ð	-8359	-8378	-19.38
	G	1	0	1.5	-5.28	-3302	-3282	40.1	Ð	Ð	Ð
	G	2	0	2.5	-6.15	-3302	-3260	82.76	Ð	Ð	Ð
	G	3	0	3.5	-6.73	-3302	-3285	33.29	Ð	Ð	Ð
	G	4	0	4.5	-7.38	-3302	-3289	24.81	Ð	Ð	Ð
	G	5	0	5.5	-8.34	-3302	-3300	3.52	Ð	Ð	Ð
	G	6	0	6.5	-9.28	-3302	-3299	4.45	Ð	Ð	Ð
	G	7	0	7.5	-9.76	-3302	-3302	-0.87	Ð	Ð	Ð
	G	8	0	8.5	-10.23	-3302	-3304	-3.82	Ð	Ð	Ð
Post-Extinction	G+P	1	1	2	-5.8	-3127	-3100	52.52	-7752	-7774	-22.82
	G+P	2	1	3	-6.5	-3152	-3114	76.69	-7767	-7753	14.69
	G+P	3	1	4	-6.96	-2810	-2795	30.13	-7257	-7232	25.07
	G+P	4	1	5	-7.8	-2978	-2969	19.71	-7345	-7366	-21.18
	G+P	5	1	6	-8.88	-2985	-2983	4.06	-7554	-7576	-22.26
	G+P	6	1	7	-9.68	-2862	-2860	2.94	-7641	-7661	-19.68
	G+P	7	1	8	-9.84	-3152	-3153	-2.92	-8156	-8178	-22.51
	G+P	8	2	2.5	-6.15	-2978	-2954	48.36	-7154	-7170	-15.96
	G+P	9	2	3.5	-6.73	-2659	-2623	71.02	-6667	-6611	56.28
	G+P	10	2	4.5	-7.38	-2485	-2473	24.35	-6220	-6214	5.79
	G+P	11	2	5.5	-8.34	-2663	-2652	22.37	-6533	-6563	-30.71
	G+P	12	2	6.5	-9.28	-2547	-2545	4.01	-6838	-6855	-16.85
	G+P	13	2	7.5	-9.76	-2711	-2711	-0.47	-7426	-7438	-12.07
	G+P	14	3	3	-6.5	-2483	-2462	42.69	-6034	-5982	52.34
	G+P	15	3	4	-6.96	-2330	-2299	61.18	-5632	-5591	41.21
	G+P	16	3	5	-7.8	-2166	-2153	25.72	-5390	-5389	1.19
	G+P	17	3	6	-8.88	-2220	-2210	19.51	-5808	-5824	-16.31
	G+P	18	3	7	-9.68	-2396	-2396	0.59	-6620	-6651	-30.95
	G+P	19	4	3.5	-6.73	-2156	-2138	37.57	-4993	-4966	26.54
	G+P	20	4	4.5	-7.38	-2010	-1979	62.57	-4806	-4710	95.78
	G+P	21	4	5.5	-8.34	-1720	-1706	28	-4660	-4640	20.07
	G+P	22	4	6.5	-9.28	-2068	-2062	13.84	-5587	-5614	-27.26
	G+P	23	5	4	-6.96	-1837	-1817	40.49	-4156	-4091	65.47
	G+P	24	5	5	-7.8	-1561	-1528	66.87	-4076	-3979	97.78
	G+P	25	5	6	-8.88	-1558	-1550	15.53	-4441	-4422	19.24
	G+P	26	6	4.5	-7.38	-1386	-1363	45.56	-3415	-3357	57.78
	G+P	27	6	5.5	-8.34	-1392	-1370	44.96	-3849	-3768	81.17
	G+P	28	7	5	-7.8	-1220	-1206	29.38	-3189	-3141	48.04
