#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-3396.5780490353663	-3243.086878762914	-153.49117027245276	0.06514090335709384	0.0784603156887508	0.14725452048560533	0.0017305432162199633
1000	-3394.885858406927	-3243.2603310488435	-151.62552735808362	0.07518074615513494	0.07260775374577834	0.15003604867805137	0.0018278370190799118
2000	-3396.093011923608	-3242.482555584112	-153.61045633949604	0.08309654907083472	0.12810834385918132	0.22836730088572596	0.0026097309012563853
3000	-3395.2384290781497	-3242.290299049694	-152.9481300284556	0.05326287318966991	0.08945651155913728	0.16377119999813358	0.0014999166027510676
4000	-3396.972446876082	-3244.8139851028673	-152.1584617732147	0.061861670416271754	0.09634748291288013	0.13895954842383518	0.001058593827329511
5000	-3395.104520798789	-3242.845316797413	-152.25920400137582	0.05767342776097078	0.111093301380829	0.17419624431770253	0.0012687529820792967
6000	-3397.4263809666395	-3243.4749644944463	-153.95141647219296	0.0674114865192589	0.05448840112229491	0.12856632148669214	0.0017370047130508457
7000	-3397.5272418917534	-3244.110333223322	-153.41690866843126	0.08197882004742534	0.07294341112107794	0.1415684457084349	0.0019126594802778985
8000	-3394.989131539695	-3241.6295136043054	-153.35961793538965	0.08604027889020105	0.06764577967983873	0.20092858440793174	0.0018601138988679198
9000	-3397.306660914325	-3241.034118725409	-156.27254218891628	0.0924050872800428	0.06449090454077563	0.21912422722932762	0.0025793171134961784
10000	-3396.5670487355837	-3240.779370261523	-155.7876784740605	0.06590849747033843	0.04964920664449428	0.18808081599873736	0.001561778340717254
11000	-3398.849557628529	-3248.182379053951	-150.66717857457803	0.06515064486416319	0.10687982033918364	0.09510509072431594	0.001392893884768176
12000	-3398.9304341549214	-3248.1042226659956	-150.826211488926	0.06849630942468123	0.12061235360469563	0.170191180866837	4.123428186190541E-4
13000	-3395.6022490533037	-3244.8102891052536	-150.79195994805008	0.06698355141060669	0.09732897611367224	0.15120424472742136	0.0010343874281353346
14000	-3397.839407393118	-3246.200958361968	-151.6384490311504	0.1442315356077075	0.06447694995235549	0.157637911715856	0.0017157331070111383
15000	-3397.202559932547	-3247.2592599269938	-149.94330000555325	0.11799064904652264	0.08328027100460543	0.1402301906282505	0.0015655544770134104
16000	-3397.637170339651	-3246.2676494373923	-151.36952090225907	0.11893654494478866	0.09057667259269024	0.14998170983228895	0.001885894492412277
17000	-3395.2365966139005	-3245.1693213444632	-150.06727526943715	0.09418271376086348	0.11376898116345913	0.14815260347428083	0.002722809512116447
18000	-3396.4561488207255	-3243.99101367159	-152.46513514913565	0.11494415432993273	0.06182842249855704	0.1672019463171901	0.0018361086398078553
19000	-3396.937782733235	-3243.4346688943333	-153.5031138389018	0.05173621736929646	0.0768670525574295	0.14831338992543475	9.352685115392146E-4
20000	-3399.720791480496	-3240.9575583381	-158.76323314239545	0.04395342761326618	0.049511209408152485	0.16356909344162046	0.0014422029228624577
21000	-3395.0964632209866	-3244.0012255387155	-151.0952376822713	0.1142297393909015	0.1249373597943363	0.19670714418724902	0.002115580044351383
22000	-3395.7141422586096	-3243.3557043830833	-152.35843787552628	0.08421946550133275	0.10972226550686048	0.17318657075395202	0.002291459116532569
23000	-3396.3458546313173	-3242.4396544061024	-153.90620022521483	0.08332588467494073	0.10522395829807732	0.2090258310912065	0.00273382992632599
24000	-3396.1180723345597	-3242.641182466099	-153.4768898684604	0.07295364238115327	0.062491665716643156	0.15228250703038823	0.0019231882777962775
25000	-3394.539799429523	-3243.908425283681	-150.63137414584187	0.10868056787195407	0.10838663918019395	0.17679672421624118	0.0027647266243762026
26000	-3396.5545432999256	-3244.3561123338814	-152.19843096604436	0.050160893384326555	0.11461428574044137	0.1301232601533359	0.0010381567617269237
27000	-3398.6538789152164	-3249.4851394980956	-149.16873941712075	0.11695102667890545	0.10977791271477787	0.11757167805769593	0.00239243291036834
28000	-3396.0125805614016	-3241.8203805022476	-154.1922000591541	0.06870636077986454	0.0705172749148141	0.19620700168975563	0.002436953453677313
29000	-3395.2807876776747	-3242.6356270735328	-152.64516060414178	0.06223399914061765	0.10500179575031715	0.18419711645147782	0.002144766402677518
30000	-3396.0708972175125	-3243.7173243453444	-152.353572872168	0.1172514694347798	0.05913428914896909	0.1735900903678722	0.001779711375731546
31000	-3396.8883581790215	-3242.3789882484507	-154.50936993057084	0.039420749726100705	0.1072073401212736	0.15517230042289762	0.0012523329402576626
32000	-3395.8351736824247	-3243.882052052373	-151.95312163005138	0.06728364654319266	0.11182952051421799	0.17317434538019857	0.0011431113699258864
33000	-3397.393092256805	-3242.0486697076044	-155.34442254920083	0.07506369191652247	0.04925883103768014	0.16063739329545665	0.0023989102856363242
