#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-3432.4081692024356	-3181.9829230062114	-250.42524619622418	0.06735322157930733	0.09167009340539813	0.09254807972175276	0.06254187577133456	0.21689547165001757	0.003608186295460747
1000	-3433.5241349075313	-3181.5651328684544	-251.95900203907698	0.041393714972020934	0.07542535704677852	0.06749000013689155	0.10347352789757006	0.18201370483253718	0.00329663898823572
2000	-3433.972632771809	-3186.3570964513715	-247.61553632043737	0.08625208758993641	0.10254190424771485	0.07563871046359887	0.1409872389597159	0.1737168262079877	0.005677530230319314
3000	-3435.0783697310712	-3182.3905550368204	-252.68781469425096	0.07069760097512666	0.0983773974066382	0.07767832689796172	0.1161396511922334	0.2253534622644981	0.004052392980044689
4000	-3431.4910585013326	-3182.369928609188	-249.1211298921449	0.05475692478213757	0.08599624910355104	0.07503407112155822	0.09749426550065607	0.19158363392128622	0.002971329741693173
5000	-3434.033250013782	-3179.2857008471656	-254.7475491666164	0.06884604456224189	0.1597491434217982	0.09437795141719917	0.05850073410806845	0.277783988048604	0.004593354146818876
6000	-3432.3912990757967	-3181.1130663557433	-251.27823272005358	0.05650125839554144	0.12363500964009205	0.08713984063199606	0.07512433718599736	0.2248470308292968	0.004797013267454569
7000	-3434.791880811629	-3186.224333049523	-248.5675477621063	0.06698950847656454	0.09040456437121727	0.1000986270295371	0.08669829829151679	0.17540289075420942	0.0029391665260451887
8000	-3434.3222527513653	-3183.9547305232054	-250.36752222815974	0.05607240093642917	0.08308249861865917	0.050026785040160865	0.11742968436486147	0.1555553403261223	0.0034874415094478454
9000	-3436.1893987951394	-3188.965022132591	-247.22437666254848	0.06147661236505304	0.11077776329903798	0.06174545011516627	0.10238848054242014	0.13854117915765013	0.0028668586485798542
10000	-3432.713197296776	-3186.3220183654803	-246.39117893129574	0.09397646628933459	0.11428454977493871	0.12494284374064056	0.1247533147628106	0.18928936479946565	0.005320415497545603
11000	-3432.4745848600915	-3184.1407640174293	-248.33382084266196	0.07643165241162865	0.07728698129904533	0.07556168374638117	0.11621287093112387	0.20288311176392232	0.0035964253943541074
12000	-3433.884243119016	-3182.738768121962	-251.14547499705418	0.0613303595279676	0.11902782386166293	0.10861105734470056	0.12283071723932677	0.24230697692784753	0.004697265211542047
13000	-3435.1986093157993	-3179.8178797065875	-255.38072960921164	0.06691304513017353	0.12957503439375478	0.04223176858497956	0.1045178767281119	0.24986583290902728	0.004477361096910626
14000	-3435.3651005228226	-3182.4993804995306	-252.86572002329174	0.04284569110345668	0.0947721106592766	0.05440541189802031	0.08340807665077059	0.18753299223138198	0.0036971745249537082
15000	-3436.697339941862	-3181.2364211661147	-255.46091877574727	0.05317010127476326	0.14600625355008165	0.08435661544823558	0.06610447021702265	0.27195260392290366	0.004151759875070028
16000	-3431.9189279060743	-3182.849892608434	-249.06903529764043	0.07201289199195479	0.11784724397271086	0.07889985739098349	0.06938782767720154	0.19045925972360558	0.005057610139755817
17000	-3433.70420050157	-3179.7185811888594	-253.98561931271067	0.06917365233174083	0.12569068367061945	0.09097000805414142	0.06322293042751169	0.25756518968062797	0.005189883425898766
18000	-3432.456137252569	-3184.273979449346	-248.18215780322302	0.051618177855754135	0.10906675907649684	0.08968697976614365	0.10327680002037333	0.1754664529601203	0.004416332134041048
19000	-3437.1486387875825	-3179.672094081734	-257.4765447058485	0.0336167860844454	0.06519536455189226	0.10596603980005657	0.054993149277015485	0.23291066991314802	0.0023293623423569737
20000	-3434.1725913258433	-3187.6700046388314	-246.50258668701193	0.05950401697029463	0.08589300300402311	0.08356540868004289	0.09944144678564823	0.15047926790143332	0.0026159438889842013
21000	-3431.373005321442	-3182.384250891927	-248.98875442951515	0.054350783938727575	0.09551675590537119	0.0775710264274489	0.10168770791594856	0.18353387534230087	0.0038653600226909984
22000	-3432.095219834444	-3181.3948058317915	-250.70041400265262	0.07795046698852415	0.14772155962376302	0.1023881942011215	0.13919809762838742	0.2340778467752435	0.005902503028169223
23000	-3431.592386541148	-3184.250454027886	-247.34193251326172	0.08338918583136627	0.13698967946132037	0.10477953886039074	0.104845860317265	0.1943616918423046	0.006246394485503494
24000	-3434.7649990820937	-3182.8104190294926	-251.95458005260133	0.04234735211685314	0.09213682203905522	0.07602746145917702	0.1185977361328163	0.16928038577955556	0.003291807848263084
25000	-3433.1052577486093	-3182.4925039188565	-250.61275382975282	0.05399384870035547	0.0666393699296204	0.07316701130559643	0.12001648021477818	0.18601748989230368	0.003205949751647128
26000	-3431.3459215295225	-3181.3503077336	-249.99561379592228	0.07926609807738426	0.12597355311318326	0.11385577840999411	0.11421749086666125	0.2520534601346043	0.0055767179906734
27000	-3432.708558655118	-3183.530219826942	-249.17833882817598	0.06694151556220615	0.1038301484999154	0.08877186939503476	0.12813108479727492	0.1854044929859547	0.0045978269652906115
