#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72880.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72887.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-3387.4408514816732	-3236.8157355819853	-150.6251158996878	0.08399220316322664	0.1325565049163063	0.17528447948459303	9.763830548844086E-4
1000	-3386.690763020988	-3235.895552850787	-150.795210170201	0.09891428572143401	0.0984482730322276	0.16222346063198703	0.004079579991267648
2000	-3385.7688747128896	-3233.8431577419537	-151.92571697093592	0.07803572041192139	0.06753480534226203	0.1517825722341104	0.0020002128701631103
3000	-3391.0611485291374	-3237.2923209765895	-153.76882755254815	0.10051189326971588	0.07543411248538588	0.13553264808311014	0.001448071447708276
4000	-3387.1934863523898	-3232.516706808766	-154.67677954362412	0.10463225952444181	0.07493162506877965	0.22036953768130293	0.003294237956630027
5000	-3386.818199647325	-3235.867904103663	-150.95029554366198	0.07786271449208777	0.14476288038715743	0.16912167507846868	0.001246421701634885
6000	-3387.672702190416	-3232.9730940155637	-154.6996081748527	0.11001409545914793	0.04609953599965595	0.17638616561631973	0.0028912914508145517
7000	-3387.3638325082297	-3232.4398286588576	-154.92400384937204	0.09887506051393867	0.056514353513781604	0.19158894905308724	0.002847362176440809
8000	-3385.8282914179063	-3234.5374087668683	-151.29088265103775	0.07236373037003535	0.10527115188177052	0.1806896614812063	0.0012644016472570763
9000	-3388.1143602950965	-3236.978543479001	-151.1358168160953	0.1373853658536358	0.07696859073533971	0.17702099863597504	0.0013134652148593092
10000	-3386.966756688989	-3237.128227808218	-149.83852888077075	0.12229965423732574	0.09679047451179731	0.14325652993248972	0.0030630915344998563
11000	-3387.3560251566755	-3233.037888437399	-154.31813671927648	0.1175098270463866	0.068954207974237	0.23509977028861934	0.0017656020025021292
12000	-3386.9490335627115	-3234.1431820433377	-152.8058515193737	0.06379046731706571	0.08622450967067373	0.14833870167224714	0.0021570330984581995
13000	-3387.389246167822	-3236.334710417321	-151.05453575050103	0.062346569323627206	0.09273430636160966	0.11658475712624874	0.001331013423182376
14000	-3386.6841695805992	-3233.530384791542	-153.1537847890574	0.12445084267396622	0.11829201883064142	0.2238970268241158	0.0032864398904864658
15000	-3388.9246147192766	-3233.8583158774145	-155.06629884186214	0.07808341780300053	0.04452643693422195	0.14128037899715595	0.0025403666449689277
16000	-3388.8118163861336	-3232.766459275781	-156.0453571103526	0.07872460065597138	0.08062936011471133	0.2620475606919577	0.0014190489364809364
17000	-3386.1228331526463	-3233.95587707486	-152.16695607778632	0.0983210269341567	0.07175672441119395	0.1786722132201708	0.0018012365049797508
18000	-3389.2509907746394	-3233.4623591833083	-155.78863159133118	0.058836511163301825	0.07263847964133015	0.2132291117776196	0.0025017816208594487
19000	-3386.3834887087437	-3233.7537531238368	-152.62973558490677	0.06822967827725088	0.08400199762656894	0.16860685810916987	0.0014506868166256576
20000	-3387.6197473695465	-3233.7880844743727	-153.831662895174	0.08829537471562442	0.06564492856190873	0.1862462681110857	0.0035502323660137895
21000	-3386.5629409116277	-3233.504270705697	-153.05867020593078	0.10675087499526281	0.1274482373408559	0.22696660451123415	0.0031088259172342477
22000	-3386.7900459423613	-3234.8829586108754	-151.90708733148603	0.10119923375857257	0.10220771582010048	0.18203079323211063	0.001783778760881515
23000	-3386.014004952705	-3234.1023216459735	-151.91168330673133	0.05839328580383579	0.11294329568033466	0.15394533638922495	0.0016846892059380876
24000	-3387.2989876527254	-3235.8425269791583	-151.45646067356697	0.09180045336562141	0.0650472479094367	0.13097133287893908	0.002672458038508488
25000	-3387.3315118709766	-3235.411367971079	-151.9201438998976	0.11807381186191666	0.10371816990365776	0.19182540732769285	0.005026274031474862
26000	-3386.4014059582746	-3232.3641977221646	-154.03720823610993	0.09595827599416598	0.07416703473545727	0.22035629136416293	0.0029749126876301604
27000	-3386.1187036766187	-3234.493478154927	-151.62522552169187	0.06615498254151135	0.08476979681622998	0.14459594571033077	0.002346328654427164
28000	-3389.7047998549856	-3237.825475479813	-151.87932437517262	0.11812758404522565	0.11078968096414954	0.22579624772005702	7.051540379790495E-4
29000	-3388.4134595089135	-3236.345791086586	-152.06766842232759	0.051204157838344075	0.12059012476171736	0.10931184614232478	0.0011951811516693605
30000	-3386.1121667475622	-3234.235166291979	-151.87700045558324	0.12046229357603476	0.07108949047770331	0.17435244205804856	0.00255818841889451
31000	-3386.5318757816603	-3234.7890814987086	-151.74279428295176	0.14106747655285584	0.08673459605479877	0.18040785563280584	0.0035481926143865333
32000	-3386.0496318826463	-3235.270822538131	-150.77880934451525	0.07876552364287759	0.10578356881009936	0.1557337963652909	0.0015266379285629223
33000	-3391.8586346043357	-3241.5975360608877	-150.26109854344799	0.07828294517239115	0.11913285048981605	0.12710018658477049	3.7754245976930794E-4
