#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72880.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72887.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-3466.8531541341204	-3217.208703726352	-249.64445040776835	0.08120358954702327	0.0865538766169153	0.037232218014856135	0.08025602651943062	0.14570727164758937	0.001593250225979149
1000	-3461.8349144592034	-3213.718424096809	-248.11649036239427	0.08831476337353278	0.08319451677629786	0.0678961644999809	0.11004252070099785	0.21968250550420937	0.0019441348558631778
2000	-3462.6894515302056	-3212.965654288141	-249.72379724206445	0.08404213488170002	0.0755098455664651	0.047459004515293446	0.09027503380911092	0.179862245219335	0.0029804655354694746
3000	-3463.5649998720737	-3215.8703522571723	-247.6946476149012	0.07892645693477734	0.1176936237916553	0.07447364531030035	0.08572992977572036	0.20280060452443444	0.0034055282524417065
4000	-3463.1741288447283	-3212.6232942353554	-250.55083460937303	0.057360895646841825	0.0745434904108762	0.07300730828124775	0.06903151985868897	0.2043604817266081	0.0019746336953455758
5000	-3465.7991824940427	-3220.1019165999323	-245.69726589411061	0.12313221410277571	0.1701990721775509	0.11434009927021667	0.13549479117901056	0.18992921028311907	0.0034744382548090006
6000	-3470.2865699371855	-3221.633659844637	-248.6529100925488	0.10734060461125153	0.11839427946683904	0.04688042924548672	0.0633912014909704	0.1678526436080124	0.001438655144025392
7000	-3466.1683474905967	-3217.2032433209706	-248.96510416962616	0.1450323290771134	0.08679470593636215	0.06860136629564617	0.15578692877172387	0.1662989010981772	0.00287359576229185
8000	-3467.733014889517	-3218.581409113346	-249.15160577617087	0.13370120596051777	0.1233366693328325	0.11688926051387015	0.07643377688346696	0.26150894248292134	0.002098038051003827
9000	-3465.0284764426747	-3215.3496654948262	-249.67881094784823	0.0686286367543431	0.0675444526101013	0.09682346139493973	0.0677057209232681	0.2016753894409946	0.0035046422455502733
10000	-3462.303271566493	-3211.7201189426896	-250.58315262380356	0.09496376047425484	0.1198477822285282	0.0505642290059679	0.10920984130218288	0.2309938894933119	0.003462140020184164
11000	-3464.549935187123	-3216.9862034271277	-247.56373175999553	0.06716047312124053	0.10191849695612432	0.06122885229216394	0.16060898632280765	0.15676213508694342	0.00260046076343858
12000	-3465.4289230774452	-3219.9723881955438	-245.45653488190146	0.10166978952126156	0.09258341852792132	0.09184071217898546	0.1356969834358297	0.1802716977990637	0.00457498130126478
13000	-3465.06083919619	-3214.96238998984	-250.09844920634976	0.07155346629962046	0.09589566161107059	0.08801927614073594	0.1628919281281126	0.20897642169261063	0.007025051397551519
14000	-3463.924992025755	-3211.563169504171	-252.36182252158378	0.07262035632071658	0.11060120747933329	0.0524799798853805	0.09958609555570976	0.23618168285339855	0.0036836911214262105
15000	-3467.0296828478404	-3222.955625617556	-244.07405723028413	0.10387687380961734	0.12030482226770288	0.06104837009420808	0.09968049233603316	0.14608954782315595	0.0015734724452068864
16000	-3468.9937653332927	-3216.390773222719	-252.60299211057352	0.053683833365524694	0.12811441421532768	0.14590265295553678	0.1220294796083601	0.20802322750642965	0.004117849298656788
17000	-3466.1116134409526	-3219.9541475840674	-246.1574658568851	0.07223713544245224	0.0722305531062429	0.07947470178192813	0.07665796239520865	0.14039094406971522	0.0020641591933656107
18000	-3460.9433604475216	-3215.0978992207865	-245.84546122673524	0.10771623743603165	0.11314113071677435	0.07133127458929818	0.10209542748112439	0.18340755050039834	0.002957074974735946
19000	-3462.915260814905	-3216.9303917975744	-245.98486901733057	0.10516229133527556	0.09703709184362817	0.06674188143894932	0.0895207525923254	0.16596948412484744	0.002128504316404203
20000	-3465.4781435769655	-3217.1682979229217	-248.30984565404378	0.0738010193564455	0.07482795000249227	0.1060497419995761	0.05251553906016989	0.16597927437602708	0.0017050702382371019
21000	-3463.117462868138	-3215.030614645206	-248.08684822293196	0.14317221738329355	0.09330757694838814	0.07958622735576358	0.106810184840918	0.24229228736678035	0.0022682950461218937
22000	-3464.027254678129	-3213.2928944539353	-250.73436022419338	0.04839289464966073	0.11384192215262237	0.06952918044553141	0.11575855079535216	0.22768837605982908	0.0020128608564997726
23000	-3462.385063949008	-3213.6431230164035	-248.74194093260422	0.06300765850056628	0.1054166554913508	0.0845104873420009	0.07845539127467964	0.207988135665971	0.0035964208379069057
24000	-3461.202874685039	-3214.470752077967	-246.73212260707237	0.07405083002502376	0.10615810119564645	0.08016752279060209	0.11352025166536499	0.2045387827097677	0.002442728676913963
25000	-3460.8720128628397	-3213.954017464829	-246.9179953980106	0.09982190416178842	0.09086452037805232	0.09192058336009892	0.1481802780286	0.22286757502073581	0.0025996219524437544
26000	-3463.338066281234	-3218.4422639075183	-244.895802373716	0.1003495095398448	0.08662001006806716	0.08216139531764048	0.08512966146524163	0.1552287357706724	0.001858861384180828
27000	-3462.705852517075	-3217.0976549191164	-245.6081975979588	0.10485340481368301	0.07179013958953923	0.06819986712823053	0.10193662167957643	0.15107094543735392	0.0021991971854291763
