#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72794.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72802.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72905.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72912.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72895.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2200.6910884691315	-1948.3173508864634	-252.37373758266816	0.05885999337041207	0.0671346896312655	0.13209376612196536	0.06714344159785525	0.159766683468441	0.00318082848968927
1000	-2201.135712308402	-1952.0486279289648	-249.08708437943724	0.08595137903384335	0.05471879303352215	0.1039976546871673	0.15031565465939575	0.14100009666941388	0.00878436203702528
2000	-2203.0567656933245	-1955.8222982662614	-247.23446742706278	0.09138025455487277	0.05419536629191076	0.12347124575650177	0.07738656744066572	0.12463471668049586	0.003631255878783844
3000	-2196.4509581330594	-1949.0161524569771	-247.43480567608248	0.05885939910940885	0.08001967469851118	0.07824503186145036	0.13353617896157166	0.1430644450708359	0.0039469132206223344
4000	-2200.188614053078	-1951.0182436099926	-249.17037044308523	0.053289454165179516	0.05932003704097924	0.11442808201180359	0.10045663447381258	0.11225737823543677	0.0026741019931701376
5000	-2196.145426503956	-1948.0258806032548	-248.11954590070144	0.052928649046373615	0.10645245578230306	0.1160390733279441	0.10585626379637417	0.1703188134601656	0.005080498304098447
6000	-2194.593020912365	-1948.0479091301202	-246.54511178224482	0.08071900298533598	0.10898201534423567	0.10263035404323245	0.12015716305395849	0.18756513787371856	0.005739184786879173
7000	-2196.590640735237	-1948.1921362942142	-248.39850444102285	0.07129376508030179	0.0888144813344456	0.07488117490347163	0.11070491994040152	0.1908311625841822	0.004340176596389367
8000	-2198.684697815025	-1948.9983600754358	-249.6863377395895	0.08772826940898494	0.05741443166506076	0.06281723814214124	0.09221294952614532	0.16125194380341118	0.005392072230458135
9000	-2200.2872538882557	-1949.9587583251932	-250.32849556306266	0.07460347205076316	0.07721074296416451	0.10833086683387241	0.05287149754748893	0.15416761302875562	0.0032055116729692488
10000	-2196.83549236443	-1947.9728500167816	-248.86264234764852	0.0705326402083011	0.05711571315649401	0.10682904097422843	0.10115172358968835	0.16477507391262858	0.004954456819483791
11000	-2197.4120558495606	-1949.5109338227362	-247.90112202682442	0.07008210337896534	0.07337181318128286	0.15793024660496485	0.07141808919997461	0.14735411490751377	0.004325384402408282
12000	-2198.114421546777	-1948.5499408668954	-249.5644806798816	0.08691134293684434	0.06902932478626682	0.07669946578289087	0.07039424132521072	0.20626410101791406	0.00354810320792697
13000	-2199.8468864394217	-1952.1726427582685	-247.67424368115314	0.0731884186349801	0.14608356365477934	0.12450755768947495	0.11603463424535132	0.16145176890115684	0.003942149385593905
14000	-2197.9953539564885	-1951.4215035530824	-246.57385040340597	0.12401895612146605	0.09237035760461995	0.07800496479942581	0.07854905560776242	0.1566545653656097	0.005331778706055266
15000	-2196.68786009687	-1951.0550380239713	-245.63282207289873	0.08238957001775216	0.10135050421974608	0.12903276236709055	0.08142148700886856	0.1556735677820326	0.004098021834755197
16000	-2195.742131306627	-1948.697343370302	-247.0447879363252	0.06555437761844146	0.08746422711852586	0.09476901806126364	0.10867808426420712	0.15469274171636943	0.004465927250595706
17000	-2199.0188131849964	-1949.5760317276531	-249.44278145734322	0.13456869807672553	0.1268508205970089	0.07143666740478047	0.09100981881883057	0.2324778266127657	0.0056133559149510875
18000	-2196.7298357481063	-1946.4774984853912	-250.25233726271526	0.06460479559921675	0.07120063205127161	0.10601987998520442	0.10169390450888303	0.22182858458036517	0.005169344332794979
19000	-2199.884502895621	-1950.510367185927	-249.37413570969403	0.04619637800294585	0.0638974324724946	0.10849460253390272	0.1448139535598381	0.11490905223817198	0.0036240152368039206
20000	-2198.4789671472527	-1949.4619221418639	-249.0170450053889	0.05532592618846186	0.1357228119327401	0.1590107807662998	0.08965462082622382	0.172762336881356	0.00383823645785101
21000	-2196.028794619471	-1947.2106873768244	-248.81810724264642	0.05353458541691161	0.095570439320308	0.08550796199439066	0.09058348258793748	0.18301922750457408	0.003964644868936896
22000	-2197.073557103945	-1948.9765696202264	-248.09698748371875	0.09564123325089302	0.08887500196911655	0.09895206072881603	0.12248103302803662	0.17690807432604272	0.005846203654882931
23000	-2197.4122911144677	-1946.1381411037487	-251.2741500107192	0.06344405885234834	0.1006952910913924	0.09280920259363223	0.1303818449828644	0.25871674378592224	0.004426389354989559
24000	-2199.423982272776	-1951.213494531582	-248.21048774119367	0.07658099928345358	0.07647154822433698	0.08796052469359589	0.06821246113221888	0.1618926416053738	0.00501617195725281
25000	-2199.8793684950338	-1951.2243111673	-248.6550573277339	0.09711429341639258	0.05912402497429336	0.16487752789357915	0.14989765905170227	0.1609540065551712	0.007761209338654327
26000	-2195.9766479393384	-1946.7176723720718	-249.25897556726656	0.06611847146025074	0.0815777523573558	0.11229071086431151	0.1119448849044534	0.21707696444446994	0.005110899786178841
27000	-2196.7640095943398	-1949.3945537723196	-247.36945582202043	0.08500551346960784	0.06438435418969075	0.1384352859226974	0.16171433532934848	0.17368670992395893	0.003935338096956232
28000	-2196.4412804325525	-1948.0728644922995	-248.36841594025285	0.0724021933716815	0.05543580822658375	0.10881445714215285	0.10226577055947454	0.1647214867803704	0.004720205980406041
29000	-2196.820002457197	-1951.3846461963926	-245.43535626080418	0.08928076739814156	0.10747255405728318	0.10137964170520819	0.09914261312744237	0.14932820719589587	0.007375863839135327
