#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1773.4580049489139	-1623.3157558791922	-150.14224906972157	0.1063373021493366	0.10172710392436744	0.14385621085495118	0.004085165458947126
1000	-1774.236254270018	-1623.2063733115285	-151.02988095848949	0.13106828248324628	0.05896171972364775	0.12732396908580254	0.0011015772084724395
2000	-1773.045129681697	-1623.4588954597725	-149.5862342219245	0.11914756465248139	0.07134334159918346	0.12527152784285767	5.205215394963628E-4
3000	-1772.3378453448709	-1623.2208349321818	-149.117010412689	0.15207350727660582	0.11063638547384214	0.15164672789728859	5.006413417848077E-4
4000	-1772.9675186955308	-1623.0864844220994	-149.8810342734314	0.14597114763195074	0.08109450797138895	0.16046913332459856	3.118250418216639E-4
5000	-1775.4745619217058	-1620.8734777890134	-154.6010841326924	0.04298230025889049	0.1621865532683944	0.1288610800489041	9.938807550644837E-4
6000	-1772.4246732804254	-1622.956608670379	-149.46806461004653	0.1257521966040646	0.11416567075918126	0.13791272947691974	0.0012135531945708085
7000	-1774.247491066291	-1622.05681288612	-152.1906781801711	0.05794035459515936	0.08627586179532562	0.10856571981016443	0.0016782426346261833
8000	-1774.2484975960072	-1624.0177860825486	-150.23071151345863	0.12090989353515726	0.12704665117989727	0.12657286062738518	0.0036572463915741545
9000	-1772.188944738618	-1621.3969033041103	-150.79204143450752	0.07158918953167402	0.08387763866017876	0.13758991921033412	0.0014355399108315352
10000	-1775.8229450169126	-1621.5260628094486	-154.29688220746402	0.07584641938973902	0.06755042544117089	0.184130724467766	0.0028833509685864487
11000	-1773.6672487759365	-1622.0949648514138	-151.57228392452282	0.09521473295560974	0.05920725041245697	0.16054136068237249	5.71799703488223E-4
12000	-1774.547062666103	-1624.0587502481094	-150.4883124179936	0.06753829970154952	0.08635928288460915	0.0896739177115663	2.8616389379639874E-4
13000	-1772.96156740807	-1621.5286275288763	-151.4329398791937	0.08196702023019983	0.1512275267587493	0.15933580766808292	0.0010672143564681698
14000	-1773.0973560764394	-1621.4041232007103	-151.6932328757292	0.07677123864268233	0.09163449010104938	0.14774362151248102	0.0011813484600540342
15000	-1775.665777812805	-1622.2999726399885	-153.36580517281638	0.09404605411383048	0.05326878093451104	0.12935523735551807	0.0010332726746849759
16000	-1773.0054951484476	-1621.601774731385	-151.40372041706263	0.05779765863005633	0.09336662214774602	0.11749077418072289	0.0014226767342795993
17000	-1772.3887948404565	-1621.2762372370612	-151.11255760339523	0.09620689383240676	0.08232893811948824	0.16586114831723894	0.002055017621478911
18000	-1773.3637035931358	-1622.6471731163056	-150.71653047683023	0.1576281581843703	0.12029556231776949	0.19386470779151416	3.2270810098922865E-4
19000	-1773.0952220994377	-1621.5624297788268	-151.5327923206109	0.05399437982054585	0.11622545268198808	0.12060871274980389	8.620571167145001E-4
20000	-1773.9249606817611	-1623.6010658515183	-150.32389483024286	0.11057845100927739	0.11335741545177923	0.11459294375844638	0.0010888237851969403
21000	-1776.0973364977992	-1621.3150571109509	-154.7822793868484	0.09134221911318759	0.04789773861681283	0.2050849426359515	5.497303657446004E-4
22000	-1772.2602206702286	-1620.9074785717241	-151.35274209850434	0.07218138479158712	0.08895993723606878	0.16547333015508106	0.0011847307599370323
23000	-1779.5796769458332	-1621.0647124726145	-158.51496447321878	0.03666428904942491	0.11715467835484811	0.1278197333553754	0.001317033873874387
24000	-1771.9055034844307	-1623.2820750649757	-148.62342841945505	0.12119576408880502	0.14139227647492777	0.13856750669045634	5.271372854739175E-4
25000	-1775.0744294281674	-1624.4488463205153	-150.62558310765215	0.10366385478813372	0.13585912728888971	0.09782323450511839	0.0014656775289341342
26000	-1775.7829354914375	-1621.2170290238769	-154.5659064675605	0.049744883283118296	0.09102364341131633	0.14751213217605672	0.0018151589270359474
27000	-1773.995002727956	-1620.5531630031637	-153.44183972479235	0.04501489767442057	0.09667291022395184	0.14832607623995747	0.001209422765851208
28000	-1774.199752782259	-1621.9012994402747	-152.29845334198444	0.05116592985464266	0.14134815386962024	0.1157454239883291	6.421962778939977E-4
29000	-1774.060581723005	-1621.2976758840796	-152.76290583892552	0.07135304716880778	0.056156622726802524	0.13610936553449143	0.0014028849897492629
30000	-1772.689065185119	-1624.1037222357872	-148.58534294933187	0.14823261280321473	0.10202894948006234	0.11949318156369636	2.9562371102265656E-4
31000	-1774.1517347324707	-1622.0886792161966	-152.06305551627395	0.12903243789336788	0.19119131371743206	0.1684194405301167	0.0020078183323090247
32000	-1773.9763173550853	-1622.3739650144203	-151.60235234066505	0.06420694362495097	0.10265280265232513	0.11106029478082054	0.0019444380058396278
33000	-1773.0913076458885	-1620.6756512569991	-152.41565638888943	0.05659036935196199	0.10840533794178404	0.158088407872727	0.0012090572103731845
