#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1832.0156356103532	-1582.2742196225308	-249.74141598782234	0.05354826562953117	0.10012930893879012	0.13498024613769402	0.06979704089405088	0.18320550668712446	0.0038648656776585355
1000	-1831.7789819914128	-1584.0136251484982	-247.7653568429146	0.08611564802523787	0.09088705532522921	0.18239661429852363	0.10043344178807942	0.16741506324415484	0.00458027290297484
2000	-1830.2698376203577	-1584.4123449279746	-245.85749269238318	0.06947412164079232	0.08061819781845475	0.11823839471824915	0.12765512502987855	0.138403437395133	0.004540522487731524
3000	-1833.1539685574387	-1582.4905736331266	-250.66339492431217	0.04829105022505274	0.09797487511631416	0.10382057862350585	0.10038297772043425	0.2287044387734246	0.0026919526628270594
4000	-1832.5077321797216	-1583.3179277213035	-249.18980445841822	0.07007927244769702	0.05730125357801756	0.07245650857086577	0.1448838619889616	0.16616084316664317	0.003587742797514911
5000	-1831.9594401659663	-1586.7201437242713	-245.23929644169493	0.07882071760436109	0.1417548975841104	0.09412592343440111	0.08356176586785831	0.14766106995471565	0.0038955220785746184
6000	-1831.3005596354428	-1583.958828841878	-247.34173079356498	0.06805653907027225	0.11975469941112854	0.11243308021425953	0.15677345477296897	0.1650398641893979	0.0041563986002881356
7000	-1831.4984658894691	-1585.123690805716	-246.37477508375315	0.05382356954520216	0.11059206344628393	0.0991180532685649	0.10659582464838997	0.13064361357969745	0.0038199863501592784
8000	-1833.0683650533367	-1585.5403859401654	-247.5279791131713	0.10920154274336831	0.07878044404757789	0.1128593806245555	0.07965118410938211	0.20236145637215408	0.0045248615498288776
9000	-1831.8116359221015	-1583.9790640482847	-247.8325718738167	0.11676725149009991	0.10181180277907882	0.10271674383954121	0.10255417603599323	0.21512550836189206	0.006713072744755123
10000	-1833.8026135056896	-1585.3165778195996	-248.48603568608993	0.10929256743891337	0.09158095884173126	0.05107524547664648	0.09829119236289835	0.1707967680634193	0.004954400745834778
11000	-1831.853342427294	-1587.1533150306723	-244.7000273966217	0.09992345924544209	0.10710620861571207	0.07428886454163441	0.10457809161650021	0.14766172830421836	0.0040557278982364595
12000	-1832.4524999973505	-1585.308084297805	-247.14441569954556	0.058945486101535376	0.10424781789547705	0.1743603130026643	0.08745053709354676	0.12768642283511403	0.0038604083090606756
13000	-1832.0000130473281	-1587.5121168143767	-244.48789623295136	0.11200981063330451	0.11971029085865834	0.14720181114832934	0.13342691371129553	0.13332008039366283	0.005796312097098511
14000	-1831.696673606135	-1584.533654962896	-247.1630186432389	0.07253941872498453	0.09830870515980622	0.06393775851506348	0.11762038186571021	0.14527217720862923	0.005236088504568845
15000	-1829.5892056151508	-1584.540551939072	-245.0486536760789	0.09106145209689681	0.11337455993280116	0.13408687794006646	0.09720200925767176	0.16643706695095897	0.0047747576252558524
16000	-1831.8726470036383	-1585.182389640849	-246.69025736278954	0.07487448650491137	0.12271835362885512	0.0966658519114208	0.14681610487389307	0.1453032620373829	0.005583198184696396
17000	-1831.129111614427	-1583.7125142316959	-247.41659738273128	0.06047787766254914	0.06994762303238068	0.14314410364568317	0.12451446345941328	0.14566816457665036	0.00328196439856227
18000	-1834.1781962155815	-1581.5713326189198	-252.6068635966616	0.08300802971478893	0.15097911568604425	0.09536831152585529	0.06316063686300193	0.22060973217720603	0.005610843325331136
19000	-1829.90940246751	-1584.558311813073	-245.35109065443714	0.08164472983803414	0.08292106066211694	0.08913423005084828	0.11375120927617685	0.1441724663341954	0.004538976393068385
20000	-1831.4220842443297	-1584.3409112884058	-247.08117295592388	0.050893106214855655	0.12801528777236032	0.09648949967184163	0.12283309538291907	0.13712900434702535	0.004383772200391408
21000	-1834.8973467463406	-1583.7788718821266	-251.1184748642139	0.048750232921399086	0.06305155327211225	0.06570258261968182	0.16344599837147206	0.13318914183709601	0.0031549296639379124
22000	-1832.185526746023	-1583.1088246489771	-249.07670209704594	0.046686269487213335	0.10456851077708475	0.13207647537737818	0.1326480687578952	0.16035387731032838	0.003347029826396966
23000	-1836.8219911236986	-1585.8118157831045	-251.01017534059406	0.1455332096116085	0.07289183001519058	0.06444641320657869	0.18000680830140006	0.16460684558103722	0.008473723403461794
24000	-1833.9791236827605	-1584.2778986528447	-249.70122502991572	0.06290533312451188	0.049751745460319935	0.11202818300255003	0.10467814824002422	0.16670252472100788	0.002742260410118545
25000	-1833.2760055815868	-1585.1569605132167	-248.11904506837013	0.08701858700090684	0.17312654434729427	0.12782572238930606	0.08309157973887464	0.17049207569157102	0.007698942687642306
26000	-1832.4332467080637	-1583.6582723182114	-248.7749743898524	0.06865502316914479	0.07035674791415165	0.16094623790969032	0.101636675969098	0.16095069583934488	0.004320973028398098
27000	-1831.0745303966455	-1583.5513728115839	-247.52315758506163	0.10051734492242856	0.10084026947009185	0.07067460166037644	0.10813200878455002	0.19910634706408956	0.005376277777570219
28000	-1831.8517323778306	-1584.9550685465836	-246.89666383124708	0.0980462312341925	0.0848690774743484	0.08890122004585584	0.18009316575094894	0.14651924220611875	0.006284868250154399
29000	-1833.882809319232	-1582.8295932779556	-251.05321604127633	0.03211123364017908	0.09967763332799352	0.11196834366334409	0.07871078344438062	0.13745187943705248	0.0029157971865084046
30000	-1832.9357406039471	-1585.80610872556	-247.12963187838696	0.0904378039214489	0.08220622846876963	0.05888859881266353	0.09780458065115914	0.1564527804548083	0.003387756511602755
31000	-1830.5810924275836	-1583.7836600427104	-246.7974323848733	0.09234149911117558	0.0870277355789391	0.10648577057229844	0.13847284959767167	0.19997055376975673	0.0040384500417263965
32000	-1831.2582777016482	-1581.9308767582336	-249.32740094341472	0.06735056322198126	0.07513737519377256	0.13654564278065132	0.12540867571892492	0.22418119883666188	0.003824458801273244
33000	-1834.5570851591563	-1585.2137912145554	-249.34329394460093	0.09684841949262099	0.12808838447644075	0.06265866315358988	0.1478234352535732	0.1830340138385567	0.005949430480996972
34000	-1832.8258561599193	-1584.5239030047223	-248.3019531551969	0.12083660455097106	0.09643004418353224	0.0900512477989172	0.06584494525763711	0.18504265310733328	0.0049729265388988786
35000	-1830.9529292496388	-1585.128873757204	-245.82405549243472	0.0673278457565404	0.0984852261405093	0.08841163633035977	0.10378097840160615	0.1309348042813988	0.0046078308945583435
36000	-1833.0564710125068	-1585.4355992799526	-247.62087173255415	0.1091609879066013	0.08716652751909236	0.1825010338933906	0.08818193172497654	0.16818751110875774	0.005488008091440229
37000	-1833.0002115680484	-1583.4181764267178	-249.58203514133058	0.05541520504901506	0.09508724505705403	0.06710209070366367	0.10359405870956809	0.1817180928959743	0.0034740980278638893
38000	-1832.1370648904174	-1582.9124698901912	-249.2245950002262	0.06895784314734522	0.0714109399004304	0.12731461452117848	0.09644421654406958	0.20321887424678478	0.004450113446349807
39000	-1833.2727329152237	-1583.7344756551618	-249.5382572600619	0.06531125907068355	0.12020412581059772	0.07894728911648455	0.13909243592128642	0.208692983047309	0.006853268279520493
40000	-1833.939938379426	-1587.0441637107215	-246.8957746687044	0.0915945068632469	0.05372263760561621	0.1364199163658634	0.11692481366663271	0.1357963845626874	0.004041216659511626
41000	-1833.7922658642658	-1583.9631948007386	-249.82907106352718	0.0536227092656383	0.11126984545758979	0.06702600300073248	0.12669937450144153	0.16238581402638574	0.005751191121535277
42000	-1833.4943618999705	-1587.3882436398885	-246.10611826008196	0.07769353071076546	0.09634332455939836	0.07239635622552962	0.10650295702101902	0.11349447694362824	0.004997143331586082
43000	-1829.5740420880602	-1583.7863905387799	-245.7876515492802	0.08235818849412023	0.12304319364938823	0.09986619621037339	0.10832256998670864	0.1845874074689345	0.004559192850389384
44000	-1838.1648607448612	-1585.958188390146	-252.2066723547153	0.0762697484375133	0.03257297112452351	0.07417929648919469	0.13708387277372291	0.10992954309378958	0.0038216447593338665
45000	-1834.8464827439936	-1582.4940935767665	-252.35238916722707	0.056117054222817576	0.05559524059006522	0.05707646005482082	0.1343851081750411	0.15792243888901097	0.00355347558352942
46000	-1833.9640452513233	-1584.3905311867393	-249.573514064584	0.06915833799222808	0.15784266975743344	0.0855807737383577	0.060200276158412294	0.16837846887854488	0.0038655086887877713
47000	-1832.6420276719593	-1586.579826317191	-246.06220135476838	0.10588030746177382	0.1323980590447049	0.08119845256675651	0.0920547664734469	0.14357313503015143	0.006208848010802551
48000	-1834.1139294297782	-1587.9419793728985	-246.17195005687964	0.07457737992050067	0.11246049419601759	0.07333573848019148	0.09098824917855551	0.14583008936443295	0.004053652917740775
49000	-1836.2282264467913	-1584.5295651374431	-251.69866130934815	0.04505958401711458	0.06255917548364094	0.161688895984453	0.12300373158840633	0.13544928757859948	0.002622237563026584
50000	-1831.4574891260797	-1582.4430434875499	-249.0144456385298	0.04795430774214153	0.10383251942012628	0.10734612834505403	0.09034555498218451	0.1589820556701874	0.004228185107962818
51000	-1831.7488142140162	-1582.475056743198	-249.27375747081823	0.04813655175421428	0.08942604419629138	0.14474992582397503	0.13943303924005448	0.16526636294310673	0.004037991185485272
52000	-1832.3988357995258	-1584.298082107724	-248.10075369180188	0.08783619916060732	0.08064418303639555	0.11863447404091555	0.16571252886813548	0.21770347251279992	0.003349217334652375
53000	-1832.410577810665	-1583.5822565341825	-248.82832127648243	0.06151470964834448	0.09739439349531182	0.06958986880674381	0.14306707299312005	0.1565627729684136	0.004496327117992628
54000	-1837.6736351907052	-1587.0882816904352	-250.5853535002699	0.21300957459423678	0.1284102015143383	0.14120546504329004	0.06496227012738948	0.1694286751918863	0.007452225758636185
55000	-1832.1719819465989	-1583.3918264738095	-248.7801554727894	0.07915240393599098	0.11240051740037761	0.06470996244415647	0.09636560433703274	0.19816858226226008	0.006075728341396085
56000	-1836.0078488662086	-1583.5542875414308	-252.4535613247778	0.05738872915700995	0.07346851175312104	0.09355512101900354	0.11107312217539461	0.2521329397333912	0.0040947952458971195
57000	-1831.7709532475915	-1585.2374834243146	-246.53346982327676	0.07385908704880623	0.083772789514517	0.10206363698377248	0.07696527005479159	0.13513550581933076	0.0035552970161470587
58000	-1833.477363918146	-1584.8384025523264	-248.63896136581965	0.05607113777324057	0.08484723815683101	0.07813352196867902	0.07337960290527236	0.12172457275290643	0.003931483244514724
59000	-1832.6279250910595	-1582.8788040044496	-249.74912108660993	0.0983690050214295	0.12194521209436168	0.1698452375377008	0.09029883050572612	0.20802059181605465	0.005817372023179566
60000	-1832.9402264009614	-1584.760648008441	-248.1795783925205	0.10926050625511505	0.0722345634832732	0.1548818751455676	0.10908207683779077	0.2033537655182668	0.006542839349006586
61000	-1834.0228722814336	-1584.631894012855	-249.39097826857878	0.09027654708176315	0.15164877190342785	0.05919701343914285	0.08954339098547794	0.18340228600666164	0.005128207911994618
