#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72880.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72887.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1768.9079457317055	-1616.173560512089	-152.73438521961654	0.08114117215786273	0.14046428112036677	0.19530899818232722	0.001981530746213617
1000	-1767.8158649770542	-1618.4209284030499	-149.39493657400436	0.08240947160087418	0.10675115638121432	0.10614921507607772	0.001285749133301118
2000	-1767.8051055641063	-1616.7091620770693	-151.09594348703686	0.11765188248937852	0.1036983527450743	0.19830735057088295	0.0011688848441307905
3000	-1768.3182757710492	-1618.4419764847619	-149.87629928628746	0.08562427580506768	0.07170711380104411	0.12854878193278094	3.5569101215290514E-4
4000	-1768.294337489461	-1618.8686229539917	-149.42571453546927	0.14955926395023975	0.1566256192628489	0.14099010592848313	5.375079683223222E-4
5000	-1768.2325901918998	-1615.9375314890187	-152.295058702881	0.05914767198583191	0.13048382724294225	0.17623336492020195	0.001296017306199672
6000	-1771.1120448810357	-1616.1007515253857	-155.01129335564985	0.04250632593014653	0.10124144278321537	0.1559472853042156	0.0013967957883422512
7000	-1770.9315197490935	-1617.610574322376	-153.32094542671763	0.04552686313203219	0.11261441284196372	0.0963064426689827	0.0015692132887805182
8000	-1769.8778152160019	-1620.351150558882	-149.52666465712	0.17334787503242066	0.09947066164232049	0.08982755967642658	1.4357658413967123E-4
9000	-1768.6511727917045	-1616.9652325303994	-151.68594026130512	0.08879878336646209	0.07658284006041134	0.16131202189079713	0.002683615716829282
10000	-1767.344252712298	-1616.17041921664	-151.17383349565785	0.0929650581221048	0.10646913682042619	0.19408209459462863	0.0018515880043414685
11000	-1768.0170574352405	-1617.9202143863324	-150.09684304890814	0.14707680124959635	0.09701404619384311	0.15556456867392235	0.001619896127834246
12000	-1768.2773480652386	-1619.4998179613335	-148.77753010390518	0.10134646271104664	0.1255950600031256	0.10163869257967627	5.335761758095574E-4
13000	-1766.9826646804188	-1617.080437512663	-149.9022271677558	0.0742871248444286	0.12818357552501178	0.14640457795132417	8.715889446099923E-4
14000	-1767.6349990454964	-1616.770607121396	-150.8643919241003	0.10325130776728013	0.10994520045657183	0.16970781393801715	0.0018784846381552035
15000	-1771.6410842537907	-1621.3273390744184	-150.3137451793724	0.17775626992447832	0.13729725757888273	0.10295045097693221	0.0016058493783196598
16000	-1769.1161249589293	-1619.0423058065546	-150.07381915237463	0.07158335398642324	0.1033538883045281	0.08932807926669559	7.22889235221367E-4
17000	-1769.7378263794542	-1615.5718805717906	-154.16594580766358	0.06277212488492737	0.06995626209515082	0.19966362715609184	0.001225893403934951
18000	-1771.3165679138144	-1621.1153066918525	-150.20126122196191	0.09041249436367568	0.11559229498094933	0.10867792778259185	0.004595178452620319
19000	-1768.9437917656253	-1616.844422853533	-152.0993689120924	0.07696743196514245	0.058908636121564044	0.15205322004451197	8.000670451113566E-4
20000	-1770.4824040268913	-1619.225740337898	-151.25666368899337	0.11565306069302923	0.09891623159936846	0.11955290612965375	0.002904354643488548
21000	-1768.245974863518	-1617.8988736312517	-150.34710123226637	0.12130820516081589	0.1182770149949844	0.15279368261687637	0.003143053873592685
22000	-1767.3406409799745	-1618.2972559720567	-149.04338500791786	0.09876243034946888	0.09483909521274678	0.12684714712496054	7.445240483646445E-4
23000	-1771.7034539513836	-1617.84935996875	-153.85409398263374	0.05417844959354555	0.18093989419726125	0.09701589129620998	0.0014693949609169898
24000	-1768.7728410263605	-1617.581169425201	-151.19167160115944	0.07660533845193526	0.08348022989950948	0.13028058426375422	0.0024381708707175514
25000	-1768.7163754288204	-1617.5823712410822	-151.13400418773813	0.10881046414917103	0.13790038325855616	0.16953866492067865	6.986862936763442E-4
26000	-1769.5156673682077	-1616.2228119310803	-153.29285543712746	0.051196726964592626	0.16292334771385555	0.15255475372578023	0.0014156465286722865
27000	-1769.4346829598983	-1618.619926454527	-150.81475650537118	0.06776526429196923	0.1131948100793439	0.09133328770091323	0.001206438218874111
28000	-1767.1962217656824	-1617.0919702030633	-150.10425156261903	0.08295282125496002	0.13224251932742362	0.16644364117859603	7.365146136646988E-4
29000	-1768.7572004712024	-1616.4351385241089	-152.32206194709363	0.0822088578053154	0.09886153600803353	0.18515616445638666	0.00244387989904385
30000	-1768.7944471613787	-1619.135422703884	-149.65902445749472	0.13755361709911682	0.10481859611439932	0.1296386007401142	2.675355048875319E-4
31000	-1769.1742384434501	-1619.2285922752235	-149.94564616822663	0.10950335482551884	0.16179985651893186	0.11376654882219618	5.501059543998355E-4
32000	-1770.1418330601982	-1617.1530141636235	-152.98881889657457	0.054891771587154775	0.0778613776846646	0.14818167928030174	4.1303405596180166E-4
33000	-1768.0256288434696	-1616.8783327651854	-151.14729607828423	0.09053408618384688	0.06778678563851169	0.15168741920488793	0.0012320843302905404
34000	-1768.7519377177694	-1616.2283361547186	-152.52360156305068	0.07456370598825796	0.0612625829785121	0.15880996634346178	0.0013749481600618784
35000	-1767.381717140874	-1616.2901528954544	-151.09156424541956	0.07360382386176909	0.1071080360520712	0.17057844925399343	0.0018741668209669674
36000	-1769.3913761262693	-1618.4334543155753	-150.9579218106939	0.07522281975217271	0.06936812257265888	0.11565418072886238	4.1716798679791007E-4
37000	-1768.2164440719046	-1618.2978035522424	-149.91864051966215	0.09112995683976556	0.07065056446296177	0.133060222052462	4.191612495107765E-4
38000	-1770.1226857514703	-1615.9384005920288	-154.18428515944152	0.04288177090958719	0.10765322794834747	0.14189312382600783	9.609686526352808E-4
39000	-1768.991435965647	-1617.817413594861	-151.17402237078622	0.08689675459201963	0.08611035315132695	0.1204881467957258	0.0015328398873835551
40000	-1766.9505972505337	-1617.293431870012	-149.65716538052177	0.11393429996601553	0.12208774818397587	0.16035512499306942	0.0015748545328580497
41000	-1770.2183037726122	-1616.4684579405816	-153.7498458320307	0.05394086702908331	0.06615635123822663	0.14208661544574674	0.0017670882800716328
42000	-1768.6481947543734	-1616.3471206622187	-152.30107409215483	0.08229805272583836	0.17809107970690718	0.1833290407505355	0.0015111755083831602
43000	-1769.322120750011	-1617.1183226615021	-152.20379808850888	0.1283509151678978	0.09538653654307926	0.20141440355068796	7.659931045014109E-4
44000	-1771.6839649513918	-1616.2233131604933	-155.46065179089857	0.09570039041518894	0.039206471540903155	0.17311989416828216	0.001492648140238613
45000	-1768.9314143924444	-1618.2494647427284	-150.68194964971607	0.0985361966655767	0.07896175907993541	0.11852299286890815	0.0017096778693754832
46000	-1768.9321714466748	-1617.8757771026894	-151.0563943439854	0.06152245498087186	0.08937720076201446	0.15735115084628806	2.222524637326524E-4
47000	-1767.9973193643616	-1617.0050122295252	-150.99230713483635	0.1116708337576112	0.06785675224358399	0.1610817842918099	0.0014619722238717805
48000	-1767.6343577429886	-1616.3167654278411	-151.31759231514752	0.06411295360025925	0.12654369836673146	0.15924314932482028	0.0011051996398931938
49000	-1768.1918243340158	-1616.9656249244217	-151.22619940959407	0.07087359876710929	0.1639978982618545	0.14346711682426422	0.0010200510113966266
50000	-1771.2604854248025	-1618.1564318399296	-153.10405358487287	0.08878045972407854	0.06537554690475014	0.20499518790005877	2.5287904636906157E-5
51000	-1767.4618337895822	-1616.481852980301	-150.97998080928127	0.08143834275708957	0.07766861235783858	0.15895984699682048	0.0013852536716408479
52000	-1772.0930638221878	-1619.0883037226909	-153.00476009949688	0.14653946936613038	0.10470748440303482	0.13524765212171766	2.0737217516204976E-4
53000	-1767.9833391715465	-1616.8096688790383	-151.17367029250815	0.08081128743446239	0.09999004365512916	0.16381030818369152	8.929112988974742E-4
54000	-1769.4596999041169	-1615.902970661422	-153.55672924269504	0.04278971552433781	0.10557272329150048	0.14651633842498746	0.0011149890738909507
55000	-1767.527512892947	-1617.8620864639308	-149.66542642901607	0.07976113290850571	0.10843968566203283	0.11585057798814102	0.0014654791766724386
56000	-1768.6845497911886	-1618.511507531877	-150.1730422593115	0.12357858139603785	0.161608515010274	0.14451445311608807	5.525068137798906E-4
57000	-1769.5904033634172	-1619.2423137960127	-150.34808956740454	0.07908639481092047	0.1009902547812984	0.09149895161266798	6.752629935260046E-4
58000	-1768.611964006952	-1616.1376690954085	-152.47429491154352	0.09712857240100961	0.07518784682833804	0.19492803921929966	0.0022074260340454377
59000	-1766.5133965804948	-1617.1343420452245	-149.37905453527046	0.08846200491252391	0.10594288260638562	0.14877583196107752	0.0011457382354378765
60000	-1769.0416457784438	-1619.7565112249872	-149.28513455345663	0.10263807326234067	0.0840263443856167	0.10781291295749326	4.248662145621777E-6
