#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1706.8945410394997	-1555.2313298934494	-151.66321114605026	0.10389749035229544	0.06076421580861289	0.14336624544965884	0.0024579663452242695
1000	-1708.1609763452866	-1556.0483365692626	-152.1126397760241	0.06739913953758601	0.07721861102645775	0.13292891729972603	0.002713566174066635
2000	-1708.23143557277	-1557.6997132784531	-150.53172229431684	0.08736424979717303	0.11937905330385522	0.10075200375326125	0.002542296106501215
3000	-1707.6461788094184	-1557.1254939358068	-150.5206848736115	0.11704846189480525	0.10124734203390247	0.11892227042510592	0.004182049274038553
4000	-1708.9415468972775	-1557.4883388414312	-151.4532080558464	0.07332131064934766	0.10398085254767692	0.09476344599508167	0.0017394791203398912
5000	-1710.1958396528946	-1555.2371641907946	-154.95867546209993	0.06345691506964411	0.0531783520499363	0.15171522462909393	0.001260466959938033
6000	-1707.1087595395325	-1556.9724883629428	-150.13627117658973	0.08825236746807584	0.11095201723881365	0.1491327701074693	0.0011884090905855415
7000	-1708.2767124793536	-1556.5679741656054	-151.70873831374828	0.05764359531493371	0.1418754906402056	0.1504970884937091	0.001134936441983231
8000	-1709.5978386050679	-1556.1018040870176	-153.49603451805015	0.1313691715130891	0.059649961567620716	0.12053141743272176	0.003984610610459436
9000	-1706.728840662665	-1556.2846336171458	-150.44420704551922	0.12232822240072622	0.08012382958492406	0.12782243790302977	0.0036318653727362513
10000	-1709.6913092770008	-1555.411296981263	-154.28001229573783	0.08219631070808565	0.04707741153676539	0.1746636078065897	0.0010942107522078435
11000	-1707.204123822809	-1556.2601685643162	-150.94395525849276	0.10644596153447192	0.08129480815395886	0.12515048882821717	0.0033564199890591174
12000	-1709.4744805681196	-1558.045169999402	-151.42931056871754	0.1543166315356931	0.05987481483084676	0.12574338179736191	9.612119076106403E-4
13000	-1709.1595713464333	-1557.0512232312674	-152.10834811516597	0.06369890844572912	0.12195043933714983	0.13646127885418288	0.0028230107537289997
14000	-1707.504405084101	-1556.7690894628186	-150.73531562128247	0.06983053503454281	0.12814830895278068	0.1552825063730391	0.0010841304553641557
15000	-1709.266578492172	-1559.2721710903952	-149.99440740177678	0.09225815669761757	0.1810933355001597	0.14343589585083924	2.2145452640272975E-4
16000	-1709.995602184873	-1556.739846050502	-153.2557561343711	0.17027135101768082	0.08206733544615293	0.14564883965018724	0.0024948447973643087
17000	-1707.8456621893679	-1555.970532145262	-151.87513004410576	0.10764567417132186	0.07124537294533298	0.1518183280742152	0.005292404548610333
18000	-1708.0435716863235	-1557.5640328473578	-150.4795388389658	0.11069517202228848	0.1254220435822415	0.15651786566562154	0.0010877654882678089
19000	-1706.3509999583034	-1556.7169440430116	-149.6340559152919	0.07931546092456157	0.10936349022082736	0.12497013334417109	0.0017144895267589865
20000	-1706.2070550471603	-1556.6986834308173	-149.50837161634317	0.08371313748154466	0.10686803272970438	0.1309836542490496	0.001634375400507065
21000	-1706.8324431251199	-1555.7689406412364	-151.06350248388335	0.08980985938903924	0.07416339591141165	0.132544855729939	0.0030584932058460293
22000	-1708.6544759894632	-1556.1793729184965	-152.47510307096678	0.05652890098685281	0.08527901646816302	0.116685078685704	0.0018076999656598041
23000	-1710.7762558183663	-1558.3029754361814	-152.47328038218492	0.1078310119613443	0.10467755618194334	0.09987495617143959	0.0019108932951151822
24000	-1708.6675898206347	-1557.518889651708	-151.14870016892684	0.08367922501229422	0.10461320677875488	0.0985551584003617	0.002649553597191914
25000	-1709.9152861830767	-1560.6185162407965	-149.29676994228024	0.12911279750266508	0.11306575963317339	0.08039288919468547	7.922287811462132E-4
26000	-1711.9529017091254	-1558.9084422754595	-153.04445943366585	0.06442980686646672	0.14769975345838912	0.07295492818743582	0.0013515628175921274
27000	-1708.0543906147807	-1559.7225328532254	-148.33185776155528	0.13834188051304688	0.13250238269303263	0.11491446341733003	4.0116676120172595E-4
28000	-1707.1699668367621	-1556.1205194933505	-151.0494473434117	0.06621603192772216	0.08955768643220019	0.12779037887564787	0.0017311598099329006
29000	-1707.0353083031	-1557.1280013645212	-149.9073069385788	0.11215293227939306	0.07577106841144496	0.1337414744769788	0.001266144813475462
30000	-1714.743300508861	-1560.8317668786744	-153.91153363018648	0.12738503162830073	0.06392597366435719	0.06817450165239994	9.635268507820237E-4
31000	-1711.4009488968961	-1560.4843759029704	-150.9165729939256	0.11656760841233053	0.16841173748235225	0.08354343731179553	8.181249811269678E-4
32000	-1709.3647264582198	-1556.0231210917027	-153.34160536651706	0.08842353439505686	0.0500958683605852	0.10141005990407118	0.002472789683283333
33000	-1708.5668996015752	-1554.7584546278708	-153.80844497370424	0.09295622435779413	0.04738463628605282	0.13392906284307457	0.0029374706264430044
