#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72793.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72795.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72907.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72909.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72900.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2059.531958701064	-1810.653062460266	-248.87889624079804	0.09900616816790032	0.08957016754572457	0.0548588907168986	0.10101274959688275	0.17405716812881178	0.004331036172513866
1000	-2061.0361399898393	-1813.3969322416579	-247.63920774818146	0.06288907115914927	0.07222804239432762	0.16431961518660657	0.11319427224622916	0.14635506088605157	0.0046303577674385145
2000	-2060.7471197800282	-1812.8965661570608	-247.85055362296745	0.1481165396590835	0.10340344238332468	0.07386582715155285	0.06435129831852975	0.18272040218056212	0.004329321384749965
3000	-2062.5255490131954	-1811.6098246351794	-250.91572437801597	0.06553131594552086	0.10139637547338516	0.10101146457214642	0.044254734410411854	0.15735234856620134	0.0031267533404034766
4000	-2060.1882330690423	-1815.0843907969247	-245.1038422721176	0.07071771102736987	0.10277518702271338	0.10608826676493639	0.14601151422749026	0.12215310368530805	0.004142365490328225
5000	-2061.346926214556	-1814.367984439715	-246.97894177484085	0.07290273799885265	0.11186399621250034	0.09453125176640373	0.09495605170409921	0.13157462384398771	0.006753763197323565
6000	-2059.623006579389	-1813.682713243626	-245.9402933357629	0.060498506728270104	0.08911057122058083	0.09702475728696554	0.12338355294065781	0.1249385664545176	0.0037696759784474915
7000	-2060.9338892699448	-1815.0752142500946	-245.85867501985024	0.07663260953823876	0.11675811165096482	0.07843360197261744	0.12532808253436323	0.10299859659598011	0.006026535910005806
8000	-2061.5511159303624	-1813.691406768497	-247.8597091618654	0.09333639730969084	0.1076665554880901	0.18618741015892473	0.11018044969895965	0.19793684430055175	0.004634972162907634
9000	-2064.8792473873655	-1812.9668080535057	-251.91243933385965	0.05790726447874439	0.15918682034662557	0.06431274209753735	0.05028662392589523	0.15817572813104722	0.003429369905778755
10000	-2060.8535126011134	-1810.0891538458582	-250.76435875525516	0.06657538581877534	0.08038512032169043	0.054655429250156186	0.08298234481878035	0.19194832652261792	0.003583920715000878
11000	-2060.5175945028423	-1813.4682183578923	-247.04937614494975	0.06008988867051928	0.0778435235469203	0.1254198899031823	0.1328039417905047	0.13034623866719802	0.003157805878498414
12000	-2059.184640681555	-1813.20922271988	-245.9754179616748	0.0812151488892081	0.09928206131669236	0.1087531761110561	0.08434026241458674	0.18546046485848217	0.0032658868598580515
13000	-2058.773608077288	-1811.5121746353893	-247.26143344189856	0.11535869700353972	0.1173888553172233	0.06198082115606087	0.08438320218868721	0.18098999416373188	0.0037036436250645344
14000	-2060.3470442039506	-1813.3574043875713	-246.9896398163795	0.11334438531340404	0.058990011155039004	0.06632642978794166	0.13170893420472723	0.12572962983773428	0.0036577200326625746
15000	-2060.0647451713767	-1815.0206643755268	-245.04408079585	0.07427851697508357	0.08814353776548227	0.09251066178821701	0.12553682708416805	0.12159857988554236	0.005157509254221977
16000	-2059.859953974482	-1812.6919261301719	-247.16802784431007	0.0786134435613091	0.058962112049057686	0.09298173275409918	0.11051224040203024	0.1625450632303548	0.003165133309508739
17000	-2062.5735465480943	-1812.5551903294197	-250.01835621867457	0.11315717842944382	0.06273036382340719	0.05499904276136408	0.11296987136019884	0.15665615259720797	0.005965174612856391
18000	-2061.5183742139398	-1812.143898414255	-249.37447579968483	0.06344422159641225	0.11293301563544123	0.056716853980217724	0.09492131689529558	0.15431244326867818	0.006512566226839663
19000	-2060.591285867778	-1814.663582520833	-245.92770334694492	0.12135365185078166	0.1131039061858174	0.07039010096855561	0.11770137675167341	0.13546810331644157	0.0034021214533906763
20000	-2058.771025267705	-1814.7711188600442	-243.9999064076609	0.07766904044707207	0.12668242866997742	0.12633829052835618	0.10490359516440874	0.11428992133617859	0.004083751539424234
21000	-2057.987208924562	-1811.4843565422643	-246.50285238229776	0.08826063728224941	0.12051940905416168	0.10885702840562929	0.11911701763020446	0.18046361908464478	0.005285913272195803
22000	-2059.1824519784236	-1812.7175523705116	-246.46489960791186	0.05546884016635273	0.09282501196218743	0.08170851358803227	0.11104977656044046	0.1343118990029905	0.003432822241439354
23000	-2058.612629058427	-1811.0176336075237	-247.59499545090324	0.11772077605012246	0.10232438289670313	0.07906712489985761	0.1323043158134898	0.2142212219855103	0.00511343382148924
24000	-2063.1151244254834	-1814.729081536533	-248.38604288895027	0.1075261196539792	0.07151443123950219	0.09465475572976327	0.07332483822359627	0.10782439434586155	0.0029738879577614315
25000	-2060.582133504162	-1813.1179635418434	-247.4641699623184	0.07128375616877271	0.11615659893601918	0.0719470332067074	0.1476777253716351	0.1727794391309561	0.0031133370196867304
26000	-2060.526064664139	-1813.3559397884069	-247.17012487573203	0.06718275481104792	0.10165253072136851	0.09486512553170814	0.075927621335195	0.11635485534563551	0.003460446300434056
27000	-2062.948948852529	-1814.0080099812071	-248.94093887132195	0.04769015837331524	0.1480828779883783	0.10452206864158461	0.12033629172069725	0.13741754697603548	0.007484407827143161
28000	-2062.59524719755	-1813.9229863688952	-248.6722608286552	0.14145125490534377	0.11131604036106875	0.14209285172563715	0.09297364381043488	0.20056757830780403	0.0065306288668704774
29000	-2058.4054971000833	-1812.0430249531062	-246.362472146977	0.10981138182035982	0.09796255369304908	0.06875972359789566	0.11481159649094189	0.1906226892700123	0.0035110725294025622
30000	-2059.2254216962765	-1810.8438219469608	-248.38159974931546	0.08671988304885192	0.13551725046771237	0.0971323737523439	0.10571222966764639	0.23350023086437868	0.005528539657190795
31000	-2060.337434105294	-1816.1017363090978	-244.23569779619623	0.06857717926231338	0.11429258739199394	0.12134584455406482	0.12815247078266273	0.12613648752296122	0.0030412818106058527
32000	-2059.2373301048065	-1812.109728195423	-247.12760190938337	0.0772760961306094	0.06346433664564681	0.07110307364764887	0.127492864830829	0.1496177487467554	0.0033209305157378168
33000	-2059.447447944804	-1814.3792077958826	-245.06824014892135	0.09868391262666056	0.07916147568609887	0.08480893742112468	0.08203267586613035	0.11393498554958213	0.004354833778076412
34000	-2059.59550211853	-1815.643135745137	-243.95236637339298	0.11373895738259208	0.10888586886473316	0.08260179673947661	0.1083127051826016	0.10942513829919498	0.003737165054130944
35000	-2062.329545942595	-1816.0758865097516	-246.25365943284316	0.059331310195636935	0.08168229660865438	0.1098628050295972	0.12698886424430175	0.09320906813626396	0.0031227092220793124
36000	-2061.265562256572	-1815.6387476376653	-245.62681461890693	0.08363156985711714	0.06282455740780042	0.08256998374928186	0.09362961997580879	0.11915901528162037	0.0026768208004360194
37000	-2061.051798765855	-1812.5900405691723	-248.4617581966827	0.13134909561358019	0.07097108791971768	0.1338039812696966	0.08946242403002405	0.2147171988421934	0.005385725435009639
38000	-2065.5135327621438	-1811.8303332040196	-253.6831995581243	0.09770380980374882	0.12584052864087383	0.11840997241648046	0.09633361522308946	0.172789516467351	0.005389904690945802
39000	-2061.775595968498	-1813.7261255742997	-248.04947039419793	0.1092130515132007	0.049941975748278224	0.08913250876330193	0.10360533081922242	0.14171078601866408	0.0035860012387742514
40000	-2063.0408650043596	-1813.2601073686271	-249.78075763573247	0.18289845620737705	0.12077922845140446	0.07638192767778489	0.102289279034624	0.20304020195436184	0.004306141359644972
41000	-2058.4933952073984	-1810.7764548316206	-247.71694037577763	0.08705730247836807	0.10462084470688725	0.07926069251167307	0.13752691851638146	0.19980938836434362	0.0045184789567776435
42000	-2060.491575535939	-1814.1604314424962	-246.33114409344284	0.12156519438167915	0.07278606711005191	0.11414360933261675	0.1790141868342251	0.12566879395411917	0.00641350708496964
43000	-2061.8159502497174	-1812.1463645811364	-249.6695856685811	0.10268518654115853	0.09744824780134402	0.06149290653011534	0.1688123782333774	0.1542837294227976	0.007348278090321056
44000	-2065.3662689990947	-1814.6208453823779	-250.74542361671672	0.17641121505745258	0.13207783333336418	0.11351018845166314	0.19353683194341104	0.19201655874803966	0.008377114230968801
45000	-2058.908545201527	-1812.9959692783734	-245.9125759231534	0.13424426554195512	0.09223044879408861	0.091871473439735	0.12899028751463418	0.15015916778565352	0.004558867685533122
46000	-2061.6246765869555	-1814.0915491419555	-247.53312744499976	0.14596132566256176	0.06296827776138238	0.177926542984988	0.12776170244032714	0.16021784647412327	0.004417691039572761
47000	-2061.4427665352637	-1815.9789528256088	-245.4638137096549	0.16822995463220278	0.0865851671518924	0.0945198334406545	0.11246745202815381	0.1350204728532504	0.005225533669202879
48000	-2057.7696405782417	-1811.4159548083749	-246.3536857698669	0.1201373026863984	0.14348750227811152	0.06667459037022834	0.0973665415868201	0.16852898566594546	0.004686970206128885
49000	-2059.997226793787	-1813.2465745105326	-246.75065228325423	0.11978144698226258	0.14733938899686536	0.06597395962381031	0.12981742533555274	0.16075302285441592	0.0038445732978206644
50000	-2058.3420600079376	-1812.8990093061489	-245.44305070178876	0.09535432765525595	0.06918620538657745	0.12745200806054952	0.09450175759082621	0.15834375748893317	0.004197942090771473
51000	-2059.025927855013	-1810.4821521252995	-248.54377572971353	0.0867595535565811	0.10525898688241188	0.07236688683215343	0.07180919925063263	0.18891781251080914	0.004857330901709154
52000	-2061.150158753109	-1814.6846542091976	-246.46550454391146	0.0593448569624579	0.07952103483691901	0.08101348377742133	0.13884694821756507	0.1296827799663084	0.0031635692119009757
53000	-2060.6146798515615	-1815.2672732139267	-245.3474066376347	0.09392320619502104	0.07970438101488973	0.1350166860521049	0.08158701192113056	0.10046016093415185	0.00423666907015665
54000	-2061.297433935876	-1810.2192995191056	-251.07813441677075	0.0677090514607411	0.11455897922765053	0.07294514791375911	0.08639359351224281	0.21253971984509457	0.004513116665518935
55000	-2062.3992005292207	-1813.141199615979	-249.25800091324183	0.05318856291401468	0.0826315070330379	0.10481329952412373	0.06679504445800452	0.13026746289458124	0.0036980460949891285
56000	-2060.053507367943	-1813.9970266650168	-246.05648070292614	0.08066647841555137	0.07202580410959804	0.11152200709089517	0.09387958747421933	0.1656481272372538	0.002842942754905481
