#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1710.881929916607	-1561.388680117571	-149.49324979903602	0.10570278943057661	0.1017896289444581	0.0955886923324009	0.0021705954567959487
1000	-1712.1792958230094	-1562.6771805452377	-149.50211527777165	0.13015738624443676	0.07137225866363539	0.12351356903806666	3.9359421710769574E-4
2000	-1711.164963113841	-1558.7357362668022	-152.4292268470388	0.09530795183129363	0.054874963070654724	0.1450324213775801	0.0018640031027562978
3000	-1712.545418769974	-1559.775281623436	-152.770137146538	0.10308974206497397	0.05780647686586512	0.10083367547007645	0.00433341540461571
4000	-1711.4489593048447	-1560.8352610274683	-150.61369827737656	0.07670975066283509	0.12602653231531885	0.12340077256341862	0.0035184752644090126
5000	-1712.5960377676547	-1559.084412119622	-153.5116256480329	0.15914025946946345	0.10649930784521389	0.1905326667880802	0.006575058842973563
6000	-1711.8967327194382	-1561.5668398857101	-150.329892833728	0.10384875141138225	0.16270920536631017	0.13587260039479632	0.0011738125752109706
7000	-1712.6351742880959	-1560.9360769693062	-151.69909731878968	0.07378136678666877	0.15359056666401155	0.13702474812814563	0.003135725537942435
8000	-1711.429110879729	-1561.722368228138	-149.706742651591	0.12805742868412964	0.13237100220197529	0.11113001187775769	0.0020270756882733733
9000	-1710.5353144120454	-1561.428009892522	-149.10730451952352	0.08965216623208923	0.12733180684700424	0.10678379566431917	0.0013362041027896857
10000	-1711.5758365745007	-1559.901135801373	-151.67470077312785	0.14271514506984304	0.08217871333047869	0.14533357261826005	0.002206283858195631
11000	-1713.331498140803	-1558.2740777386227	-155.05742040218024	0.0819992741539276	0.0438544940323701	0.1652822241240307	0.001586424247260374
12000	-1713.523590974714	-1558.8375209075507	-154.6860700671632	0.144237610632954	0.047771541323866025	0.11809182135731364	0.004090005888189748
13000	-1711.6330175409976	-1559.8274818127563	-151.80553572824127	0.06677022300041743	0.08810980282006498	0.12319281691946071	0.002391197576826758
14000	-1713.006049879156	-1560.6845898251768	-152.32146005397925	0.060754815042190234	0.07097793058517976	0.10228613129671614	8.296128133421172E-4
15000	-1711.3438685874103	-1561.3980276862815	-149.9458409011289	0.09315243434657962	0.08064595975978184	0.09553553014039524	0.0012093211250969258
16000	-1714.6600795385546	-1562.3510791605972	-152.30900037795723	0.12030674596373885	0.07163733087178585	0.19725937242515873	3.208624152644775E-4
17000	-1711.3378990227322	-1559.154083026614	-152.18381599611823	0.09679973257706537	0.0654208942749068	0.15153428240479708	0.001795917638864764
18000	-1714.7916191635984	-1561.3439605191152	-153.44765864448317	0.04969045564267448	0.12547171680538147	0.07481971292199203	0.001018293672252119
19000	-1711.295263722608	-1562.7001708383461	-148.59509288426196	0.10184235696397724	0.08828945254398388	0.12762629831738695	3.384020778582391E-4
20000	-1710.3838174471625	-1559.8457118311571	-150.53810561600548	0.1138325475109124	0.11570345533086801	0.18190888848257378	0.0023448999722094394
21000	-1709.8988366394328	-1559.9136485858298	-149.98518805360305	0.10674782942599771	0.10121542026244648	0.15219609858526567	0.0020550842291580536
22000	-1711.1094573874107	-1558.9743877914561	-152.13506959595446	0.1092862855245667	0.08234202989830232	0.1937484751318727	0.0027962796005567697
23000	-1711.8302455852913	-1558.9362994167668	-152.89394616852442	0.07536603502168004	0.05721257196069409	0.12333061814144505	0.0029554350715316506
24000	-1711.8406688185162	-1561.6729007233537	-150.16776809516242	0.11300409797283466	0.1261951494517143	0.154357681487336	8.715362589610882E-4
25000	-1715.3598506312867	-1558.2399515453785	-157.11989908590817	0.19328937741390478	0.07575094625336909	0.20087556805680326	0.003932453571696329
26000	-1710.8286671157998	-1560.5259901927884	-150.30267692301138	0.10062982829522672	0.10658249842824764	0.13339641117196846	0.005216779181461824
27000	-1711.5466908411952	-1558.8706478174931	-152.67604302370208	0.11727077991355507	0.0633231440312419	0.15581708460032134	0.00218567350978179
28000	-1716.489421469194	-1559.804068144063	-156.68535332513108	0.06744896848631836	0.07841052416274592	0.10705863742811353	0.0018114168432676007
29000	-1710.548766326224	-1561.9458153022613	-148.60295102396276	0.12049511253058302	0.12567371255312512	0.13611825920884973	8.98553270758988E-4
30000	-1711.205803481549	-1562.034243577812	-149.17155990373698	0.12313694763474291	0.1024602655697036	0.1363124171135984	7.38158999458949E-4
31000	-1711.3194863946078	-1560.8971445093357	-150.42234188527217	0.07673979967685086	0.10662087685959677	0.0911717165142998	0.0023222861721967215
32000	-1711.417853320706	-1560.9506543372881	-150.4671989834179	0.09620054225809531	0.08803665307700698	0.18114444389326778	8.535982240921688E-4
33000	-1711.0754984819368	-1560.7160367586337	-150.35946172330327	0.09714629664225236	0.07199424591510008	0.13689797076149693	9.796825821572657E-4
34000	-1714.5241887653167	-1560.3646004588845	-154.15958830643214	0.08868886049974715	0.0735164127894568	0.21841945188145465	0.001004011505917808
35000	-1710.9342056280589	-1559.1126668082243	-151.82153881983461	0.13586708571873707	0.06834177157542706	0.16246490783884895	0.0022176022303997288
36000	-1709.5495274709187	-1559.6030040567884	-149.94652341413035	0.1095642638234442	0.08492883639329635	0.12584378274888125	0.003031095476525906
37000	-1710.074484816791	-1559.657589792458	-150.4168950243329	0.11019897646435567	0.1024642360767296	0.14471396583381244	0.0029432043329098287
38000	-1713.1630933443985	-1558.4700954434597	-154.69299790093865	0.13492623582178703	0.05985724100202078	0.14123255177029048	0.0034927305320984325
39000	-1710.5703655784823	-1560.1094904043566	-150.46087517412582	0.11440990000285742	0.09583911464846043	0.1338816100062714	0.005747233044422809
40000	-1712.1670746680923	-1560.094397250664	-152.07267741742822	0.07127142254073765	0.07281531093703923	0.1059548583734854	0.0033416828959076162
41000	-1711.6325564178592	-1558.6335083358829	-152.99904808197638	0.11165743196319258	0.04820344111275876	0.14032876986257142	0.0018959852769277821
42000	-1713.1604551113012	-1557.6073700571565	-155.55308505414476	0.10049715656071931	0.04018656211922577	0.1727548053570566	0.0020878764630125517
43000	-1711.9400346977704	-1561.24474512315	-150.69528957462026	0.09819672249527113	0.060307503801331055	0.11821552391628194	7.597088933731749E-4
44000	-1710.3691261874833	-1559.1605475219937	-151.20857866548948	0.11194532903488888	0.0879252138112099	0.15937042684218417	0.004162454152308392
45000	-1711.164202374999	-1560.0559135027543	-151.10828887224466	0.16161887089191188	0.12497603803149916	0.1686939317287188	0.003004819688547823
46000	-1711.7032201112984	-1559.6017942779956	-152.10142583330267	0.1013912748522794	0.10848093099909713	0.18278920449447877	0.002967870490730756
47000	-1717.8834956561793	-1560.1927719049584	-157.69072375122087	0.06686160153382013	0.04022489154794456	0.06780863510238982	0.0025091514735377596
48000	-1712.7604843332326	-1561.796263903028	-150.96422043020462	0.14360237863821204	0.10367833996483262	0.13608149051035745	0.0010501543872193555
49000	-1711.6793778264412	-1560.4107885977162	-151.26858922872503	0.06297289259672963	0.09413981138507463	0.1509025621503229	9.352727474789995E-4
50000	-1709.893321132459	-1559.186618607847	-150.70670252461204	0.09186056525636659	0.0800142202454507	0.14601236687786068	0.0025642344826186238
51000	-1712.928678905415	-1560.5886171766508	-152.3400617287641	0.10541796930707993	0.056907059292637674	0.09035164870476575	0.001917770645386864
52000	-1714.2601686588696	-1559.7653484677992	-154.4948201910703	0.09657653028273931	0.05597554883623719	0.0979381116306506	0.004069655029452313
53000	-1710.8212143655614	-1560.2990800136815	-150.52213435187988	0.09946064509533742	0.1200734380179206	0.13493709752948171	0.0041950904725038
54000	-1712.084151404585	-1558.406631635286	-153.67751976929912	0.09851236822978947	0.047071685241128605	0.12919245749054598	0.002139552964904082
55000	-1714.3668329006412	-1563.1705917710046	-151.19624112963658	0.09062274962739193	0.06938994353589611	0.09597896453314876	2.485604181835944E-4
56000	-1713.8909914348044	-1563.2531971288563	-150.637794305948	0.07883263859731382	0.08500604636443224	0.07716646670141601	3.603748224088806E-4
57000	-1713.0521589172417	-1559.8863435885532	-153.1658153286885	0.05842955407167375	0.09593119007301848	0.1411630251200288	0.0017408151425766848
58000	-1716.607427519578	-1560.742897650644	-155.86452986893414	0.08529601066783395	0.040723772444127976	0.1312343163573751	0.005836711983016055
59000	-1711.664874744538	-1561.4155151279524	-150.24935961658562	0.07511949396280614	0.09012013591789961	0.1561912938639673	5.75867623848605E-4
60000	-1709.9856224535017	-1561.172607627677	-148.81301482582467	0.12036246785225559	0.10625792180649023	0.1334855980992168	0.0013477827254566525
61000	-1712.817917413291	-1562.940321818643	-149.87759559464794	0.1384320791013583	0.07045425463452938	0.10293038522492197	4.6554452131937436E-4
62000	-1712.688728284345	-1560.1235690278127	-152.56515925653218	0.11984233598312254	0.10927229877351573	0.22663912115630602	0.0018925485316098032
63000	-1711.652982529112	-1560.7236845984712	-150.92929793064084	0.0739265005615783	0.14659809112332547	0.11270816685427025	0.0018903745595267322
64000	-1710.807324021858	-1560.2008142231507	-150.60650979870726	0.10424287985911908	0.1107217264534617	0.14117929968411516	0.0020287990211209383
65000	-1710.522672464077	-1560.1055909891015	-150.41708147497548	0.06933434805712119	0.11049405560056565	0.12730737583037172	0.001770785407394824
66000	-1710.832900930641	-1560.31552530512	-150.51737562552103	0.1249203835154192	0.11433789943079908	0.18229943307824684	0.0017820485955285775
67000	-1712.2743959958852	-1561.3489171744827	-150.92547882140252	0.07820610916967524	0.16070600253842293	0.16857444589712073	8.214315051885846E-4
68000	-1712.3889195207134	-1559.5150920016304	-152.87382751908302	0.182523520049249	0.07566115188243205	0.15278429817819422	0.0028107554265983294
69000	-1710.5703818450145	-1561.34371073651	-149.2266711085044	0.11959913258162175	0.12005122591060462	0.15550898326729315	0.0010965829267127341
70000	-1711.1861695205566	-1559.1231005946988	-152.06306892585792	0.09947156691169526	0.060416225778103946	0.14707343917986906	0.001727405735197639
71000	-1713.5637497110934	-1560.5601844483526	-153.00356526274072	0.10384372640910562	0.052927865612606075	0.08300673894910655	0.0027397047462554233
72000	-1711.673318293957	-1559.221850717743	-152.45146757621396	0.1679750021549059	0.07812326408038217	0.17237712598436208	0.002646473000021825
73000	-1712.2435086828905	-1560.3226419368623	-151.92086674602825	0.1285929420815245	0.11852873690876792	0.17940858526088518	0.006925065919858795
74000	-1712.7964608564287	-1562.6194316415413	-150.17702921488745	0.06865827395793289	0.12706132825956182	0.09939272645115407	4.0306956137802874E-4
75000	-1713.9079126316587	-1558.5600403307014	-155.34787230095736	0.11904797798449321	0.04378201087131163	0.1247598703024395	0.00478096018813557
76000	-1711.4019475658583	-1559.8560166554544	-151.54593091040405	0.1367633809094658	0.11295296759929319	0.16888785701268805	0.00675662850620113
