#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1778.5820047271907	-1527.199598200758	-251.38240652643276	0.0759884770817354	0.13161750292555857	0.07209799846794869	0.09540081459466343	0.11216391710043215	0.0067912122759185
1000	-1772.1730314822262	-1525.9321884327173	-246.2408430495089	0.10131029696649445	0.07728337360999839	0.09350383392634617	0.09255168865528451	0.1361451014603207	0.007014867410818864
2000	-1770.163979761197	-1523.080703305488	-247.08327645570895	0.15191266321576752	0.1071274047967401	0.11514190905109635	0.1472541820049161	0.18340153879722354	0.006764203947708039
3000	-1771.9262470093374	-1522.9077678271879	-249.01847918214966	0.06062589774750394	0.10231218562737797	0.05923740411180444	0.09566005521513518	0.14691419166340555	0.005231948873371089
4000	-1771.7187157802703	-1524.8783895268502	-246.84032625341993	0.08174428990408744	0.08746914721751681	0.0631807315491678	0.11148358357421118	0.14288275869401804	0.003587831578339092
5000	-1772.8935731476527	-1525.1949728035866	-247.69860034406616	0.08749776266156553	0.0817745087464734	0.15884547808732022	0.08074461911159497	0.13040707420881079	0.003635722727959145
6000	-1772.2351711878953	-1523.9880050083661	-248.24716617952913	0.07918653756529401	0.08295503613224638	0.08477660028527877	0.09708729453307444	0.21760160501410142	0.004026882766360276
7000	-1777.004946033299	-1521.7825276921867	-255.22241834111213	0.10619497855600593	0.040368509654842406	0.042803895808243446	0.11404232979999791	0.1662558803584373	0.005426311789369041
8000	-1771.956658420562	-1523.75684775449	-248.19981066607184	0.13788241979330626	0.06975129958304249	0.13055210615017895	0.13114847447179676	0.18531746569890248	0.006175703661488577
9000	-1775.7896731180954	-1526.00203164286	-249.78764147523543	0.09496763300767232	0.08077070143385509	0.07236610480256288	0.06625125342136995	0.1759313148255215	0.008420147033976071
10000	-1770.9010473512606	-1525.8769159342962	-245.02413141696428	0.09068176723944243	0.08116604630275244	0.07668305267949735	0.09251652128827702	0.13163390866967997	0.0030745604776295106
11000	-1769.3386119902168	-1524.1834161118768	-245.1551958783401	0.1338554720631385	0.09456530909337893	0.09617999544364657	0.11134072236534272	0.13657978239881363	0.005621866897388533
12000	-1769.8336348413586	-1523.710880182054	-246.1227546593044	0.1052054201204069	0.14702466185666183	0.090316703007185	0.0869571926099132	0.1849704915218933	0.0044011763542821
13000	-1769.3345106897616	-1523.129285236283	-246.20522545347856	0.09644670985303702	0.07382588069062992	0.08953166535207865	0.08290142714479475	0.16330255552430245	0.003975903178738552
14000	-1773.7443692846673	-1523.6876399693597	-250.05672931530773	0.12355058966384828	0.10205290377202068	0.08850783539467198	0.05133123101669121	0.16312668273193895	0.006797857428936657
15000	-1770.326480874194	-1525.3843614600924	-244.9421194141017	0.0987439295228785	0.11318185881139263	0.1679474558384075	0.08811876191688055	0.13016732860894167	0.004629260309441085
16000	-1768.803085442879	-1523.6006643135083	-245.2024211293706	0.08343925807220849	0.12216490125384658	0.1276113949737337	0.08592817567505114	0.14941257134632174	0.005036831901196143
17000	-1772.5659158384656	-1524.0233341651183	-248.54258167334737	0.1077754068523259	0.09015365493690274	0.04792576454157564	0.09163828546419676	0.11174969060724115	0.005314623395632172
18000	-1771.6105369056218	-1525.7447508605833	-245.86578604503853	0.0862478341859884	0.10730717970251619	0.08010633832160867	0.09864505242059957	0.12714244766083885	0.007707760593931063
19000	-1769.4540955913576	-1523.5569806799626	-245.89711491139488	0.07452447299039543	0.0881741449325423	0.08435084693780354	0.08686026053436496	0.14011826038374292	0.004703951611377985
20000	-1772.9830476693874	-1525.9345932541037	-247.0484544152837	0.07293407569132429	0.17596689014731784	0.08933252992810603	0.11964211977186136	0.12509563196321782	0.005751411465755971
21000	-1771.2265218933524	-1525.3050788255755	-245.92144306777686	0.06127080987145194	0.11647081477022089	0.1335381052682299	0.1093506240554882	0.1461081411644375	0.004087376050140235
22000	-1772.2982255272686	-1525.4023837343257	-246.89584179294286	0.1565902253966799	0.14226729600768193	0.08114444006634655	0.13279021863027554	0.13873180054795267	0.008500321926105565
23000	-1768.4040433948492	-1522.3783064507106	-246.0257369441385	0.09334397117071348	0.09194124541268801	0.0819690836216585	0.11176626919510678	0.17151773998733189	0.004785844073982066
24000	-1769.472647551746	-1523.786777714358	-245.68586983738783	0.08149395982572603	0.09776144172208634	0.09209957549823203	0.09711859807867074	0.17094270078492088	0.004329750158048849
25000	-1775.031824537695	-1522.2858437899208	-252.74598074777424	0.1464426543009111	0.11467811466717023	0.05518215330376551	0.06620210464925444	0.1986038097648929	0.008098825366822916
26000	-1771.784485008817	-1525.8988838781197	-245.8856011306972	0.13797744392055386	0.14050850353778185	0.09413767039303643	0.08829289596877257	0.13967293324479263	0.007322216760828706
27000	-1772.043011640443	-1524.6589333028703	-247.3840783375727	0.1577244307287646	0.10111031823357294	0.13066125587024335	0.09330831678556084	0.14018734710187192	0.007401754773507223
