#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1794.7666784878752	-1545.702000152775	-249.06467833510004	0.12216514970138867	0.07744171549395089	0.040367311431406885	0.13930461670644956	0.14649327465728337	0.003225186988635037
1000	-1794.5667977475568	-1549.4056776200493	-245.16112012750762	0.11223032940528012	0.10075907081798557	0.12233764338100223	0.085607736423132	0.10978531552742266	0.003741488472878088
2000	-1794.1373375587675	-1546.3235272342667	-247.81381032450068	0.07783858224221321	0.049199320982851034	0.08112743005259179	0.09999786360324789	0.12962205763378717	0.0032278725451561534
3000	-1793.769032364903	-1547.7333416576632	-246.03569070723972	0.11598013087292211	0.07432826603986172	0.1651436955256458	0.08192531206386616	0.1521895102740177	0.004011560504563842
4000	-1792.5624824114636	-1546.2968047576892	-246.26567765377445	0.09652302475110168	0.0948051097145844	0.12316751587276524	0.061303604455870894	0.1853859071254192	0.0019110251997132243
5000	-1792.9740598040205	-1546.7156789255764	-246.25838087844414	0.0863067086601225	0.08104845764452075	0.10480238799737997	0.09000181859281225	0.15396667498449765	0.003404972387595316
6000	-1796.148116755551	-1548.7100206822206	-247.43809607333034	0.06575137955580611	0.14343526022514466	0.18202378177040418	0.12313540754982535	0.15388653998903118	0.004606731638936893
7000	-1792.2822282466886	-1548.6318029802014	-243.65042526648733	0.10927596074180468	0.10028938638052236	0.1248167829037847	0.10817491188953861	0.12189222866276898	0.003452258728840269
8000	-1794.1757287443095	-1546.2566119714934	-247.9191167728161	0.13873456661124786	0.16924180015345025	0.07327181768243349	0.17481997644318475	0.16029311393774243	0.005089864279605951
9000	-1793.9960569552359	-1549.4800480186323	-244.51600893660355	0.10337922979181696	0.0684667414652932	0.1481448111189941	0.09066205820398762	0.11071486363949214	0.002306060777130934
10000	-1795.0080426024433	-1550.3858398512707	-244.62220275117258	0.15542090311457907	0.12755086273168215	0.08567899493844786	0.09566214693054416	0.130436073379299	0.0037357010716647498
11000	-1794.2942709953254	-1547.9643536796746	-246.32991731565085	0.06831594540387088	0.07827643077434791	0.07455563444038185	0.08699869858858791	0.15046582069036193	0.002525907234602691
12000	-1797.5863652756616	-1550.4157933626027	-247.17057191305898	0.1569262995233284	0.07845812637886396	0.10148956800891297	0.08762480459390225	0.20060914879041256	0.002268175684305311
13000	-1792.1797801807072	-1545.8112063056774	-246.36857387502982	0.10378007713246211	0.059629199136765475	0.10292045823563624	0.09697669929433649	0.17539199265926755	0.002974790108901255
14000	-1793.2983167683844	-1549.1892628186447	-244.10905394973975	0.10679823811371245	0.11275952150314715	0.07409761017278489	0.07582605117180628	0.11481913564599341	0.002304714491982728
15000	-1791.0123383795717	-1546.2216487029023	-244.79068967666956	0.14363976334875977	0.10779574072821248	0.09044653228869162	0.11756122727042646	0.1849568930545363	0.0032333209255592165
16000	-1794.046845027673	-1546.8244221760085	-247.22242285166453	0.11080123315417528	0.10278584034482695	0.04889967780149941	0.1351649396787775	0.17005327358487832	0.002058450390755596
17000	-1795.1197552276649	-1549.805054049038	-245.31470117862682	0.0800743948039028	0.11001783512476322	0.05669579682547639	0.12221585924379971	0.09435503730376857	0.0016295477337161205
18000	-1796.2806432277164	-1548.7224920283675	-247.5581511993489	0.07025416553991011	0.07714682011274769	0.08399039758427487	0.08480171747149691	0.09429307851953413	0.0036050757701485197
19000	-1795.7434389315729	-1550.3854289728677	-245.35800995870514	0.06574703440650688	0.10398722347221226	0.1751713169829645	0.07202343902556249	0.09709442810840084	0.0012219968766864564
20000	-1801.7651936745344	-1546.5956316452748	-255.16956202925957	0.12740419033470118	0.17148869534911917	0.0645388596333508	0.1827209507994985	0.20026792640613714	0.002365412816593221
21000	-1795.9188195359927	-1548.720005447227	-247.19881408876554	0.06345608990480635	0.15753493645178795	0.08911862149382761	0.07153388468704522	0.14801010878371085	0.0022917267271541707
22000	-1794.8679363868373	-1547.7719835268072	-247.09595286003008	0.11571905208316163	0.08739547725543322	0.06435764676514538	0.10408865894871618	0.1389059148744167	0.0065972572011602
23000	-1796.278539594272	-1550.3863247506224	-245.89221484364953	0.0804294571451111	0.055405425845848164	0.10011253836559368	0.10695221130974836	0.10286113551377359	0.0029530261536908496
24000	-1797.2267327723875	-1545.2096984756286	-252.01703429675888	0.07316885069329472	0.11988206782724191	0.02915313301635284	0.08795365104036364	0.14767088836783906	0.0018067558215337882
25000	-1795.692582950985	-1549.0562813967858	-246.6363015541993	0.09929729708946393	0.12053651847321238	0.0721506369245532	0.17091727388088937	0.12331250156123594	0.005901659013437411
26000	-1794.4109836259886	-1549.861146993647	-244.54983663234154	0.07611128645765805	0.06766350768666243	0.08815024466178821	0.09804066461967269	0.11755153261221728	9.795674584308545E-4
