#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72793.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72795.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72907.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72909.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72900.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2059.7917078122173	-1812.8877443273955	-246.9039634848219	0.11775514980943513	0.12481489850749568	0.08021937627123416	0.06945112568675382	0.13621070905765642	0.0038426119340355626
1000	-2059.2072583024014	-1811.8078955619967	-247.3993627404046	0.10822119035915219	0.08500390116476327	0.08578815636799181	0.1351479893784947	0.1857741855223441	0.0071477188525976105
2000	-2058.9448263363256	-1811.0864495950384	-247.8583767412872	0.06794244860875928	0.09155909252422074	0.07307152958035973	0.1308506963447379	0.1678072198119868	0.004132526697757866
3000	-2061.885788147871	-1809.9231848757522	-251.9626032721189	0.06852069140167612	0.15592390950251128	0.05650272129740139	0.15633875142293685	0.22003122797575533	0.004822607356114346
4000	-2060.8274790950136	-1814.0976978102622	-246.72978128475165	0.08156654605392123	0.11882752926572585	0.07529895764448032	0.1546756828871314	0.14239147894950463	0.007458354633287955
5000	-2061.275195967289	-1812.6505949358752	-248.62460103141404	0.12248233577667736	0.1525075223452437	0.046325145696974525	0.12516146370370188	0.14087030530182076	0.006392548034382488
6000	-2057.6705042188423	-1811.0978196839512	-246.57268453489087	0.08795223313661622	0.09805775205405795	0.06901146987706565	0.09413731377224323	0.15675068137372816	0.0048724491766280655
7000	-2060.4178035991886	-1813.7161084305126	-246.70169516867614	0.09359864909574703	0.1012707224215048	0.06816184785066592	0.14602434168916958	0.1396921219875085	0.008071512970607785
8000	-2061.380248428801	-1811.9729052277048	-249.40734320109627	0.18307118436153846	0.1304390082183341	0.058162501633945644	0.08862505117072103	0.16108679226579845	0.005929510722839251
9000	-2057.915637192979	-1813.792515087331	-244.1231221056478	0.10605625932440486	0.09733117155235367	0.1315514372464626	0.08006040135974571	0.12661708526952295	0.004050441644936219
10000	-2060.3532515646316	-1812.3678912259406	-247.98536033869075	0.07347455012363366	0.13930308402540992	0.05626610626841297	0.0861686844283857	0.1318931295278103	0.005116594735340284
11000	-2061.4759420553364	-1809.902633243983	-251.5733088113533	0.08827583527506128	0.12737552254493226	0.06466860785035111	0.07831732521599313	0.20101042545065695	0.004647472042127239
12000	-2056.710411905839	-1812.2182239275485	-244.49218797829073	0.11260028290492252	0.10209926723884798	0.09076137852905215	0.10838342380502185	0.15820580300506412	0.004548146282513221
13000	-2059.4412605120624	-1810.4382069145017	-249.00305359756064	0.07042554372619358	0.10387105801053417	0.0628295206958446	0.06853339494505818	0.16537578829713817	0.004063030161537124
14000	-2059.7947692812054	-1813.3845872442819	-246.41018203692343	0.09854000476926068	0.11633206917960488	0.11043717711552475	0.09396243655455003	0.136236905159613	0.006249489490637824
15000	-2060.005349196756	-1811.6356436942428	-248.36970550251323	0.06555872025415317	0.11347269902258017	0.07219970855051552	0.1453725550317847	0.170570034417593	0.004363445076753554
16000	-2058.726408271509	-1812.5203484509773	-246.2060598205317	0.09978668008792214	0.10463964891037278	0.06673236006264952	0.08807011234294976	0.13093606778542521	0.003786440077649756
17000	-2057.772401914397	-1811.4339147002052	-246.33848721419176	0.07443434360792642	0.09418660070459754	0.07457186990379025	0.11492371243458435	0.15983952817984537	0.0037840313845074166
18000	-2061.081165365304	-1812.369136700932	-248.712028664372	0.09312643072284266	0.06337045451811876	0.10222204367042112	0.15864208007414232	0.18752174965625582	0.00654723254329077
19000	-2061.763039386066	-1812.5605039348725	-249.20253545119323	0.03961062557517564	0.11649682733817363	0.10443889269330864	0.13392723865907127	0.1412706759608027	0.0043925112590434984
20000	-2064.218163030193	-1813.514775863375	-250.70338716681806	0.07284406913668812	0.05351707954262316	0.055589282568050215	0.0765555630881551	0.12043189133281325	0.0026136238161321734
21000	-2059.495560090138	-1811.7760396661306	-247.71952042400756	0.086568558275934	0.07560988925838742	0.057448649009279124	0.10138847683859846	0.1513205211309087	0.003893068633944557
22000	-2058.0492132988925	-1811.7717383812483	-246.27747491764427	0.09438076361787501	0.12293705227481945	0.08367326794533661	0.0951708614464207	0.16294016732978525	0.004964850903008257
23000	-2059.3653907293838	-1812.522988959377	-246.8424017700069	0.13396506163062846	0.06649953159103167	0.09029386658524377	0.08666244632125597	0.1583878184130207	0.004543646961649327
24000	-2061.4429983923133	-1812.8709082736996	-248.57209011861363	0.09042174566386103	0.10905279860190234	0.09272209494549934	0.04151221229001641	0.14582186036191624	0.0036103585563262595
25000	-2060.371681173575	-1813.4277033435164	-246.94397783005837	0.06900570094551589	0.12017872647124728	0.06650562362949577	0.07112884593234335	0.12177381338227616	0.002745155442455121
26000	-2060.033718760414	-1815.143761559233	-244.88995720118086	0.11949305406831376	0.07793447229015589	0.12498856253180161	0.11457910393925663	0.14888991533782098	0.004781610656555129
27000	-2059.5491470824904	-1813.750643688878	-245.79850339361252	0.07733414640160989	0.08009421413612766	0.1381246718745303	0.14916710478549525	0.13835894547705088	0.0033133356887696383
28000	-2060.4440813984434	-1814.8587703177075	-245.58531108073606	0.0745613826656574	0.12645165746021303	0.11695227915113417	0.08624276571399125	0.1742462443982485	0.003098383367453725
29000	-2058.9010626874865	-1811.0332077722287	-247.867854915258	0.10339108222032178	0.1355532921039707	0.08473777693852903	0.07075806149158186	0.2084806073584247	0.003997057673708539
