#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1711.9145485017	-1559.3250205650888	-152.58952793661112	0.12447725177045131	0.04925458070678536	0.11409376227027329	0.002165342219293606
1000	-1709.794885848047	-1559.4302673189575	-150.36461852908954	0.1289098915869002	0.0799868894445736	0.133243602823628	0.003112902434019118
2000	-1710.4369682166612	-1560.6413555300103	-149.7956126866508	0.10687677619433437	0.1131961167491079	0.11022792775924829	0.003727765934026432
3000	-1712.2329130532996	-1559.8389098459065	-152.394003207393	0.14382835220403653	0.13870107948689095	0.170695294356962	0.0039633777545833885
4000	-1715.079990576813	-1560.907200388117	-154.17279018869615	0.06508194327667279	0.07592514206661226	0.1596835902740633	0.0035746093683025632
5000	-1711.233734484259	-1559.100029598464	-152.13370488579494	0.09737912648811238	0.08112038019368038	0.18474271383250082	0.002468368031347355
6000	-1714.1353992735544	-1557.6333598008162	-156.50203947273815	0.11505821338133239	0.031170991346050114	0.12386162798032381	0.0023129536528500648
7000	-1712.6583895414274	-1562.3209627956617	-150.33742674576567	0.09847066684031205	0.06438393309927495	0.14298474802282757	3.307603075241745E-4
8000	-1709.9330738809956	-1560.100658681673	-149.83241519932267	0.09308727395274857	0.11044582201143648	0.12453307348593406	0.0028488489217232383
9000	-1712.4307454588486	-1560.0521862471999	-152.37855921164876	0.12316709253824755	0.06417785101955825	0.10817712841228158	0.0056891250735593545
10000	-1710.967012657146	-1559.8765766341007	-151.09043602304507	0.10822672013914923	0.10493364636989853	0.1330436675308555	0.0030447926269019585
11000	-1710.2055117718255	-1560.5789195734615	-149.62659219836416	0.10788077878194466	0.13317337634225113	0.12159226390206611	0.0034806665539653912
12000	-1710.359449042007	-1560.3416304881364	-150.01781855387074	0.08982548835461102	0.09627748618410724	0.10502530935777218	0.002982690899212234
13000	-1711.0067488273703	-1560.059498794571	-150.94725003279936	0.14732468560427872	0.07749722941695936	0.12695010578268717	0.0025780387337600895
14000	-1711.160293837287	-1558.6815451931245	-152.47874864416252	0.12448780741833798	0.06721797585169374	0.14268944233117078	0.004554007947724469
15000	-1711.798341923655	-1560.7253231271466	-151.07301879650836	0.07947700797118448	0.09220590158927658	0.13836008309301026	0.0043524869894159554
16000	-1715.7538583668602	-1564.0770888075663	-151.67676955929397	0.057315340342377924	0.0970712813782601	0.09118930654557497	8.908481506631427E-6
17000	-1713.0000663059384	-1562.179603235967	-150.82046306997134	0.10271526878200414	0.11129232832340354	0.11381939044015243	0.007352633842214538
18000	-1711.9008327053218	-1560.1714100147256	-151.72942269059618	0.08715334592824807	0.0706004805224292	0.12366736000938243	0.004825118479731633
19000	-1712.4697153249576	-1560.4880048290797	-151.9817104958778	0.08230106642031036	0.05822139857741852	0.15278255290357262	7.679954810081455E-4
20000	-1713.3932020876262	-1558.3966581504715	-154.99654393715477	0.1870214103643777	0.0634794340607695	0.18912615746485661	0.0029449880883048547
21000	-1710.3194702414485	-1558.9563055437848	-151.3631646976637	0.13322835177748676	0.08472528763251819	0.15293751660837857	0.004170082875521421
22000	-1711.3410443856533	-1560.6118944261652	-150.7291499594881	0.11373592224954929	0.07458681604701192	0.11614899454134163	0.0015556524454796374
23000	-1712.7568178527542	-1560.6638232560938	-152.09299459666053	0.0789459154415709	0.0634596865820343	0.16112477627203192	7.162389814355686E-4
24000	-1711.3126712334351	-1560.713489768185	-150.5991814652503	0.11181761319769674	0.09196292111474125	0.10667373137524494	0.002356307991001528
25000	-1711.6246996360478	-1563.131442229217	-148.4932574068307	0.11679720877061492	0.13736909216185839	0.10625347192069855	4.951955838348281E-4
26000	-1710.6507918824898	-1560.5332222296026	-150.1175696528872	0.10424079754828863	0.08402419688472106	0.12700593074897282	0.0014332811629613497
27000	-1710.2115175810245	-1560.0597662142436	-150.15175136678084	0.12255112358707695	0.07860708034985277	0.15449687249530988	0.0015835132773468152
28000	-1713.2249485823418	-1560.5722962823952	-152.65265229994645	0.08444643384249315	0.06063906720728571	0.08159124634028411	0.0020644258880623753
29000	-1712.164766693707	-1559.5925186566546	-152.57224803705228	0.07386090069223195	0.08351677088103714	0.18885604675842133	0.0017635041225995945
30000	-1713.0640696905205	-1560.2529330549423	-152.81113663557812	0.05585342537876771	0.08169312118199135	0.11153533796711623	0.0024603663523330454
31000	-1714.458049063386	-1562.0579626878136	-152.40008637557224	0.11405489215532287	0.09102400023929173	0.08420060902016585	0.0024997354517756073
32000	-1711.8832066883476	-1561.7407220319226	-150.14248465642495	0.10689408870687225	0.08073454044107402	0.09185781982022864	0.0013787622412158548
33000	-1710.5029499484551	-1559.1210651062634	-151.38188484219177	0.08145631490184144	0.07327655324614084	0.13905363809363355	0.0025608066195164795
34000	-1711.6986768767479	-1560.8327685070267	-150.86590836972124	0.07612168962256556	0.1042893360980123	0.0982300616342117	0.001575231640718563
35000	-1710.8254343609256	-1559.0434209359987	-151.78201342492673	0.08918704573867609	0.06094910602330358	0.11596474860868054	0.0026108557311737973
36000	-1709.5405475147006	-1560.4407143485105	-149.09983316619017	0.10723009661217614	0.10317651492586218	0.1241921213837737	0.0020485911358461137
37000	-1711.0966888388275	-1561.9342546896446	-149.1624341491829	0.11790100010909059	0.11316690440868704	0.1639254005626139	6.653534741015737E-4
38000	-1715.7673515516772	-1558.5778639206137	-157.18948763106357	0.07727938382089135	0.04871870833466745	0.19421268568568287	0.0029413773581928693
39000	-1710.1059261228784	-1559.7276120484312	-150.3783140744473	0.1320325959591587	0.10825669681567432	0.1574229917586668	0.0029207524669644922
40000	-1710.3063961600126	-1560.7986048412197	-149.50779131879298	0.09978251695982436	0.12165444559616338	0.11919075092675084	0.0019074254485308402
41000	-1712.2466778585392	-1561.4060344832897	-150.8406433752496	0.08462013698007179	0.08273057920667053	0.08069152931765296	0.0017949445714875822
42000	-1711.9267386410058	-1561.3231794091191	-150.6035592318868	0.12572709039012198	0.1100169309021589	0.10039481164347382	0.004334783569921186
43000	-1714.104092981435	-1559.9255483566287	-154.17854462480645	0.20421988857552162	0.0750680890377002	0.1284313523727253	0.008006432796367804
44000	-1711.6010786887987	-1558.3751719317286	-153.22590675707008	0.1332072885119953	0.06286489786304002	0.18385421988966533	0.0026490762427363317
45000	-1713.173065506634	-1561.0315976260422	-152.14146788059176	0.12192049315151612	0.17006955622972486	0.14407397949929554	0.0020743065576540537
46000	-1712.5625490848881	-1559.913746465321	-152.64880261956708	0.07686218679725693	0.06320371648970934	0.10137277630122203	0.003620896408090632
47000	-1711.5489757630219	-1560.0773759074739	-151.47159985554802	0.13988370860930052	0.06676515774299413	0.12243646950126875	0.002114241107385037
48000	-1713.5197936139757	-1561.547523317518	-151.97227029645785	0.07954889934792872	0.06236457634403304	0.14861844576919161	4.5955256175468103E-4
