#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1708.6719492593552	-1555.7242362638654	-152.94771299548975	0.05495128237308297	0.07850080350756299	0.1493440748271998	0.001680016374935274
1000	-1711.8283380078808	-1558.6743507761557	-153.15398723172504	0.056524931728826576	0.11179359177381835	0.0735440056730831	0.0026030979775832053
2000	-1708.1903445937096	-1557.9094646604603	-150.28087993324934	0.12944840274817282	0.1028943782904975	0.1085702376083994	0.0038062574223495646
3000	-1707.9109798305294	-1556.7299876820266	-151.18099214850278	0.107965713695119	0.06369565873078095	0.12935575398007185	0.0013533589715286642
4000	-1707.9131679732295	-1557.8063725925758	-150.1067953806538	0.12013080216219324	0.08997234406487113	0.12652640269133944	0.0012188001534614943
5000	-1706.937291564087	-1558.0309677349596	-148.90632382912744	0.11488851488077532	0.09616278562240953	0.14799779275441902	7.510758866166624E-4
6000	-1706.8562632905816	-1556.3971070005741	-150.45915629000757	0.07930216527139967	0.09114225690235617	0.11967654372747495	0.0024749283962878965
7000	-1708.0064781747517	-1557.1898152797946	-150.81666289495698	0.0764196148076176	0.07862052327697491	0.14087584406079365	7.573685718769205E-4
8000	-1707.936346146321	-1557.4080657978966	-150.52828034842452	0.07508862211461677	0.1336988070388739	0.11846812803524391	0.0011906212544568295
9000	-1708.081289135805	-1557.4841496358815	-150.59713949992363	0.07401666125327874	0.12448429465145854	0.12058483756324238	0.0010072637537629353
10000	-1710.3301413344193	-1555.992265809511	-154.33787552490827	0.07437788275709202	0.0624017435118234	0.11106255597700954	0.0018111071425819432
11000	-1709.5338782798763	-1555.5427199514058	-153.99115832847036	0.06030202558439808	0.0566578218410679	0.12238159092235402	0.0013713073311677918
12000	-1708.8903034054945	-1556.572301296257	-152.3180021092376	0.0760166193858866	0.09422887480960536	0.11412843481005762	0.002291093798236193
13000	-1706.3357828563273	-1556.2217549845207	-150.11402787180674	0.08350119990491627	0.1032266434237581	0.1394432462517136	0.0026661834216887
14000	-1707.5384440979155	-1555.3754661354933	-152.16297796242236	0.09354862223598712	0.0623263469923806	0.14351808571428698	0.0037663679591165397
15000	-1710.0034491156237	-1555.5963517194562	-154.40709739616753	0.15086965448470233	0.09485094464077011	0.23763172391235873	0.002395134660145297
16000	-1708.0198434681465	-1557.9718038243982	-150.0480396437483	0.07790830485897578	0.1449786336481512	0.09890614663103181	0.0015192991512094078
17000	-1708.6514332691759	-1556.6435049950137	-152.00792827416217	0.14520152716095647	0.14399996806868404	0.17967599249510455	0.002598547251262183
18000	-1708.283969533678	-1556.6982943542944	-151.5856751793836	0.1324459558439755	0.07077317212552751	0.11908759571658091	0.002919115201680234
19000	-1706.7691359685898	-1555.0746346267647	-151.6945013418251	0.12441701603963627	0.07519192879520252	0.1754735941746403	0.0030584647447623944
20000	-1711.4572427771295	-1558.0022958424113	-153.45494693471815	0.19760241709599338	0.08911465642260463	0.13357402257672682	0.002072031008744773
21000	-1706.943041739629	-1556.661127487155	-150.28191425247402	0.11929426679228704	0.08514374906259127	0.1213437801654722	0.0034473484015194737
22000	-1708.4833774684414	-1556.997551415872	-151.4858260525694	0.09662062969195404	0.1220347863890911	0.12375193458438699	0.0025122105326355706
23000	-1710.6870866176437	-1555.7308473230994	-154.95623929454428	0.04347784984204325	0.06367578300166896	0.1132447664355297	0.0011791259457769035
24000	-1708.7755127024043	-1556.348970602933	-152.42654209947125	0.05961026294554969	0.10662795443382292	0.12561301645927306	0.0016145419169472353
25000	-1707.0872792448008	-1555.9626341580622	-151.12464508673855	0.1120016422985124	0.07215226643391892	0.12920664257394987	0.0029342124889577925
26000	-1707.8426433597256	-1557.5821614274055	-150.26048193232006	0.15424510112886253	0.09732465896257546	0.13262361541029474	0.0020825139625016745
27000	-1710.3192665415065	-1553.9516165081297	-156.3676500333767	0.08269609881270475	0.037861297194609206	0.16883024170671418	0.0018471607501312443
28000	-1707.7815189931841	-1556.4583553122743	-151.32316368090974	0.0626532468885012	0.12361169202966975	0.1452445574878257	0.0012983042248512627
29000	-1710.308059262225	-1557.359359032294	-152.94870022993098	0.13202707093649468	0.13276720005320597	0.19088992497694757	0.001205304181871179
30000	-1706.8229290044312	-1556.6898705779536	-150.13305842647762	0.0869129393948531	0.10285636827418643	0.11997784185111067	0.0027868445707555584
31000	-1710.9605557472028	-1555.8018216825812	-155.1587340646214	0.04014127770670716	0.07267169572860971	0.13871985899559697	0.0012535223205092318
32000	-1707.8285810122604	-1555.092020045612	-152.73656096664857	0.11964748581294803	0.0628074310822668	0.1617842472861509	0.002471553748294893
33000	-1710.381258684325	-1554.7958665302306	-155.5853921540944	0.16669005066543044	0.041030960501955635	0.14730868534899927	0.002773856996819704
