#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1794.4608285804447	-1548.5338541614803	-245.92697441896433	0.07530580972894899	0.06846614302283678	0.09318017234884335	0.06838962321056703	0.13147757879220423	0.0018154014915765597
1000	-1792.7120093290998	-1549.1447656457044	-243.56724368339536	0.10449275113450833	0.08960165101675345	0.12054679319491322	0.15046444547418644	0.1158749628907711	0.0036063230828147427
2000	-1793.4779813844339	-1547.699875798428	-245.77810558600584	0.0974720559113417	0.062226508958198	0.12486601483353749	0.11973147727599504	0.1653693243956123	0.0029630059158912802
3000	-1794.7398020337578	-1551.3946303555979	-243.34517167815997	0.12246626571453918	0.08499205725525139	0.14101588435646994	0.08883950804100822	0.11053166612790125	0.0031877317422013786
4000	-1792.6332231176382	-1545.8705115620305	-246.76271155560775	0.13681879677431977	0.10839934388829602	0.06500091588796465	0.11554225008907118	0.1510562646071385	0.0035863396874473725
5000	-1792.4974216070166	-1546.7823419080096	-245.71507969900694	0.12356103045423754	0.08614504111235124	0.07420796459604086	0.09794245883906962	0.13309639734687556	0.003101230583889616
6000	-1791.6663185676207	-1546.8490102857904	-244.81730828183018	0.10453956491572658	0.09035078559031899	0.10217291430072702	0.0774364317246267	0.1771268866959887	0.0023217561635564617
7000	-1791.2124588750605	-1546.7180835030408	-244.49437537201965	0.10131087487797666	0.08026358482084728	0.08889371425122362	0.11300611057830907	0.16771257695089456	0.0021082406439816184
8000	-1794.4656991332224	-1545.734370390753	-248.73132874246946	0.12823253219213665	0.05759476814372235	0.07300034199018839	0.08021496025940564	0.16016826003551532	0.0025064944035067004
9000	-1795.7356943833631	-1544.6818976422119	-251.05379674115133	0.12196423692974495	0.10451011341518754	0.07229566430645873	0.048635891339876974	0.20618383177148594	0.00317605849098677
10000	-1791.8899733980745	-1546.5563461599447	-245.33362723812974	0.11601696524390291	0.13489663628456047	0.09382275991850053	0.0985225820371916	0.19983783012448877	0.002735139591305055
11000	-1791.4781620509184	-1545.3966726512913	-246.0814893996272	0.1063964607325829	0.08869247747175814	0.062100703431058356	0.0910120509390547	0.14750699612533497	0.0035117375923543965
12000	-1793.9639839305578	-1549.2374254133529	-244.7265585172048	0.07083699251136133	0.10092517611716914	0.1603071567338093	0.10605493457851058	0.1267233965471228	0.0019098483693028763
13000	-1793.4827545023109	-1545.4713911235608	-248.0113633787501	0.09159350828300988	0.07081580036228728	0.056121751269992255	0.07690925045929323	0.15473556105656802	0.002177301091952155
14000	-1792.1678785837096	-1546.5641378609284	-245.60374072278123	0.0774236770728311	0.0841769677803809	0.1278525556274073	0.1037908246681721	0.1660337298642013	0.0038680302934714504
15000	-1792.8712229274656	-1546.8564006468318	-246.01482228063372	0.08465917489694633	0.058995995641212766	0.09620653029405471	0.12315092390444328	0.1269287984696752	0.003517694007963819
16000	-1793.2603887741648	-1548.1493409607685	-245.11104781339628	0.062219433510161536	0.08113249251289816	0.09954050629610203	0.08103693036042908	0.13054417137822932	0.0014030242332923036
17000	-1799.8985827572374	-1547.4319152303174	-252.4666675269199	0.054684920159902825	0.07516467521251667	0.04603125739982171	0.10783235671030554	0.16576660421460568	0.0050443339617813185
18000	-1794.303672340186	-1548.6410371160005	-245.66263522418558	0.09982761670820962	0.12034157541472496	0.14110436415386132	0.08321215616080893	0.16301195803856308	0.0043619414475474395
19000	-1792.337256058715	-1547.27706521611	-245.0601908426049	0.07392140117267162	0.07909046814265507	0.07787924112655627	0.11257544930041724	0.13641110990485697	0.0018840934742360386
20000	-1796.5565553756308	-1547.6062148546607	-248.9503405209701	0.059235877969992405	0.09469308046691706	0.061469989989810105	0.05879755788344376	0.12312612198977733	0.001900708516489479
21000	-1794.2904946078902	-1546.2825387385144	-248.0079558693757	0.11597493052912022	0.09622642635808451	0.11751442605789217	0.09982403550381731	0.19765855431470683	0.0025659002905398056
22000	-1792.9604127342163	-1545.7268799927929	-247.2335327414235	0.09378404799607959	0.07684209746194956	0.10570485959274177	0.10108412263678114	0.210917452687836	0.0027406035037003252
23000	-1793.1972261246	-1548.7843790228874	-244.41284710171269	0.0802600368631794	0.06303828098716582	0.09680570363496391	0.10080062164571732	0.1311539299761248	0.001579054616886864
24000	-1794.7443424015048	-1546.8545776815117	-247.88976471999314	0.08151316718694107	0.07611515638084033	0.1125691137106288	0.1569846767495792	0.18764216226570876	0.0025242194249670753
25000	-1795.6697441666197	-1545.5459958849656	-250.1237482816542	0.09967813823615207	0.062147058193501074	0.09543339153188991	0.21303817537531142	0.16243819052048097	0.005868227493007779
26000	-1795.8644151013718	-1547.7183139492429	-248.14610115212906	0.0549648263412137	0.11636013029935684	0.09419188448488107	0.06394787041363705	0.13615646365465198	0.0022602956316598788
