#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1607.550742108673	-1358.7705895575682	-248.78015255110466	0.11343807647137846	0.1458226947564478	0.07308073081722372	0.04862303584308951	0.1611231486197642	0.003913594316769589
1000	-1608.1680677109773	-1359.141386797448	-249.02668091352947	0.08091060456635771	0.08708035165261364	0.06385048568632622	0.06121476412981653	0.16319778983720584	0.004738512719227192
2000	-1609.2388324554674	-1363.548881732375	-245.6899507230923	0.16119017235572816	0.10881434358620218	0.10271086496851545	0.08333904374879804	0.08614059673832791	0.005718022700110933
3000	-1604.3977446726535	-1358.6745026292615	-245.72324204339193	0.11654864353392902	0.10557776036578538	0.062459691545408716	0.10410232051318039	0.12910592291290765	0.0053876264916724575
4000	-1604.9175994808604	-1359.4201871161713	-245.49741236468907	0.07560617906108064	0.10537245215227413	0.08508264711925898	0.10942951884802249	0.12679478176833717	0.004516896631834598
5000	-1609.3611680784834	-1362.8605885587442	-246.50057951973923	0.08545553181375679	0.07081185089527958	0.09134333332570521	0.149516982212872	0.12321853353525147	0.004178224329732498
6000	-1604.4929808276177	-1359.5353035113517	-244.95767731626603	0.08157388726942683	0.0927662823646159	0.10881349113945243	0.09895008272065288	0.12450529045919141	0.006119652681416019
7000	-1608.3374072636573	-1359.17278834279	-249.16461892086735	0.10890797383631279	0.0712014204623433	0.08638198606403615	0.07556742502356648	0.19160640280844202	0.003689751323451093
8000	-1605.844204071476	-1357.43985190253	-248.404352168946	0.09379317839252435	0.10009202623009077	0.07109607368898027	0.15157531969974383	0.19181733215732014	0.00731183503097634
9000	-1607.8141821111979	-1359.2962926289151	-248.5178894822828	0.061689519880586664	0.0667182805111862	0.09719857848905471	0.09277174795534836	0.14827580441229207	0.0035132816765410194
10000	-1607.5493237434148	-1361.5660515339343	-245.98327220948033	0.1098846698978319	0.15623384823909442	0.1124744168652802	0.09013712220108343	0.1346582222978113	0.005627346661709193
11000	-1608.8725919119029	-1361.8185902177188	-247.05400169418408	0.06299220142483486	0.10996612823571847	0.10725340217540687	0.09701913950027867	0.14083177645446657	0.004277734930468657
12000	-1612.90905501288	-1355.8470573315954	-257.0619976812844	0.0825756805110518	0.14328108844995366	0.026875907316532784	0.06204312055473377	0.1603223594896753	0.004320291108378327
13000	-1605.1859127484943	-1358.5351031971509	-246.65080955134337	0.10273112551166294	0.09443754477009009	0.06148390375438526	0.1085137918177459	0.12226813346387264	0.006784535731762969
14000	-1608.0230442953414	-1361.5172169561413	-246.50582733920015	0.09305351656869204	0.10765341646180522	0.13980201423161004	0.10332716543003498	0.12946609877312	0.006840910546520599
15000	-1607.5070800167452	-1357.3452336762757	-250.16184634046962	0.14492378408930803	0.07281392317635729	0.05432863438991475	0.10900718774805068	0.15794385364307512	0.006929426161107423
16000	-1608.5112488257448	-1359.5996775972878	-248.911571228457	0.12146482563106854	0.20142787476294988	0.09011094482997539	0.13199708953478853	0.19014619428302612	0.00557083619152772
17000	-1605.8034157760894	-1359.6975242639119	-246.1058915121776	0.14902172921780701	0.08935773508023341	0.1181009635073989	0.10899543260848207	0.14692142168599107	0.009828338652477921
18000	-1603.710938726226	-1359.599298581204	-244.111640145022	0.1053060615272193	0.11429409484778119	0.09964466473728072	0.09015098384105044	0.14917879466568432	0.004419783878526968
19000	-1609.4652597996428	-1358.867231011382	-250.5980287882607	0.06694543836064437	0.09043474263738246	0.054146780390494864	0.12690153837855597	0.16448535512571377	0.0073641172476281895
20000	-1604.4937781288277	-1357.3743539556447	-247.11942417318303	0.12037221345273255	0.11481948050918529	0.09394266457207175	0.08605582209432136	0.19528753801111787	0.006592377769401905
21000	-1605.561884562909	-1358.822040173094	-246.7398443898151	0.10688278780172905	0.10544742575428546	0.06285377604025794	0.09731072732706011	0.12901119640208333	0.004827172330842016
22000	-1606.8657152697806	-1357.896775585166	-248.96893968461458	0.17875149769574347	0.13126253870952803	0.08016449671920349	0.07604712421935514	0.16835499588329275	0.0067971499604914725
23000	-1604.9318812209324	-1358.62169454625	-246.3101866746824	0.067630966101312	0.08833272246851169	0.09005635415938203	0.10822576418027	0.16285697937413623	0.004772755630091187
24000	-1604.7204547295416	-1359.075385761063	-245.64506896847868	0.07577205406637548	0.07835369268076645	0.12039374049784461	0.10106090885056289	0.13697501294776931	0.0054501039285820485
25000	-1611.1427474959683	-1362.6060227854607	-248.53672471050746	0.09335682838873935	0.06857491425539851	0.06320759226835346	0.07997798647203584	0.08953892367664562	0.005090532283708359
26000	-1607.2624239403713	-1359.8693612127292	-247.39306272764208	0.08596066799563482	0.12731745661194566	0.08774940773627332	0.14712738163071462	0.16237762018332957	0.009030340556442614
