#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1375.358718590879	-1216.7227561812927	-158.6359624095864	0.06710303403305413	0.03418172281896657	0.1593969846097998	0.002857123335433874
1000	-1371.2766909455875	-1220.308030353945	-150.96866059164245	0.12300012992281881	0.1130181010310459	0.11556441233831626	0.009760474770655763
2000	-1370.990706936931	-1219.4646460863873	-151.5260608505436	0.1229750057982031	0.0887808880483404	0.09549714686060348	0.006009655529181336
3000	-1372.1928324524185	-1221.0830241702931	-151.10980828212533	0.0712014288348408	0.06952660575887591	0.10644886786465962	5.325460223180106E-4
4000	-1371.4087855472017	-1220.054072619359	-151.3547129278427	0.07660907519407424	0.11431455873184915	0.10686056957768723	0.0045422133496471765
5000	-1370.214595642828	-1219.5268817426454	-150.68771390018267	0.0817664349128	0.09472583180213572	0.09561267895328565	0.0021621628591052267
6000	-1370.7128956771737	-1217.8093621418757	-152.90353353529804	0.1266347100867361	0.05365046294149033	0.12438483979660506	0.0026368154370844925
7000	-1370.9652878020706	-1222.5985200541254	-148.3667677479453	0.14400807747001293	0.10628321598019423	0.11042900270648312	3.667291363712628E-4
8000	-1374.7793808482988	-1218.5607685734287	-156.21861227487008	0.09194073870930292	0.06222736876826372	0.24467938721024113	0.001837704502124651
9000	-1370.713827560491	-1218.5087178618733	-152.20510969861758	0.09900755371647617	0.06593124257095834	0.09642880852010785	0.0039116412552848865
10000	-1371.5435812479595	-1219.4846687933439	-152.0589124546156	0.07707004959485834	0.06137289512915766	0.09001059525188637	0.0013735813168598032
11000	-1371.61471149537	-1220.4766269012744	-151.13808459409566	0.14087893488644523	0.06517479089129939	0.09457908996853799	0.0016853979710693212
12000	-1371.186470752742	-1220.8085626127345	-150.37790814000746	0.08916166853079154	0.08350998259457224	0.09967759636187663	9.398376895911777E-4
13000	-1371.9827997554605	-1218.9410038027854	-153.04179595267502	0.18221571837273348	0.11123187676115631	0.13787321232399616	0.00451538419530706
14000	-1371.0783774606273	-1216.895309184356	-154.18306827627143	0.10105775294726636	0.042744113491859206	0.13001090917017596	0.002553143495675967
15000	-1371.0109013073168	-1217.4006595090607	-153.6102417982561	0.08009613935168608	0.05018929748426172	0.11491256629082809	0.002800918720688893
16000	-1373.374004038985	-1220.9589082855673	-152.4150957534178	0.06960214389758997	0.0660894453438401	0.07833298395186795	7.362658650900155E-4
17000	-1371.8607438839356	-1223.2123295235483	-148.64841436038736	0.11775640219347654	0.08171015491818674	0.10090942349763428	4.417442335747929E-5
18000	-1369.094114511824	-1218.9042962245692	-150.18981828725484	0.09235184553548435	0.09869647239564318	0.15097953904909778	0.0021641811711860712
19000	-1369.9783697025343	-1218.6320385884003	-151.34633111413402	0.11717243107643588	0.09486238552361631	0.11925258469428807	0.004337276204713005
20000	-1372.2830487121964	-1217.0811297293105	-155.201918982886	0.13628421425681925	0.04478318577163763	0.14737987265683558	0.006666592676482077
21000	-1368.8279140800196	-1219.0995691345045	-149.72834494551512	0.09287874435287713	0.10443453643403773	0.1311025470024617	0.00227318758877306
22000	-1369.3685101479055	-1218.8777135933435	-150.49079655456202	0.08655618642034921	0.086480729195546	0.10298060369534238	0.003300016216453103
23000	-1370.213969169257	-1218.1675002072277	-152.04646896202934	0.12564131733470804	0.060227189720642955	0.10409109123030329	0.004246415201530723
24000	-1373.703999678446	-1220.7686342627612	-152.93536541568483	0.055842101751836744	0.14279032254268903	0.09228647123305476	8.007691318685425E-4
25000	-1369.6723212332465	-1219.3996905998647	-150.27263063338182	0.07900354167974707	0.10677474695239637	0.0995211374091716	0.00288509799454338
26000	-1370.6253884077782	-1218.083481241165	-152.54190716661333	0.14471506051608615	0.09581745000717276	0.15967147647324478	0.0040288117767799765
27000	-1370.633771002967	-1217.3714231538318	-153.2623478491352	0.10775720011452845	0.05191077580041888	0.12786950341657835	0.002742890772697294
28000	-1371.9551990494292	-1222.6592969180936	-149.29590213133554	0.14435962572699393	0.08328631232812846	0.093403532749097	3.9397823702938664E-4
29000	-1373.1800092137644	-1218.4412414797246	-154.73876773403973	0.08011836301165125	0.047835995846343876	0.08518321201393875	0.0020449692248470774
30000	-1371.3225298275286	-1221.7915399450826	-149.53098988244597	0.09169173484092273	0.13731532506423402	0.11695698543439399	5.712622581001862E-4
