#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Celendin_B72843.Cajamarca.Celendin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Celendin_B72848.Cajamarca.Celendin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Duraznopampa_B72852.Amazonas.Duraznopampa" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Duraznopampa_B72861.Amazonas.Duraznopampa" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Contumaza_B72841.Cajamarca.Contumaza" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Contumaza_NK_172033" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-2217.26296912169	-2067.2564563344586	-150.00651278723103	0.07413804222295586	0.096541537092768	0.11344568064759523	0.0015619828437903466
1000	-2218.251692225338	-2067.332162543804	-150.91952968153433	0.07509166273176164	0.06707581896093323	0.13351740986067606	5.629629730580212E-4
2000	-2217.7994325061827	-2068.2294932732952	-149.5699392328877	0.09283657509695999	0.1033904976118226	0.11112471345530157	0.0022053935714394356
3000	-2221.0830838307356	-2065.69178223375	-155.39130159698553	0.04591721906020026	0.06029248686663833	0.12045961020638754	7.947496477949057E-4
4000	-2217.7380342806073	-2067.6813423047697	-150.0566919758375	0.09085704719529969	0.08179033847071858	0.11427564885252421	0.0016724845432797284
5000	-2219.6749518659317	-2068.0511412884653	-151.6238105774663	0.1602835088896883	0.09346091209375525	0.1845256804448366	4.627759816114612E-4
6000	-2218.037187274936	-2065.9757666267847	-152.0614206481515	0.11639674890858363	0.07369822612722347	0.17194252238739624	0.0022676148000225337
7000	-2217.8681952697966	-2068.7316699513676	-149.13652531842894	0.07851481618755517	0.10061763852871118	0.11196270799253677	4.027311254634159E-4
8000	-2221.052436269109	-2067.946621462754	-153.1058148063549	0.10280206278568424	0.04497862999320002	0.11241755099643293	9.645387378400223E-4
9000	-2217.8586692564504	-2066.1591141192666	-151.69955513718386	0.053673158962173076	0.12783090883292056	0.1321761434556627	0.0010476007277749593
10000	-2217.6694149117075	-2068.4335458223686	-149.23586908933905	0.10324333436328023	0.13501389722931725	0.13281056950596742	6.34356618685687E-4
11000	-2217.867178574561	-2067.906041840005	-149.9611367345559	0.09715636359603459	0.07937411645578916	0.1137516951574767	0.0017377787998628762
12000	-2218.2216333164565	-2068.738676435231	-149.48295688122542	0.11110069647608663	0.12279142631473364	0.17954213285722384	3.412661076579335E-5
13000	-2218.208490765676	-2067.677251634513	-150.5312391311626	0.07855891455211797	0.08050823942908585	0.10512826222052746	0.0016073008247381498
14000	-2217.5622986042617	-2067.160468890495	-150.4018297137667	0.07965246528307808	0.08058963246084189	0.11589844729637175	0.0017894718333283809
15000	-2220.637801867265	-2067.7299934288685	-152.90780843839653	0.048315475236935176	0.10595744829348591	0.10776783322298224	0.0019835239099127615
16000	-2217.8877996659903	-2066.663888013536	-151.22391165245432	0.12153559896929009	0.07467332886556773	0.15728573416709715	0.0035282480961954525
17000	-2218.9546575081786	-2065.327402792822	-153.6272547153567	0.05380186004111109	0.07363703292015789	0.17425795037726413	8.695734490427498E-4
18000	-2218.6244612996284	-2067.6004640777974	-151.02399722183102	0.06761338856324961	0.07739310054163023	0.10293049858929239	8.772179470152337E-4
19000	-2219.6985054238107	-2064.9025242731377	-154.7959811506732	0.0811471490353465	0.052497800026409476	0.18854606778361352	0.0018471031870202427
20000	-2218.0133122041693	-2067.7357894495094	-150.27752275466008	0.10342768031187743	0.08027537646281886	0.17859271663293588	3.49359116257078E-4
21000	-2218.14020935186	-2068.370026222437	-149.77018312942283	0.11899635233834109	0.10379992508532022	0.12586700652074112	0.003301531542536294
22000	-2217.7419512891806	-2067.0377682103813	-150.70418307879942	0.10386927932048808	0.12575808910940303	0.1589983461855761	0.0030029707356030474
23000	-2220.9550363716585	-2067.6699660480303	-153.28507032362828	0.06575134522089264	0.07564743044109759	0.1161570332580749	0.0027049075036498626
24000	-2217.8651060060656	-2067.5421074928445	-150.32299851322117	0.0693212327280462	0.09063457204643448	0.14314919442864785	4.046717640836618E-4
25000	-2217.4807096643785	-2066.406965563111	-151.07374410126744	0.0970926050851041	0.07652142124598565	0.1527133307369836	0.0014313618002538167
26000	-2217.4187290482537	-2067.6959839350584	-149.72274511319543	0.08493937732002761	0.09289826875862967	0.15279229257604457	4.3445087559430416E-4
27000	-2220.1762985675723	-2068.4740341177517	-151.70226444982046	0.1249758762637094	0.06232389316051253	0.11889079839118724	0.003945219287537898
28000	-2223.888718276055	-2072.8941599259333	-150.99455835012148	0.11818776261310435	0.08289703304061458	0.05920688562711198	3.822124699335596E-4
29000	-2217.9450794466816	-2066.1263912482664	-151.81868819841503	0.06248482667082101	0.07854180056260923	0.15973596163918566	6.859673035317486E-4
30000	-2218.4537314321906	-2068.051702292652	-150.40202913953846	0.1509535240298956	0.08175389333802748	0.1390833338290347	0.00221796749012836
31000	-2218.176573886766	-2068.056156709772	-150.12041717699393	0.13002252915643295	0.09566795653006609	0.13462536678223186	0.0035458942942645085
32000	-2218.6383014506378	-2067.524656988138	-151.1136444624999	0.137180242407505	0.07561705848539219	0.1395324187972999	0.0026653700806931807
33000	-2219.5065620127857	-2066.707782818553	-152.79877919423282	0.07286614525300605	0.1482970703965586	0.1418389340787385	0.0011092870749374398
34000	-2219.8862691684535	-2069.5225174295247	-150.3637517389289	0.06953355028519739	0.07453591966434163	0.11608623469677963	6.965060782463971E-5
35000	-2222.4030775484703	-2069.946311313831	-152.45676623463925	0.09942223102316783	0.07537697231115104	0.11197016137965142	1.3463277701984609E-5
36000	-2218.1185638823686	-2066.9009145567725	-151.21764932559597	0.06619927775111327	0.08551984915411734	0.11457016857293464	0.0010800464729031447
37000	-2218.3729363744137	-2066.6536343875323	-151.71930198688148	0.09456812160098868	0.17019260570278721	0.16925257559426615	0.0015130051707645594
