#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1449.9502186486418	-1202.7862474760625	-247.16397117257927	0.07878897287045293	0.08858500604897827	0.07780571052801907	0.09627312451994395	0.13226750435422324	0.004516613628436812
1000	-1449.7763618086026	-1204.0128089086368	-245.76355289996584	0.13432229973016396	0.11018388080586253	0.1520743140743232	0.09637038883542834	0.11098616991808821	0.005934688326053413
2000	-1450.7939087127893	-1202.5939520262705	-248.19995668651882	0.09901272601223063	0.07474283983426959	0.08524215707871366	0.11897229911951358	0.20900004230720817	0.004946043362215952
3000	-1449.1581622408296	-1204.0342035944404	-245.1239586463891	0.1076209097770422	0.06683156801283241	0.0855931520044987	0.11162742318526764	0.13252706222843533	0.004150801356378847
4000	-1448.639968321008	-1201.9859606402601	-246.6540076807479	0.07344066846345468	0.0865823253939457	0.11425342840614863	0.1407926724081561	0.15179593785752335	0.007519333408526856
5000	-1449.2520444441666	-1201.461210532739	-247.7908339114276	0.09068996439072055	0.1129306971955356	0.058275054795290354	0.1292605574289794	0.12428042456769214	0.004944134444139843
6000	-1449.5976799117173	-1203.728592103755	-245.8690878079621	0.11477427713030344	0.09068099473617222	0.1035509883599178	0.06170978247226447	0.09773024120662531	0.004403254864779488
7000	-1448.6278104826167	-1201.3508981517853	-247.27691233083146	0.09768331554359994	0.1381014107681562	0.1227596490623571	0.1107246926806889	0.20584464768435926	0.006232131102731118
8000	-1447.6108017020417	-1202.7308447477856	-244.87995695425624	0.12333900058316542	0.07069705858688229	0.09128279468833689	0.1255818380718904	0.13807077348397892	0.003999282372844391
9000	-1451.6055390977172	-1202.3281923741606	-249.2773467235565	0.12595599072907912	0.043964246342551264	0.09993636249501678	0.12687204767498717	0.1915202892734074	0.004118887779500722
10000	-1447.8649371152205	-1200.6737075986605	-247.19122951656016	0.1113232448742871	0.10781344718436778	0.07802298412311949	0.16347946375997463	0.16654834715767974	0.007806757318082869
11000	-1447.9709963491132	-1202.7116286352384	-245.25936771387475	0.08828642699124196	0.1006838598786247	0.07903550104523378	0.08273010438981347	0.10477656175659744	0.004619210626994618
12000	-1450.6935992099366	-1199.5668391361096	-251.1267600738269	0.09130345217750398	0.15844498327133455	0.042504904436966535	0.06867566488367902	0.16870840380688007	0.0038242828089768118
13000	-1449.1997820812974	-1201.6253164388788	-247.57446564241852	0.07457900506016021	0.08054421630462254	0.06851423572740131	0.10968139846332782	0.15175603921697722	0.0032071000338370096
14000	-1447.6220984466124	-1203.7284082921126	-243.89369015449984	0.1419730326106801	0.1275344440572576	0.10470694525307736	0.10790092749285599	0.14555008615258938	0.0042268348527928845
15000	-1451.3133565749404	-1205.5468443555135	-245.766512219427	0.05971088294385709	0.1021534927335514	0.12004293872876268	0.13062578589061927	0.10089348774692652	0.0027510771266087346
16000	-1450.9085453230618	-1200.0754549293051	-250.83309039375678	0.12575659993593122	0.08542346789017452	0.04627024812764549	0.13363062123115366	0.15966562377846208	0.004731462953748423
17000	-1447.8672130298978	-1203.9490784189707	-243.9181346109271	0.0842242264591129	0.0854365604403958	0.11378500727315492	0.10911750641590046	0.10448602273298346	0.003567195538418019
18000	-1450.2554447150735	-1201.8762639354663	-248.3791807796071	0.12274797566967262	0.0875167051536976	0.05762805837680932	0.10755462403603726	0.1527527990932005	0.007226289545755093
19000	-1446.277128548996	-1200.7171668175401	-245.5599617314558	0.1066823388685758	0.09084296278584421	0.07540196478197597	0.09541751280212567	0.146453932980386	0.005290088129935645
20000	-1449.7438310969526	-1203.6100128155163	-246.13381828143636	0.11241905735043921	0.08844407644956824	0.13491656216545944	0.14754745563468896	0.13657036460195185	0.009395309449011192
21000	-1450.0786257625693	-1206.0670733467773	-244.01155241579204	0.1047702046413592	0.08867362905645804	0.10419128100252081	0.14237634574398264	0.13078970643639654	0.003225620724963975
22000	-1452.4963630728828	-1203.9077260026033	-248.5886370702795	0.07750884659885353	0.10538451920645822	0.0584878734122494	0.07382885441827008	0.08323203309741647	0.004643072902819128
23000	-1446.9668238881802	-1201.9924606054383	-244.97436328274193	0.11863218683625656	0.10660870168196353	0.09428529556025465	0.15774523026012727	0.1508538633594332	0.005801032872578449
24000	-1449.4229830119086	-1203.2730538503372	-246.14992916157144	0.08762176473230444	0.1659280901163789	0.1078240159732698	0.11785486250414602	0.12560641615187662	0.005058585744944402
