#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72793.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72795.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72907.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72909.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72900.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1986.2984798446607	-1836.9577522517684	-149.3407275928924	0.1167571699046886	0.13847702618477153	0.13101598535574968	0.0015106781017389863
1000	-1992.4829989641319	-1839.6291903665083	-152.8538085976235	0.13235443403196548	0.08680767297575417	0.06956819178375112	0.0077705418829171055
2000	-1985.7660927539846	-1834.3571375893464	-151.40895516463814	0.08649882459028016	0.0671742141223182	0.14158529152598684	0.002337667067552632
3000	-1987.9416062207506	-1835.7708482820813	-152.17075793866937	0.0595008761981745	0.07682762654246761	0.09532150680390175	0.001082398614209434
4000	-1987.3244144846506	-1833.9202303981124	-153.4041840865382	0.1150402151268903	0.059966196257428474	0.1473932977472851	0.003140073440598991
5000	-1985.5922184743324	-1834.745729458043	-150.84648901628947	0.1254579710460226	0.08553589197179642	0.14337802066410232	0.0032556376583271784
6000	-1988.2483518959477	-1837.1759062241717	-151.07244567177608	0.06261070250716144	0.1317707330369705	0.09799084263339775	7.45096071153924E-4
7000	-1986.3750266867225	-1834.44290452483	-151.93212216189252	0.14128810201652695	0.06613642337946929	0.13052666677035066	0.0046992280630904675
8000	-1985.569237737581	-1835.2098645281658	-150.35937320941534	0.10471047091897549	0.08087697699475713	0.10850988526313447	0.0035959144437829457
9000	-1988.6549317525441	-1836.1972269267758	-152.4577048257684	0.05638791207066476	0.09081342054817997	0.07814459404573848	0.0011834378246173404
10000	-1988.9176539116252	-1838.2541529720752	-150.66350093954995	0.15891118294667592	0.0844225742014236	0.09288029106718779	0.0020857319046221467
11000	-1987.5618129080865	-1834.5229990108733	-153.03881389721332	0.1286519839037682	0.060579242325481536	0.1496490154028144	0.006243362663580654
12000	-1986.6716510742222	-1836.1933485611225	-150.47830251309964	0.09754434673143596	0.1338382274389913	0.11452929821092792	0.0047224526505612275
13000	-1985.5365315056997	-1835.4124425547238	-150.12408895097587	0.0975118704132246	0.09145949866690217	0.1298443793286769	0.001982918573555715
14000	-1985.6535215933147	-1835.8853930057164	-149.76812858759828	0.11324958055396007	0.12722024724503	0.1549315444052568	0.0020625385262371585
15000	-1991.378330539818	-1836.1389756727217	-155.23935486709635	0.06333009310118945	0.05143972352325975	0.07278220845067092	0.0010779887662317068
16000	-1986.6114634543667	-1836.282266532842	-150.32919692152467	0.1502048471465413	0.1105861043874723	0.13015286745526933	0.002658193475683264
17000	-1985.7807986736962	-1835.3219522861405	-150.4588463875556	0.06789190757772165	0.1060180734741182	0.12392168338305107	0.0018743846113603094
18000	-1995.3567379112546	-1836.6772752710308	-158.6794626402238	0.07834231479785951	0.3022691241706341	0.14097235137768177	0.0014403978908102551
19000	-1990.0237949164864	-1836.5594657562006	-153.4643291602859	0.08666458570965749	0.08119503459194581	0.22546965744235192	9.943017637999586E-4
20000	-1987.5959047756246	-1833.773044028842	-153.82286074678257	0.08032562962087134	0.04758199498850382	0.13612388137154388	0.0020544186743759046
21000	-1988.8408751888358	-1839.7950263523253	-149.04584883651046	0.12477168361524839	0.10267714579961684	0.08182967115762586	4.553043920400917E-4
22000	-1986.2859510595952	-1836.6727994097341	-149.613151649861	0.1390864812382667	0.10353851174101067	0.1287150293041937	0.001845215250538652
23000	-1988.1823960661295	-1836.5062878225756	-151.676108243554	0.07184393981826062	0.1757429917983017	0.10390281544270058	0.0014684943501292152
24000	-1987.4083001293727	-1839.0138123024537	-148.39448782691898	0.0908903911094391	0.10250142435715456	0.11986151820367848	2.8434194639902964E-4
25000	-1986.52191791472	-1834.5031173721313	-152.01880054258868	0.13550603704628492	0.05739542381023847	0.13019381675341474	0.0028562428995983257
26000	-1986.5934923166226	-1836.7165201573182	-149.87697215930444	0.08614226203392482	0.14543616763518716	0.10230196948426915	0.001632292560891249
27000	-1988.628340852321	-1833.6401693942496	-154.98817145807124	0.12906934176579246	0.046101003793352656	0.16816003271792868	0.0024321804803762413
28000	-1987.3110959867774	-1836.0038571848527	-151.3072388019247	0.08796436962604356	0.17972274292889057	0.1520793091529682	0.0020807949825537367
29000	-1986.545843265131	-1836.522876969872	-150.02296629525895	0.08157334581947007	0.10339098131904312	0.1388299778997069	9.883891141888024E-4
30000	-1988.963995761306	-1833.4294402271353	-155.53455553417083	0.11911194700978783	0.04383392733181606	0.1773651642183809	0.002440580633079458
31000	-1985.1949789659827	-1835.413569433362	-149.78140953262067	0.10804750317972074	0.09871601011441526	0.11537608598393041	0.003471124300633845
32000	-1987.5422072897218	-1833.6792320049815	-153.86297528474026	0.13837067008434065	0.0564083208378266	0.1547697229894743	0.00449941772587837
33000	-1985.9611126273846	-1835.9848531964976	-149.97625943088696	0.08057857143472144	0.1263831731159299	0.10177108061335574	0.0023029633381220155
34000	-1989.7170001304019	-1836.034056935903	-153.68294319449885	0.058360413369428925	0.08745642154864765	0.09030230600721702	0.0029677909736057257
35000	-1985.4672053687657	-1835.1304443455012	-150.3367610232644	0.12999249037822633	0.08462322209166183	0.12143076036146054	0.003964841401434771
36000	-1987.3077389626474	-1836.4266353444236	-150.88110361822365	0.0814043576212331	0.1301132652557987	0.14761615587323584	0.004172147971825598
