#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1779.838005987315	-1530.4985633056526	-249.3394426816623	0.1424739167772529	0.08449827735627721	0.055197266008615256	0.10462004288443265	0.1389548694250471	0.009160277918021691
1000	-1769.1475766331496	-1523.1367179990975	-246.0108586340521	0.13547574005519122	0.10386524251269817	0.10349603495004965	0.11214652606105095	0.16580086313355613	0.008131378656236844
2000	-1772.4393365784745	-1527.957997917275	-244.4813386611995	0.0989415366540615	0.11495468798965475	0.12317466560927917	0.10710655652422621	0.16717689855680892	0.004307082364488195
3000	-1769.984070662357	-1524.4714940766457	-245.5125765857112	0.13576159279760577	0.08105047738492938	0.08907211236179767	0.081011459807965	0.13137306530354112	0.004734725459687702
4000	-1771.1081779535484	-1523.8674418910562	-247.24073606249215	0.059636957174265065	0.09901445324667892	0.06894677015362762	0.10921916327133634	0.14299363613572763	0.0037430882335304475
5000	-1771.386280076261	-1524.3826802300543	-247.00359984620673	0.11065438377580646	0.10327651662224985	0.10014705815235589	0.12116466581731185	0.18906375439328332	0.009316731274659509
6000	-1770.8886235819077	-1523.595472990938	-247.29315059096962	0.14371423106007875	0.16647517468661407	0.0946214560574214	0.12222969761365993	0.19723503441353504	0.00595611353250651
7000	-1769.9712119830301	-1522.8773756034989	-247.09383637953124	0.0973730747345007	0.11770507446482285	0.05309298507294628	0.1273958501952631	0.12919251902757659	0.005859540856429271
8000	-1770.058008242015	-1523.2185859466836	-246.83942229533136	0.1061748532184049	0.108814792546108	0.06825019686459499	0.06926018769125539	0.12892495172011906	0.0058033822836514376
9000	-1773.7620843810023	-1524.0031277311032	-249.75895664989906	0.06647873344059069	0.06590186046211577	0.08325305567116469	0.060147561522258496	0.10759675885868773	0.0039633878053161485
10000	-1771.0178324396481	-1523.7601921832506	-247.2576402563975	0.1238265633167664	0.08217922337501626	0.06762809398315588	0.15770194181096386	0.166837138532655	0.004519608087780423
11000	-1777.0323062555738	-1525.6905695494502	-251.34173670612358	0.06614445638591457	0.08816833551577785	0.1535641324488847	0.1034034907638353	0.25706577919668844	0.0033332388281183925
12000	-1772.213686703247	-1522.796082399348	-249.41760430389894	0.08957356413104531	0.05201561587215213	0.07667039478274382	0.10758055916752725	0.1634584266773732	0.0059537810711945294
13000	-1770.2140487041454	-1522.1091964368825	-248.104852267263	0.1315714324257661	0.13721043006679554	0.0953174602688265	0.1033473115925648	0.2072176184340202	0.009238614874628235
14000	-1772.9416753703365	-1522.449626420203	-250.49204895013352	0.11839847866550843	0.1769089551159698	0.06949983375492973	0.07508303080795793	0.19986149343200396	0.006739838707593184
15000	-1769.9957775859532	-1525.1570591903474	-244.83871839560584	0.10275916360377467	0.1273021234750449	0.08837503501471497	0.12000256899406594	0.17718567341243607	0.0040055522337577336
16000	-1772.3150696632536	-1523.585393906108	-248.72967575714551	0.09507979758953884	0.08741345545543344	0.07284394152663987	0.21762905902469104	0.13791548674392265	0.004912198516163908
17000	-1770.9148659535833	-1524.4605081848108	-246.4543577687726	0.0828875735095597	0.15648923406456933	0.1317005453509116	0.08228558085437847	0.14291140609298789	0.006604274559410556
18000	-1772.1513945771255	-1527.049445080729	-245.10194949639654	0.08915357468197375	0.07326630776257947	0.12764490118668537	0.10306306206352617	0.11614513073364739	0.003950521529076498
19000	-1771.6416378408699	-1523.4832205007974	-248.15841734007253	0.05412570721837266	0.10867252568618582	0.08420844404715314	0.07673177342629746	0.13802976732965974	0.0038524475869217713
20000	-1770.2673307117432	-1523.562775025976	-246.70455568576725	0.09173482012015105	0.07720744924983715	0.07688239543233975	0.15325619378105765	0.13693785361961922	0.005612381193138534
21000	-1768.8965826914257	-1522.2213312561917	-246.675251435234	0.0836595132938048	0.07880255005647352	0.07701854419060813	0.0950570322054351	0.15494455998559287	0.004818333896533808
22000	-1769.8776920685184	-1522.9519586435633	-246.92573342495507	0.0997932491665022	0.07720069023103324	0.08299195659470962	0.06537594605689197	0.15602039008852572	0.0040625325273917065
23000	-1773.4235338145784	-1523.4737967776173	-249.94973703696107	0.07410783825823962	0.17004856397386459	0.06987162655629596	0.0706983223411148	0.20097423120520397	0.003499463024117157
24000	-1769.2088213544303	-1522.634509088266	-246.57431226616436	0.08404505876994336	0.11523084311604138	0.0920452553521841	0.11567288118652957	0.18001756458365747	0.007188204137094634
25000	-1770.1873712596043	-1524.4275221898329	-245.75984906977143	0.10644841086110941	0.11502618149065104	0.11269258916148432	0.07030500607825789	0.1565885519776929	0.0064030857499799846
26000	-1769.5830356104468	-1524.1764117306184	-245.4066238798284	0.10271397458410417	0.11597316282491853	0.11151506046611129	0.10975202810686968	0.14491290791077874	0.00813095322107234
27000	-1772.2030007159328	-1525.3170808285972	-246.88591988733558	0.09789897692065469	0.17083162328721554	0.12476155285909026	0.09522213000399425	0.14845745293079757	0.009215076668695088
