#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1609.31876853887	-1362.6183720640754	-246.70039647479467	0.13337965330227713	0.07301874123428452	0.10341682192504013	0.1554857884654454	0.12231529496224718	0.006048140450122783
1000	-1605.2638690035735	-1358.328615298774	-246.93525370479966	0.06963072605991104	0.09107009087290084	0.10966813259436382	0.0960558994206993	0.17402355043350148	0.004983128273442763
2000	-1606.5433526560946	-1357.4553726428148	-249.08798001327972	0.10261138050452262	0.11578896823995148	0.05566500065202835	0.0879589055989446	0.15712474692729345	0.008051797900878606
3000	-1604.3872656604085	-1358.1393721063264	-246.24789355408205	0.09584193252405528	0.12512589763514725	0.07592199656388643	0.08570929494888659	0.1538942721550887	0.006844941056914629
4000	-1607.6518887742163	-1360.4438150895696	-247.2080736846468	0.06359496104807638	0.07325318167122309	0.06715753024643695	0.11247617546441668	0.12091206439279166	0.0035832960070571033
5000	-1608.0531669347915	-1358.918472244682	-249.13469469010954	0.1763823898729899	0.0846811049258383	0.07575506104319006	0.08835161825080298	0.18998452967926516	0.007735029441708948
6000	-1609.8141711417152	-1355.6941927509176	-254.11997839079757	0.10799665150433231	0.10863723444240839	0.034212524091533754	0.10274435127275484	0.20425503065451348	0.00751674069249165
7000	-1605.8008589498372	-1361.220365801062	-244.58049314877533	0.12564176858764664	0.12265742311520221	0.16632016560343846	0.09792742285127973	0.13461497983245582	0.004772586853614508
8000	-1609.2453980978735	-1358.0294056301968	-251.21599246767656	0.09885746821971889	0.13225333932305228	0.057215628567365964	0.08740520453847997	0.2188396677252458	0.006879139533182051
9000	-1609.5838848707874	-1360.7548278015297	-248.8290570692577	0.13920576271678917	0.05416572521581519	0.10723225349345113	0.09716766225646194	0.11268563357026702	0.007013343022734857
10000	-1608.5130065719943	-1361.7705109383185	-246.74249563367576	0.1274037717061734	0.0989277627322612	0.0826449785187883	0.07308240111469262	0.09799236121334619	0.007967495533458527
11000	-1607.8413140070436	-1359.297077272099	-248.54423673494466	0.07526131220903394	0.055923031256901186	0.15300423603168914	0.07211342388051141	0.12505383512072557	0.0041555098857941055
12000	-1607.4353467590724	-1360.2155748887103	-247.21977187036222	0.09354194174480372	0.1395232543096386	0.10557029000224588	0.04690424497323119	0.12923922349249184	0.003877445327697751
13000	-1611.981812308701	-1360.0288708881094	-251.95294142059143	0.0752300045249235	0.1232479188567167	0.07429172065194146	0.03969208356384023	0.153770195409098	0.005700103870296585
14000	-1619.9643286725714	-1363.2963749973294	-256.6679536752419	0.020120099490772744	0.07316874605729833	0.1236284988125813	0.16242742710232794	0.12335919389334432	0.0035902447236627203
15000	-1603.8110833181904	-1357.814253164076	-245.9968301541145	0.12759083513065775	0.09804415720556932	0.09871551975295448	0.10680642248303275	0.18728612400000386	0.006360278581521511
16000	-1604.711926496046	-1358.8914695857818	-245.82045691026417	0.07684291254157763	0.09562260199215405	0.09512290486046265	0.14144002274991638	0.14577865418791872	0.005797060548919969
17000	-1605.2156231097238	-1359.626230611449	-245.58939249827475	0.0929026528909424	0.09519575723581987	0.08744271286771009	0.07592375684032143	0.11609464376419183	0.005403746555171674
18000	-1607.2579770575537	-1360.246106111721	-247.01187094583275	0.05511780743413241	0.08538079859466419	0.13987239938031415	0.07773633178625575	0.1385169728347776	0.0029264464363583445
19000	-1606.809928095431	-1356.5689783718421	-250.2409497235888	0.10362818162221663	0.15521318175063717	0.06162258433721617	0.09782697320756273	0.19609347868796387	0.008390569403808232
20000	-1604.1453770876367	-1358.99303565948	-245.15234142815666	0.12985681719074024	0.1147223577674801	0.08957006659519696	0.11810685442197635	0.1322913925206735	0.007235795287472181
21000	-1606.3905037483255	-1359.9199045093683	-246.47059923895716	0.09101433823946624	0.07110177857478249	0.1035070202677322	0.07328864803543601	0.12454356095112029	0.004341626923118069
22000	-1605.9748716143213	-1359.9235024025586	-246.05136921176265	0.12340770737009399	0.12918406468794585	0.05956741174014863	0.10168076746858865	0.1110939306734771	0.005542622201504327
23000	-1606.0480172345854	-1356.9384880612033	-249.10952917338213	0.08354292069299193	0.0830816061011262	0.0560179237357851	0.10214305171594783	0.17580723899593265	0.005449756367121983
24000	-1606.3713711267326	-1361.841556280187	-244.5298148465456	0.08424961358178573	0.07347173618588022	0.12377254134740778	0.09285486812937561	0.14441656260653493	0.0030661198344986203
25000	-1605.176779394855	-1360.2019186134694	-244.97486078138562	0.0892544922121533	0.10506096077449327	0.10927669265991855	0.11443509985813054	0.12419747450514515	0.006571352915361263
26000	-1606.088009683814	-1358.0349130988511	-248.05309658496296	0.0856081506366823	0.1400735891536285	0.0757663146748379	0.05952627969277339	0.14781348961560634	0.005014040029887274
