#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1369.8831022232632	-1218.9721502437385	-150.91095197952475	0.12561016027639013	0.06659473897671822	0.10927149515726259	0.0024237218974242692
1000	-1371.5480232251787	-1216.602735691799	-154.94528753337985	0.09856557173377256	0.04075978274825978	0.15553645536986566	0.00242371768365559
2000	-1372.5896081899743	-1218.487814486955	-154.10179370301935	0.11108866305946165	0.09251527935375996	0.1297730025955351	0.005404013575107394
3000	-1369.1730195378252	-1219.3369935880041	-149.8360259498211	0.08028330780674689	0.10809231453078391	0.11507379913262049	0.0020791911080547806
4000	-1371.7987571585759	-1221.556686672038	-150.24207048653773	0.1333362751791442	0.07304344987007859	0.16410979894229624	4.951661375945035E-4
5000	-1373.3205781613278	-1218.4919040296372	-154.8286741316905	0.04909729692835725	0.06207198686664249	0.14506852775142096	0.0017678555371674987
6000	-1369.260841362233	-1217.9749612567648	-151.28588010546818	0.10715906185978481	0.08109663581414416	0.13927522300540063	0.003813143843065774
7000	-1370.1946906844494	-1218.1258489615798	-152.06884172286965	0.10172045943971372	0.05784745169467848	0.1373779958343552	0.001957759750173668
8000	-1371.4887218838821	-1219.6870688043737	-151.80165307950844	0.11093540816432035	0.07762712735032806	0.08939924959387396	0.0064458251592635
9000	-1372.8409863293145	-1220.7814871857581	-152.0594991435564	0.1181095764491011	0.10742737493781267	0.11505999607849367	0.001337076741438384
10000	-1373.8841491736318	-1222.8748931135688	-151.00925606006314	0.16875510797410334	0.09717964400696347	0.12546449630033424	1.6283188524354944E-4
11000	-1369.8386116184258	-1218.627884396381	-151.21072722204488	0.09560550378341347	0.07342551195259611	0.09954030609303594	0.0035616142029303377
12000	-1372.7198662903174	-1220.4436768548385	-152.27618943547893	0.15862779112679923	0.17430057456969128	0.13883441952760966	0.002727536708582509
13000	-1369.2033153549053	-1219.1795019283988	-150.02381342650634	0.13747467329084986	0.09561214372768002	0.13564469166562834	0.0025898994160776503
14000	-1370.047161084731	-1219.2734877502612	-150.77367333446972	0.16638516000173093	0.11163481558492334	0.15493504069856048	0.002905429838439872
15000	-1373.6261780707703	-1218.3036525040102	-155.32252556676013	0.10498596862433138	0.06791551395646243	0.11625484979236696	0.005687943387606886
16000	-1370.6583245849542	-1218.8331270665497	-151.82519751840468	0.06356434618024005	0.07461052052729085	0.10429958386948492	0.0017098760440919815
17000	-1370.9027903072067	-1219.4721934827166	-151.43059682449004	0.07278546755477788	0.1004448703893103	0.09189822138536934	0.002725496780972208
18000	-1369.9031148133479	-1220.2050291867833	-149.69808562656453	0.11827298373428596	0.1136870243047648	0.11229439746715177	0.0020574298506871647
19000	-1370.6616791761094	-1218.0640465940733	-152.59763258203606	0.08816815249280244	0.057740480088875085	0.09987248771964836	0.003016985329855599
20000	-1369.619635377031	-1218.7025059199416	-150.91712945708952	0.1106081050531088	0.07072932443323944	0.11132832098832089	0.0025553250477532486
21000	-1371.3744533121262	-1219.3057273060836	-152.06872600604257	0.10281132828865999	0.13838497159012733	0.1313989914898487	0.004384595523147499
22000	-1369.693217718155	-1217.3588942631227	-152.33432345503223	0.11801170854871082	0.07149998349504574	0.17216354572269793	0.004758643599765315
23000	-1369.5389701811873	-1218.6908688012743	-150.84810137991295	0.07340156514434856	0.08356591804954204	0.11382883185619282	0.002387411070068896
24000	-1369.70298196896	-1219.2463164448716	-150.45666552408863	0.10775097705925185	0.10153612399826395	0.10599854136636185	0.005274479455828206
25000	-1370.451864308401	-1221.6425340821283	-148.80933022627252	0.11278220383015897	0.11774280092199141	0.15745178683757835	5.729045708833673E-4
26000	-1370.1335773377564	-1217.6064584930875	-152.52711884466873	0.08959047360644923	0.06345000953382345	0.14317775449515754	0.003706002679250754
27000	-1370.215074739454	-1220.1076961943036	-150.10737854515034	0.11101570597555814	0.0883233177315879	0.09925213512689803	0.0019381995528250048
28000	-1372.4564084932022	-1221.3582818522418	-151.09812664096037	0.06821921434742254	0.11109307213716113	0.08122093938404895	7.579237073349213E-4
29000	-1368.7713621291507	-1218.726781937954	-150.0445801911968	0.09321838095920808	0.10098874592922942	0.1473987560551432	0.0026156199777476272
30000	-1369.841992948967	-1219.011642763483	-150.83035018548378	0.10920030528253612	0.07781345134863164	0.10315323737266528	0.0028424473408713135
