#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1874.7799509771987	-1718.884003961551	-155.89594701564783	0.17681464585167347	0.0736262079461537	0.146097227578916	0.0066827726308267485
1000	-1870.6944813556438	-1718.7923172617	-151.90216409394372	0.06466053509673572	0.10828395065291453	0.14737685414535162	0.0012097446671591229
2000	-1870.7423622070753	-1718.0033622100104	-152.7389999970649	0.10513089701101398	0.0889681304983431	0.21446751552942447	0.002907980207983925
3000	-1875.5046178103278	-1720.5499350739149	-154.95468273641285	0.18128277253184577	0.061063013916583295	0.12493361178939141	0.008358616881836044
4000	-1873.7220681606295	-1719.0113446414507	-154.71072351917894	0.07557076210694526	0.049368347673928885	0.11430103016309372	0.003731428700921795
5000	-1872.502922472639	-1720.4708639585767	-152.03205851406227	0.06624858529044761	0.09709924017668356	0.1905359702149914	2.76517820958474E-4
6000	-1871.1225056625826	-1720.0314656108167	-151.09104005176587	0.10349272603976029	0.06836857013315034	0.09905191096049043	0.0018392898290018238
7000	-1869.0321854192907	-1719.57135856687	-149.4608268524208	0.10468013057418755	0.0992933520942244	0.11690707960921073	0.0028754786577518854
8000	-1871.006490823043	-1718.789462573968	-152.217028249075	0.07415617917926938	0.10650116152270953	0.14607070790076057	0.0014579287965801903
9000	-1871.1945748967767	-1719.7127640428569	-151.48181085391982	0.06529666270706927	0.09119601933466912	0.09428848587828866	0.0023177656466817336
10000	-1870.3516788131828	-1718.963397087854	-151.38828172532897	0.059760177381302085	0.09461842221759433	0.11338925314466373	0.0018815887067903068
11000	-1870.8631469485897	-1719.8190429667106	-151.04410398187915	0.06855361169699167	0.13542719111149593	0.1335076922924463	0.002921969524001629
12000	-1872.042530415086	-1719.8754715358732	-152.16705887921282	0.09083094457530452	0.07511930208763627	0.09933751359258397	0.003468656343504958
13000	-1869.995321342257	-1718.722909431197	-151.27241191106	0.08822952649949961	0.10716326015939523	0.1961936259605596	0.0013844157976733841
14000	-1870.5663229985973	-1718.0193324303827	-152.54699056821465	0.06835287577476458	0.07442280692404227	0.1640987638974463	0.001720016320442882
15000	-1872.3600995866648	-1719.600029875442	-152.76006971122268	0.09397083989779074	0.0906632022077761	0.11576278246440144	0.0015983849651481138
16000	-1871.1576294157423	-1719.2335614390101	-151.92406797673218	0.07114863557830783	0.083798456362373	0.12585819394832112	9.870330138352533E-4
17000	-1872.0709220351887	-1716.6616767357514	-155.40924529943743	0.10446719331871304	0.03993486772557421	0.1599669292907739	0.0028616806188551096
18000	-1868.6952981104191	-1719.051583985341	-149.6437141250781	0.09584427504295873	0.08785553726354699	0.12390900451738247	0.0021243812715981253
19000	-1870.0784800550543	-1717.6625171001915	-152.41596295486278	0.11752900556946208	0.054751816982125126	0.15054770798686182	0.0023370372838924063
20000	-1875.9911563521082	-1719.7746570734957	-156.2164992786125	0.03769096714796292	0.08696972966945092	0.06729269480724574	8.026786284810593E-4
21000	-1875.4658782510862	-1721.0505736120483	-154.41530463903788	0.06735122169034093	0.07727505743897298	0.19818640662190842	0.004048918306806481
22000	-1871.790762839794	-1720.9326318889532	-150.85813095084094	0.0966622814993233	0.13065184487295164	0.14607806073671256	0.005751759241685268
23000	-1870.5707239546964	-1719.145779002648	-151.42494495204858	0.09693902459555907	0.05626278382364468	0.13585559880366926	9.811834470886606E-4
24000	-1869.0994002595576	-1719.69156300342	-149.4078372561376	0.13505315680060004	0.09890798421324223	0.13383868503010302	0.0021361811769929754
25000	-1869.5569953272268	-1718.9968016977223	-150.5601936295046	0.10044044498951654	0.09090328455128299	0.14323696491750443	0.004178420898069087
26000	-1872.7867069377635	-1716.779692574607	-156.0070143631564	0.10824299889679288	0.035738759610085824	0.14358684234011282	0.0027711652374686783
27000	-1871.288938456107	-1720.2127733851667	-151.0761650709403	0.108381296544927	0.12663435246278124	0.1156040246362985	0.003805895411201078
28000	-1869.4376766693042	-1720.7322789560478	-148.70539771325633	0.1145329490311324	0.09334313721165848	0.13686570944828363	6.247541876624684E-4
29000	-1871.0075959352853	-1720.9081943838619	-150.09940155142337	0.16421473089039523	0.120800596801357	0.12313775697873866	0.002494830759585836
30000	-1872.4211923290156	-1718.926897516658	-153.4942948123576	0.07398974891224544	0.11459019216480903	0.22441767993622808	0.001125419785673217
31000	-1869.540863745938	-1718.8185933957423	-150.72227035019563	0.09515783757005383	0.07987731913315062	0.17318843136701087	0.0011538704390891455
32000	-1869.2400248833358	-1719.02555257919	-150.2144723041458	0.07217512917493464	0.11550803122990223	0.12795719585374823	0.002001774889670431
33000	-1869.876288676976	-1718.7820676714573	-151.09422100551856	0.08038471154672085	0.07088464375422206	0.11174131967329647	0.002166988110002462
34000	-1868.8267581122957	-1719.3309069450925	-149.49585116720317	0.11627404120592606	0.09630222781121395	0.15343397164045577	0.0014400058230536583
35000	-1873.135788874956	-1719.4288819564522	-153.70690691850376	0.07030932864845832	0.07873331811605461	0.15758878138800891	0.00346923141522467
