#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1949.7966160698575	-1704.0945547009492	-245.70206136890823	0.08403398046524647	0.08130658674553454	0.07962950402424893	0.06721807430008205	0.13559723349417693	0.001511718150673358
1000	-1948.6933736835756	-1701.5669860858993	-247.12638759767626	0.11802563776514531	0.11858982561794613	0.05419819412792491	0.1160782745760891	0.16812614748529026	0.0030647355400204427
2000	-1954.878038428985	-1705.1836623487889	-249.69437608019612	0.1710919888598568	0.11132084684914105	0.039978123645478224	0.07865024475130028	0.1517513684583869	0.0017778362600153067
3000	-1949.3174585330055	-1701.5171998454202	-247.80025868758517	0.06236900343497433	0.0839191044106549	0.06474195437483576	0.10336399016455003	0.1546575985573501	0.003152867848055652
4000	-1949.3973482780502	-1702.7609000072998	-246.63644827075035	0.09718840658504288	0.06813802884776296	0.14985760260392783	0.13712868995325594	0.17675513299353068	0.002827138653974157
5000	-1953.6110188134746	-1708.113035464441	-245.49798334903366	0.16094438592847946	0.08869035303930493	0.12168666165856938	0.09321801288729337	0.10270539602205667	0.0019591958617594532
6000	-1949.2939779702242	-1704.4884440315177	-244.80553393870653	0.09521176041641326	0.09655993427267566	0.16588550563524837	0.0963186126274429	0.14870428618071968	0.00240554512888775
7000	-1950.781325914897	-1702.7649880183321	-248.01633789656492	0.07442015972452912	0.10756006718539633	0.05999440941427109	0.07874641213186337	0.14024601433828016	0.002874099404499863
8000	-1949.5969312974382	-1704.3898432135416	-245.20708808389665	0.15391032815295028	0.10762427600008204	0.13152584846574408	0.16818477921054004	0.14272175109331767	0.004086293032997236
9000	-1947.8272910048408	-1703.9459276045209	-243.88136340031997	0.09752688908017253	0.07536705820415149	0.13058487949766628	0.08981838611983609	0.12650828614998916	0.002467609272442788
10000	-1950.573127484935	-1705.332988357763	-245.2401391271718	0.11265895002490482	0.1137833023808091	0.11777913731275584	0.12957418535708368	0.12437176156448154	0.0037813594845896533
11000	-1950.6099404818658	-1700.4833747237844	-250.12656575808145	0.10674657950962041	0.07348336872087534	0.053694020128463166	0.18964134826403706	0.18660031430481025	0.002801773423201202
12000	-1949.7167475626582	-1701.667363031274	-248.04938453138428	0.076419753752796	0.09660032613667599	0.0977076313253586	0.1242718679818764	0.19088239813129615	0.0033268073451650955
13000	-1949.7280999526345	-1700.6432409549157	-249.08485899771875	0.12715267053036294	0.09380729815217007	0.08370684754614298	0.10585180490393771	0.24351538110680318	0.003422103192387003
14000	-1950.5934583095432	-1706.8719404122517	-243.72151789729142	0.07169943094709652	0.08235425350523866	0.12553422534595918	0.09521708872163433	0.13198600435755176	0.0011971025777677159
15000	-1948.0887473640105	-1702.9680503929835	-245.12069697102686	0.07512177585262565	0.10129151404940108	0.09643510780223627	0.08096797766632205	0.15263020544688397	0.002201530322599279
16000	-1950.7181916151144	-1702.6120690313728	-248.10612258374152	0.11596252402572367	0.16783682898237912	0.11241827496248376	0.06664033956681406	0.1890958884717189	0.0049117799799936485
17000	-1947.9166544485313	-1701.0813092921514	-246.83534515637982	0.16082555195261614	0.1204771270074482	0.07118242553943262	0.11107381122944746	0.18493028413247609	0.0037725747233995272
18000	-1949.2070456830565	-1700.8918849555562	-248.31516072750048	0.11904791921098769	0.06727956998291737	0.10075130806617844	0.07901771532557782	0.21489456535046209	0.002730685532829228
19000	-1947.343176207145	-1702.3909711441152	-244.95220506302994	0.11610416805945527	0.08360100502820017	0.08851993041701596	0.10767789650256647	0.16245603574578105	0.00255484483400828
20000	-1949.0877739786874	-1701.7876147898878	-247.30015918879954	0.11202427619437712	0.1398044178848276	0.08730341460553263	0.08048214545218067	0.20049899948295344	0.003155575190979718
21000	-1949.687545778299	-1702.5482215860673	-247.13932419223178	0.112252016750973	0.1182210221162624	0.050165300676510975	0.09934687954188821	0.17997528449129496	0.0023341186782176353
22000	-1950.9327248112202	-1701.521138175494	-249.4115866357262	0.1627155073202715	0.0548599393985723	0.11547939547719883	0.08107123801024249	0.2001973552527904	0.0034383407429710196
23000	-1949.5814854456962	-1701.031706328632	-248.5497791170641	0.09917207464849184	0.06433373529789323	0.05034023808846618	0.08880459552437973	0.15519767236276577	0.0023940815293748232
24000	-1949.7053304101005	-1703.7920629277987	-245.91326748230182	0.08877549017368312	0.0932094721841009	0.08395939256548475	0.0695782267142527	0.1268466267569221	0.0025770075200544588
25000	-1948.1293955512297	-1703.881923326598	-244.24747222463165	0.10886094547044475	0.09722266584018846	0.09460832761408718	0.1343484483073075	0.14642546942145623	0.0034431544709662377
26000	-1948.978813908692	-1701.8900296858715	-247.08878422282055	0.07953856423527045	0.07868319548684154	0.11954849282260965	0.12136116772529912	0.20174437040266865	0.0029797842083835228
27000	-1951.9725840389972	-1706.3040695047994	-245.66851453419775	0.08541664419901938	0.06968120891932289	0.07705168483753848	0.10541001063139063	0.08783762314608012	0.002400303032055887
28000	-1948.926016766447	-1703.4902895951468	-245.43572717130027	0.07478983622379132	0.09045862424342095	0.10948914832078364	0.10062143847810015	0.15075975892482846	0.0030516098030052975
