#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1710.4380422770023	-1558.6115783094851	-151.82646396751718	0.11769052104367955	0.0753044415066919	0.17533693868259212	0.00335837568508304
1000	-1710.3164957769386	-1560.3695247642413	-149.94697101269733	0.08953650784900788	0.1110092614698241	0.11275516898765361	0.002842535815572282
2000	-1710.355317930969	-1561.0705510923976	-149.28476683857133	0.10948477363648548	0.1221322725300799	0.13099821514832433	0.001494283899966101
3000	-1712.6439805027592	-1558.3859327896193	-154.25804771313986	0.07341530085829223	0.04974573747074712	0.13360664656998808	0.0023643873392684488
4000	-1709.9105672403798	-1559.191584174502	-150.71898306587784	0.1283607448294407	0.08204240199110735	0.13846933611474915	0.0038060757219127122
5000	-1711.7431447358633	-1558.9983172429604	-152.74482749290283	0.11498850894365181	0.05854171057423182	0.14119884114376036	0.005548550657391975
6000	-1713.2361906461404	-1560.9336927012741	-152.30249794486622	0.05940011698950021	0.11793885815643311	0.08829061455728492	0.0013763933982741787
7000	-1711.1264036690745	-1560.7681606065325	-150.35824306254193	0.09812511020391218	0.08118453862136107	0.09385471615148083	0.0023130023515242726
8000	-1716.6253886394109	-1564.2605465800896	-152.36484205932123	0.06422692605672277	0.0882255321441229	0.06030980602950246	7.712347380387276E-5
9000	-1711.5902063677056	-1558.7874861877388	-152.80272017996685	0.10081037744139955	0.05590257411171114	0.12023081704521683	0.0027255477650949566
10000	-1711.978672494334	-1562.5178165976827	-149.4608558966514	0.12090633347551277	0.09528851341632316	0.09149917079711967	0.001217113188782038
11000	-1710.9017468173267	-1559.3155583163325	-151.5861885009943	0.10571808257267333	0.08372327736555844	0.17177185748591584	0.004548006265609995
12000	-1710.3356931596593	-1559.0135508622784	-151.32214229738088	0.1327038113897583	0.0769214778871406	0.1410864979722893	0.003701645836270604
13000	-1711.0623444898793	-1560.5748955658394	-150.48744892403977	0.11172147407911223	0.08452486135989291	0.11194739636067505	0.0019642005790032353
14000	-1709.6091785103613	-1559.4909000647162	-150.11827844564516	0.12389791759852661	0.09581033981911795	0.14184004387851024	0.0035650735421839047
15000	-1709.9502647330607	-1559.9993725489376	-149.9508921841232	0.09824722675242066	0.10549635835914545	0.13100414667907945	0.0038429132109106803
16000	-1710.9405292227927	-1560.2900668594853	-150.65046236330755	0.11277712249184929	0.07671786064364311	0.10133635564228335	0.003789280261694508
17000	-1714.1292301931983	-1563.20582233805	-150.92340785514824	0.08845997102124768	0.0873654372624756	0.08298434028114964	3.914564975987222E-4
18000	-1711.6941417745034	-1561.9011790158488	-149.79296275865454	0.1302128634618437	0.0749382155710901	0.11339993706363609	8.956831949106367E-4
19000	-1712.6006714169139	-1559.3433402268618	-153.25733119005224	0.11805039490099879	0.09229623257912571	0.21868025573969987	0.004465188127452014
20000	-1711.7748154177807	-1560.0303502267375	-151.74446519104322	0.10771996851083306	0.0833480296927354	0.20159498315541197	0.0014092618207437065
21000	-1711.8702052531128	-1560.6973672538377	-151.172837999275	0.10551957938215796	0.10956588031672342	0.20616580643075094	0.0012219358493374707
22000	-1711.9300508187487	-1559.1362693955627	-152.79378142318592	0.10343417897201303	0.08573961353290833	0.1876130702411709	0.002639952060196008
23000	-1710.5030726619998	-1560.1135660641164	-150.38950659788347	0.09200176143271827	0.0947775343320053	0.12438916617110968	0.001910505182444629
24000	-1711.1000384828903	-1558.905140501422	-152.19489798146836	0.1430078644032333	0.09219950338620407	0.1968919895669462	0.003438711570261353
25000	-1710.3984048277873	-1558.5055524112624	-151.89285241652482	0.12884749520036254	0.06946506059707114	0.15575305287599372	0.004551573890029642
26000	-1710.715783403211	-1559.3003584056355	-151.41542499757534	0.1208135655743494	0.07114138606810703	0.13007472408711132	0.005283996279943079
27000	-1711.08189601438	-1559.7090852990773	-151.37281071530273	0.11895993686249975	0.1164934482626085	0.17565337396267613	0.002778649355302069
28000	-1710.2740333139636	-1558.6107908269653	-151.66324248699823	0.10579160915146273	0.06355894885355508	0.13955146710027666	0.003366075385499683
29000	-1710.4221726598385	-1560.4363578178004	-149.98581484203814	0.09535380747009081	0.09618569535675892	0.10828226596564305	0.0022652025269902804
30000	-1709.8983963619844	-1560.179034323123	-149.7193620388615	0.10995920141256083	0.10990564358069863	0.15242440638997237	0.0019414790262719775
31000	-1710.4867868967558	-1560.8502019534706	-149.63658494328516	0.1016393100552215	0.09501516030983727	0.13531165573475434	0.0012054549490762866
32000	-1715.943011413788	-1558.5670741743609	-157.37593723942712	0.06653044872895271	0.039612190457373644	0.09615951033358096	0.0022517085506214662
33000	-1711.007026336326	-1559.7702700406176	-151.23675629570837	0.08581884717808082	0.0822756172385814	0.1719460677044609	0.0014544887732844466
