#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1710.004815996062	-1559.2594669561156	-150.74534903994635	0.11267695083576174	0.1073353115520045	0.08816015450108862	0.002037779394914995
1000	-1707.1039544325286	-1555.7730199067912	-151.33093452573746	0.1062207836229237	0.059966963508417216	0.13126259383056213	0.0020685464314322047
2000	-1707.2150635045314	-1555.0611580760692	-152.15390542846217	0.08536463853102028	0.06232163372909964	0.15666848052047216	0.002126287711961681
3000	-1708.3206315190293	-1558.2219323471213	-150.09869917190804	0.09811522866542835	0.10417542500578102	0.09318879928716532	0.002981894926911271
4000	-1706.3042366227778	-1556.3557525257959	-149.94848409698182	0.08456178750424527	0.10836727026428272	0.14693992627790575	0.0017718189812910223
5000	-1709.9815261238468	-1557.0686357922725	-152.91289033157426	0.06471284955411344	0.0737678032653956	0.09152359694636218	0.0013021675561965213
6000	-1708.995516364824	-1555.273504039271	-153.7220123255529	0.12109929940441429	0.045050433517658514	0.13827128409105022	0.001926608488929277
7000	-1708.6083870545967	-1556.8402110185168	-151.76817603607992	0.07630407307924915	0.07724085276516257	0.10340274598838194	0.0031556047259347067
8000	-1708.99915990774	-1557.7790468328133	-151.22011307492673	0.06718683236755653	0.08743763926102308	0.09066713493399728	0.0010101711066266106
9000	-1707.4679982142143	-1556.4197083567028	-151.04828985751138	0.09389869875827626	0.13207405039320838	0.15368056573195527	0.0026578672338844257
10000	-1706.6302331725897	-1556.5584090902103	-150.07182408237946	0.09017804396696387	0.1131585908630566	0.13750863183127204	0.0020090302778063033
11000	-1707.223608703784	-1557.1296848021912	-150.09392390159286	0.111774228576399	0.13673795344675463	0.1346378960018861	0.004351590258320798
12000	-1709.7043519098877	-1559.4807358060357	-150.22361610385195	0.07721614267796763	0.07998374575133982	0.10723425245683829	2.0179648163826973E-4
13000	-1710.0930051652138	-1557.8075999252765	-152.28540523993732	0.07526085233400276	0.08320332290762802	0.09318899796458775	0.0037064043206997133
14000	-1709.7444048254756	-1556.1727357527159	-153.5716690727598	0.044602125784047666	0.08140870957651698	0.10788851792739275	0.001144543249924316
15000	-1707.4172465710412	-1558.3287876256272	-149.08845894541406	0.08840904257338032	0.131834494856986	0.15060791597477036	5.056241655184787E-4
16000	-1707.914022954087	-1555.7194762836982	-152.1945466703887	0.08971551110997741	0.06030604582978484	0.11856371586905169	0.0029799869369452657
17000	-1707.2080565079748	-1557.313583614382	-149.89447289359285	0.1174741990236392	0.07124774895543072	0.13059283738055869	0.0011915654163421096
18000	-1709.1953297335417	-1556.7471508831195	-152.4481788504222	0.061893920505304074	0.07350517643785892	0.14448676573185149	7.29725707701973E-4
19000	-1708.1950369566914	-1557.5851243030152	-150.60991265367625	0.09572500084546173	0.14818661316932175	0.13128993262857033	0.004467075186298379
20000	-1709.4805242854	-1558.3008144578118	-151.1797098275882	0.06103498403836108	0.07868505390699805	0.12512490855913005	3.4541576452203857E-4
21000	-1709.222791437923	-1556.1810501809714	-153.0417412569516	0.10590276329503334	0.05812184041691018	0.15067261342123983	0.001266150891513005
22000	-1709.5859051632813	-1556.3859354519966	-153.19996971128464	0.07953890229474321	0.04966751277898686	0.09763371973360693	0.001542756557610975
23000	-1710.4003793871655	-1554.197040404751	-156.20333898241432	0.08885108262620826	0.04089073982647499	0.1547248452249729	0.0020260872859499974
24000	-1709.4471207844372	-1560.064777658923	-149.3823431255142	0.1667409042877686	0.12256189531201335	0.10995092681920031	2.891471568927724E-4
25000	-1708.2042635499147	-1555.997585015955	-152.20667853395966	0.13105835843702926	0.07098303160898847	0.1421855579661945	0.002431075261295953
26000	-1708.1093027916531	-1559.3571303905226	-148.7521724011306	0.14524251390165244	0.1234266328437164	0.11369945387395315	8.757783461631395E-4
27000	-1707.7960145243685	-1556.999060920295	-150.79695360407345	0.09959057053759293	0.1350682990457038	0.12937512546030053	0.0030042793154221327
28000	-1707.3111896566907	-1555.641319928879	-151.66986972781166	0.11529413401686349	0.06796412660406446	0.13642208462727629	0.00417492634533323
29000	-1706.9984340317822	-1556.663228065801	-150.33520596598117	0.09660947627424127	0.15137186772684139	0.15902888900253595	0.0020957016250935405
30000	-1708.8939715019158	-1557.4193937080568	-151.47457779385903	0.0599918832696201	0.08074568691112524	0.10038942126980716	7.929364891916694E-4
31000	-1707.484477035742	-1558.3140585354536	-149.17041850028843	0.13028208703723623	0.0849206996244886	0.14462938904370934	6.666763162632362E-4
32000	-1710.8011147016143	-1557.476128968522	-153.32498573309226	0.10793058302955168	0.07615091441966249	0.11418467229469187	0.005871822512533672
33000	-1706.5355293648092	-1556.8346528514917	-149.70087651331752	0.08334555217733348	0.09509221493737809	0.11452735225094714	0.0018328715093962242
