#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1617.6076658487968	-1364.970041932947	-252.63762391584996	0.08119121943113065	0.050845294542177843	0.043338086672108936	0.11635959128111775	0.17945146629309852	0.0027657738397080505
1000	-1612.9371769845964	-1364.9221523557094	-248.01502462888706	0.08303840529927634	0.07667321421206819	0.08285703543045304	0.1259152409261775	0.19184259267821166	0.0062476156128467835
2000	-1611.7898288943568	-1366.6224571171192	-245.16737177723766	0.11940819512761751	0.09768204307340227	0.11902860094003859	0.11134429032244353	0.17544496556312975	0.0050902803511800945
3000	-1615.084937483253	-1368.6981980234832	-246.38673945976979	0.11104395747006095	0.08062292481507957	0.15013376333373907	0.09242684850007474	0.14226430005057353	0.0046693732749480245
4000	-1611.730242873665	-1367.4719530416428	-244.25828983202217	0.07281292349647907	0.09038079842915235	0.11389284728650174	0.11668199532524465	0.13045239675603193	0.0037756542420816367
5000	-1611.4914366919743	-1365.4484729435176	-246.0429637484566	0.10485140129296255	0.08988419478916598	0.10178206318847881	0.14043964892495295	0.1804045727225355	0.005502412204616741
6000	-1612.7951111341015	-1365.3068553279345	-247.4882558061669	0.1014821656374038	0.10249348151019554	0.09006490830909386	0.07411817522505974	0.17805105495258042	0.004739472546712279
7000	-1612.4665003149692	-1366.0989702291322	-246.36753008583688	0.08776581696808565	0.12199217247716297	0.11443979175276989	0.05581235279435142	0.13427802899260738	0.004057670309004118
8000	-1612.5617244208702	-1368.248086569349	-244.3136378515211	0.10882804402519922	0.1065019464479666	0.09305964468327313	0.10395861810701017	0.11326824314461202	0.00619081901577463
9000	-1616.985152751844	-1364.9505294649941	-252.03462328684984	0.10347812292518546	0.09144732993192861	0.04572918030917692	0.09702099032387902	0.22393195252991885	0.00688170812229314
10000	-1616.4940582866134	-1368.3068886456676	-248.18716964094568	0.07328767870080415	0.10108647191951756	0.12569745907007226	0.15852254464562374	0.11863173644312641	0.014271969148352937
11000	-1616.696464427937	-1371.024728609265	-245.67173581867203	0.11586965620929367	0.13225774402160312	0.1162874491987969	0.10175483497884397	0.1010334289314265	0.010826136067956914
12000	-1612.649854296225	-1364.563788054655	-248.08606624156985	0.0958633282484382	0.10145630619343242	0.060302658359850776	0.07853266610216618	0.18076598961123597	0.0039450092500260886
13000	-1616.6902289046952	-1366.5728613601796	-250.1173675445156	0.1413870678673215	0.12020912960342384	0.08177320689414085	0.050233955846335575	0.15082794478372688	0.005147845897815351
14000	-1614.9115135673849	-1367.1460583712578	-247.765455196127	0.07349168780100314	0.08346143962429824	0.12644328554665188	0.09359593923836407	0.18492822168013995	0.006541067285841327
15000	-1612.8921110513384	-1364.2599106396551	-248.63220041168316	0.07006524546436693	0.06362974006127216	0.07499700819261526	0.09343117996011076	0.17550036124411506	0.0037370546787849806
16000	-1615.379130740202	-1366.15332342978	-249.22580731042225	0.10056993309537629	0.13935649590132249	0.048953011630800874	0.1687341252795813	0.11711643098602444	0.006898395335711994
17000	-1618.3751387915522	-1366.987096797328	-251.38804199422424	0.04200798341049664	0.06260162292076402	0.08844144526595837	0.15884583408394196	0.10873665546282277	0.002976538491874776
18000	-1614.1661275410952	-1366.4118147301406	-247.7543128109547	0.09828513486736319	0.10969187725997152	0.17318411125047908	0.09950496122426623	0.2131476500817177	0.004206370094194784
19000	-1620.4748564237202	-1369.4475843952666	-251.02727202845364	0.05449039921054121	0.06314035368570091	0.08676229901518054	0.07529938002722152	0.095526379092302	0.006232992158516453
20000	-1612.2816837652545	-1367.9129465100464	-244.36873725520815	0.09103988084684339	0.11534832292502564	0.10828321982146051	0.0921373814467868	0.12277946854722323	0.0037061140102505933
21000	-1613.4291606330025	-1365.4916917289547	-247.93746890404782	0.13778634822848118	0.06278037654624744	0.12925718173749187	0.1030011899872122	0.1990602861028082	0.005124313363674753
22000	-1612.805864190528	-1366.0172636789875	-246.78860051154044	0.09037512388768622	0.16921953923284463	0.10945529640144194	0.08038066947466263	0.1688634530728421	0.004921111945531431
23000	-1615.3631337503089	-1369.232446757691	-246.13068699261805	0.06098537861839299	0.13683230289799497	0.09969679866222787	0.13233373484284486	0.09454747774316503	0.004223900564171905
24000	-1612.0714299526405	-1364.3078084578465	-247.7636214947941	0.09198769610402487	0.07608536201856969	0.06243420918927205	0.13681399733168262	0.17048223214113115	0.0041039121028806766
25000	-1615.586089138512	-1366.192957959764	-249.39313117874795	0.06552653747352181	0.0748113265070766	0.14406149727946949	0.05117830140549601	0.15650868301925097	0.0027033081965894706
