#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72794.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72802.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72905.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72912.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72895.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-4108.161530222674	-3956.709497436682	-151.4520327859917	0.06882976586996933	0.08998249876117236	0.1517387104350792	0.0024600362817772084
1000	-4110.008715691171	-3954.709681383746	-155.2990343074253	0.044818161328485415	0.12659785538393806	0.19756032364744888	0.0013711946111030556
2000	-4110.017088971477	-3959.0380898739195	-150.97899909755805	0.09880376129473643	0.06722086657236027	0.13517257277685057	0.0024014857359264904
3000	-4110.066837628775	-3954.5937014961337	-155.47313613264123	0.07210155218868913	0.09716595647861653	0.21820048938111078	0.0016540464072614185
4000	-4107.88801602769	-3954.8721083109554	-153.01590771673511	0.06349603730833144	0.07275576544965545	0.16821398005990373	0.0019832608529668514
5000	-4108.766710406236	-3956.6216839791177	-152.14502642711793	0.056680337351198234	0.10256698720071379	0.16460744286796428	0.0010841466105755647
6000	-4108.327499608559	-3953.7383820086343	-154.58911759992537	0.09000316600656579	0.06778406751647015	0.2308176990594677	0.001854985076760101
7000	-4109.4947523947485	-3956.5888131146503	-152.90593928009858	0.0892387534490869	0.06294281022106754	0.17474497911376163	0.001407509743702627
8000	-4109.03448856724	-3957.2343343012726	-151.8001542659678	0.06413917495927722	0.10318250845615923	0.18153350303312984	9.721695737279663E-4
9000	-4108.211669131441	-3955.5639859183343	-152.64768321310697	0.10184025672146814	0.0797834370673271	0.1966940146013226	0.0020500140446670975
10000	-4108.630087396512	-3958.443661567811	-150.18642582870123	0.07259372114646974	0.11842332717529781	0.14307903213685277	0.001548205074948613
11000	-4108.256626183943	-3954.25538010064	-154.0012460833023	0.10174077147214955	0.09572762769956067	0.23601892794288584	0.002680626228834416
12000	-4108.18935763775	-3957.077728234788	-151.111629402962	0.0959658958103842	0.12202056713881265	0.17541950796930858	0.002768948950416766
13000	-4110.750954442737	-3956.31957226935	-154.4313821733866	0.12125269399441176	0.05642955744783936	0.18927487086120504	0.004338257540660154
14000	-4108.845236454568	-3956.151292818703	-152.6939436358657	0.08191052750942403	0.08119218275374582	0.16344923215485352	0.0024102298840217346
15000	-4108.206128775869	-3955.945903793927	-152.26022498194158	0.05727838683761184	0.1260606226197514	0.16616206873227493	0.0015764313725168538
16000	-4107.930465805264	-3955.8595647657894	-152.07090103947468	0.12154390677778833	0.08819583643928236	0.19931541624106416	0.0027938508216094
17000	-4108.69374960608	-3956.4749801045346	-152.21876950154567	0.10011390985442534	0.13145467400487276	0.20193910219888955	0.0036220762917189286
18000	-4108.901301177109	-3954.6336711475487	-154.267630029561	0.08036811284334082	0.08472144880628009	0.23693649977345724	0.0014696584041131975
19000	-4109.181530279271	-3953.6484724282573	-155.53305785101392	0.06822116827274916	0.06001566150301003	0.19665149315955974	0.0022556351236846
20000	-4111.319635638746	-3958.3157519371052	-153.00388370164063	0.06490609045088011	0.06927416550286546	0.11846343411176372	0.0021389805247324675
21000	-4110.805208850082	-3955.865375593622	-154.93983325645976	0.07365114758542979	0.047775587486301466	0.17341752575770666	0.001091124177187551
22000	-4116.728171394906	-3955.178109799088	-161.5500615958181	0.038347257670667205	0.1828282413687661	0.19204199797310026	9.686755602174588E-4
23000	-4109.802771153851	-3955.945931151655	-153.85684000219618	0.09898518585783943	0.1556408854026782	0.21894452288426292	0.0031107381785720734
24000	-4108.035102509616	-3957.2058620464513	-150.82924046316518	0.07758187140072309	0.08502617981190154	0.1504358148551891	0.00178174808974859
25000	-4108.926543377502	-3955.7230698350977	-153.2034735424044	0.05973053547265377	0.08219374641769307	0.15660449381811728	0.0021252593849581812
26000	-4107.572379946435	-3955.1810490444145	-152.39133090202057	0.06604495921398951	0.0858525222360461	0.17754990805088	0.0016373181550543732
27000	-4108.646845472917	-3954.291492908785	-154.3553525641325	0.05658314341978047	0.07638788929595249	0.1818474296007342	0.0016469582610673186
28000	-4112.774403985836	-3953.2827715900494	-159.49163239578667	0.1206736099443457	0.055586242173138775	0.2331155580970359	0.002478608540718991
29000	-4110.240400395553	-3954.8519565100996	-155.38844388545274	0.04755089884587818	0.07562882698827626	0.19761842260399573	9.082284129111783E-4
30000	-4111.2770194053	-3956.98554701826	-154.2914723870402	0.0585522542556427	0.055676333094581365	0.11988343966451129	0.0018534487901944799
31000	-4109.301838126821	-3954.514859808705	-154.78697831811587	0.04620806489272935	0.07624030362020053	0.16325743769126366	0.001428752060151147
32000	-4111.609522271081	-3960.066594643491	-151.54292762759033	0.0961888273238648	0.06697288996249623	0.1375759195012395	0.0013534865951295007
33000	-4107.304097505085	-3955.3144402216976	-151.9896572833874	0.08036067364671744	0.10634442624623458	0.1957685327700424	0.0021586237142684366
34000	-4109.304866194065	-3953.776056491898	-155.5288097021662	0.10051976775226656	0.054314179329555914	0.22854686273782365	0.001712522467528946
35000	-4111.855698140387	-3956.412828790906	-155.4428693494811	0.11864540580834815	0.04622147002822521	0.2120680106295544	0.001147046875640704
36000	-4110.223764925912	-3958.7504972440984	-151.47326768181378	0.05506719528347415	0.11012050805275868	0.14357514366753032	8.373445174693887E-4
37000	-4109.531864810304	-3958.434883415315	-151.09698139498838	0.11768130100122622	0.11339611365137904	0.1842963007922532	0.001826406286512915
