#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F1r1" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F1r1" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F1r1" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F1r1" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72794.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72802.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72905.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72912.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72895.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F1r1" id="treeLikelihood.F1r1" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F1r1">
#            <siteModel id="MutationSiteModel.F1r1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-4145.783154470232	-3896.216305788088	-249.56684868214387	0.059811085361864746	0.10019883529274465	0.06278228657977811	0.08611712651580021	0.16307401809497726	0.0037620909540179233
1000	-4145.097296723405	-3894.199458808187	-250.89783791521737	0.10395211119059113	0.08734501988115827	0.12454361557442337	0.17637250332330182	0.23837838396182745	0.006620468218684091
2000	-4143.3709409531475	-3893.7768785512644	-249.5940624018829	0.05106789572238369	0.09168274781050893	0.09995097569275332	0.11630662287700635	0.21219205195094404	0.003679381979685151
3000	-4143.559152235655	-3895.5993121172864	-247.95984011836876	0.06770110790934958	0.10626746904951456	0.10157280184088666	0.12058825961835809	0.18788101150677247	0.005225684629191462
4000	-4145.079308098154	-3898.807001251498	-246.27230684665574	0.07575817142192845	0.13472800846721905	0.13383548535304693	0.13607028613449848	0.1697373216346633	0.005775681008883417
5000	-4146.879698706181	-3894.197550287346	-252.6821484188355	0.03980641079445132	0.05638023808327203	0.10111355167782791	0.11613869474966167	0.16862205525785992	0.002406104858819427
6000	-4143.997650615912	-3895.7052199443597	-248.29243067155255	0.08755802818987747	0.1152541230804499	0.07570716981083038	0.13303284424965273	0.19686342139493587	0.007363301438549803
7000	-4150.967346114038	-3900.2004055794614	-250.76694053457663	0.07955691357382365	0.1394029209380761	0.04634980406650118	0.16218761812742702	0.17603134407575932	0.005570378770418322
8000	-4145.9212038779715	-3896.6904913404155	-249.23071253755552	0.05643972719365518	0.0596057377723057	0.0927692524554402	0.09636238227019255	0.16609005929251097	0.0028982552407759983
9000	-4146.585595394693	-3892.8554326449857	-253.73016274970684	0.03337635297371101	0.06970920744228748	0.10587236521245455	0.07751459453382416	0.1865581495624908	0.002818894949883997
10000	-4145.951570421779	-3891.6501357256743	-254.30143469610454	0.0565740690452203	0.14847047339028538	0.11204543336785094	0.13191711800198408	0.24736698904185073	0.006318178387391549
11000	-4143.70503321221	-3893.13555551862	-250.56947769358982	0.04608404749043551	0.10632498414907372	0.09999224457126138	0.14728116733482713	0.1989088541026854	0.004393936332012727
12000	-4143.820812858614	-3890.840313087107	-252.98049977150703	0.06735939542165158	0.08662490444115982	0.07786886003194056	0.1273357723240455	0.27199580962430664	0.005392313633043386
13000	-4149.040059488399	-3894.130725066524	-254.90933442187466	0.041336372125429996	0.07542612636096917	0.07323825143380516	0.13378380860740133	0.1677057571683542	0.003053014863919263
14000	-4143.727708928002	-3892.046556969191	-251.6811519588111	0.06385076008653062	0.11798644019927347	0.07551334784647594	0.07279588119687697	0.2180370713414709	0.004864432976927507
15000	-4145.402349932094	-3893.1613399020835	-252.24101003001027	0.06637383381900581	0.08131645752063958	0.08931297004327184	0.06692411495589526	0.24219627205312516	0.004455775458997004
16000	-4144.0880378424745	-3895.40459698239	-248.68344086008443	0.1072894273885133	0.09093533954471829	0.07026601200345037	0.1113838052029575	0.2199530014933356	0.005076613538633241
17000	-4147.496418693814	-3893.1493701077047	-254.34704858610928	0.058282913712083204	0.09175257995764324	0.1886797805197768	0.09585143938672777	0.23612131806569203	0.004527443402163829
18000	-4145.548268684561	-3894.254249530228	-251.29401915433294	0.07123133887993303	0.06622873286260038	0.05847463045867251	0.1308413516447546	0.18387821663707307	0.0037190472027780813
19000	-4146.546702034186	-3891.8995870774856	-254.6471149567005	0.05918695320360293	0.11902400237394231	0.05683409824946915	0.061499163743555754	0.21358760792041448	0.004867347088261088
20000	-4143.968867282432	-3891.498201836862	-252.47066544557083	0.06619577383320041	0.1272439235179298	0.08362020244407456	0.0751120681134771	0.26038557985250843	0.004893911509945565
21000	-4143.641309709374	-3894.424077428391	-249.217232280983	0.07777023448081193	0.07351657172659472	0.10344126401368489	0.1560276398477769	0.19741409671023127	0.005368103943357809
22000	-4147.442315962293	-3890.3226872728906	-257.11962868940213	0.03356541090028926	0.09673775388474158	0.0684593568169236	0.1526023219324602	0.22276531666231147	0.003625096641370843
23000	-4144.219793872423	-3890.838109756965	-253.3816841154582	0.08221329476249069	0.1396697742111762	0.06483198242716265	0.12358190814498374	0.27753775949250964	0.005901903718401405
24000	-4144.50170830629	-3892.6172895155314	-251.884418790759	0.06350535104794786	0.0684446554501181	0.0712561690223905	0.08398334670150776	0.22360529807392263	0.004257433408901211
25000	-4149.35723840289	-3894.289471987824	-255.06776641506642	0.04260714884771914	0.09800685730542143	0.05812410304485972	0.10459916032409179	0.2280459913524777	0.003066744777715367
26000	-4145.7380074807415	-3891.8065436685647	-253.93146381217662	0.05636460885069284	0.0928748167953523	0.06200359964341702	0.1627040258962086	0.23336878811160341	0.00410280029458821
27000	-4143.29831136261	-3891.3471546610276	-251.95115670158182	0.05649661700648875	0.12327338165825205	0.08295377680270365	0.10109925812958032	0.23687324260615436	0.005490219896806628
28000	-4144.145115201052	-3890.398932501729	-253.74618269932338	0.05191675558803017	0.1092148315630876	0.06114382343740681	0.0829923358889544	0.24336603452014988	0.004244100558719334
29000	-4145.636310772978	-3897.636180422596	-248.00013035038177	0.04982619485170539	0.07302868144292204	0.11142992150047512	0.09308284142745603	0.1394168450797447	0.003585918744677602
30000	-4145.637871459318	-3892.0124408780885	-253.62543058123032	0.061546156291075495	0.10087254335160961	0.0665648867911739	0.11901598666636075	0.26971111187994223	0.004560858212471538
31000	-4145.497751821053	-3896.8610093150573	-248.63674250599496	0.07713496598389247	0.09738176247812143	0.09103994348068538	0.19143607742271573	0.18205178457596335	0.004311573010631038
32000	-4150.446391398777	-3893.1014816355673	-257.34490976321024	0.0946711469038066	0.10721734183847198	0.0647028397518478	0.14612591829576402	0.23103276772504422	0.006415307728806062
33000	-4145.268924097137	-3893.669872780344	-251.59905131679253	0.06514829084870927	0.09207757207533993	0.07009909865313331	0.08236954956305956	0.2158026876486264	0.003519138842236752
34000	-4144.935540224959	-3893.4084083062285	-251.52713191873116	0.05781292284767653	0.13094144401946617	0.12343795896228202	0.13670912992395817	0.23989178053243584	0.006910223360405961
35000	-4144.133705961217	-3891.9097185973824	-252.22398736383482	0.05439850807627457	0.10873754090538926	0.07506516178103614	0.07056063983611709	0.2193458286680469	0.004973521380368484
36000	-4147.069384422658	-3893.865714408268	-253.20367001439018	0.03859816001473896	0.04806525455502688	0.10106029174768172	0.09939143972784006	0.175019013479739	0.002715970340855667
37000	-4142.8661667825445	-3893.2774814249333	-249.588685357611	0.06733310780966234	0.09828848953914718	0.06421444525540008	0.10466821039569339	0.2093137033913647	0.004711697851223729
