#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72794.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72802.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72905.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72912.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72895.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-2143.0016712127053	-1991.1588696192512	-151.84280159345394	0.09125162851844658	0.15954971542990512	0.05533186452211032	7.855383270654237E-5
1000	-2137.4115168929125	-1985.2009209141722	-152.21059597874032	0.06951824302499335	0.07391641992747985	0.17098464398542498	0.00123226361859874
2000	-2140.2609393218227	-1987.9396385703867	-152.3213007514359	0.05820167140110861	0.08448331077023491	0.09272473892812781	0.0015651500210874742
3000	-2138.616452862747	-1987.8834827351425	-150.73297012760423	0.09985985520317953	0.06499826450536171	0.13340321749952788	4.219754639553162E-4
4000	-2139.427099289991	-1986.5170572262423	-152.91004206374893	0.04958584696884831	0.09277657245567189	0.1731424969373014	2.285199628982654E-4
5000	-2138.534126851296	-1987.454929851414	-151.0791969998823	0.10560990302051608	0.18290028366857347	0.14590584996336475	0.002494174733048379
6000	-2136.930950459782	-1986.8820509690122	-150.04889949076954	0.09546693431502142	0.14465581799218227	0.18042798487578554	3.7726179616039894E-4
7000	-2147.2204387906304	-1988.266201816106	-158.95423697452418	0.1080228795945802	0.08527493866568825	0.12088410712599165	0.0010180069712942617
8000	-2139.7425582777178	-1985.8675666717709	-153.87499160594666	0.038505670600368504	0.1345038475623619	0.11458244182356163	6.364881763686774E-4
9000	-2138.5617193129247	-1986.3939578635209	-152.16776144940377	0.07845922422006726	0.19720997656894323	0.15097603021813585	0.0010634759501599066
10000	-2138.0452641342245	-1986.3490717525399	-151.6961923816844	0.11086603371666284	0.1600830842736427	0.18477177432491818	0.002969554743903862
11000	-2140.7511842845825	-1988.782965121577	-151.96821916300544	0.1227886985431674	0.11782038294954308	0.12048070415847961	9.736657622747755E-4
12000	-2137.5840436720773	-1984.7666746715927	-152.81736900048458	0.06145480290612639	0.11582951980796562	0.19651353498538413	0.001274303536658567
13000	-2138.0415141367885	-1985.0716496925427	-152.96986444424587	0.060888339181355416	0.10272880001907754	0.1952055789283858	7.631869245185856E-4
14000	-2137.0837178123274	-1988.5994796002892	-148.48423821203846	0.11413347115032661	0.10018621875253407	0.11927598848582127	7.851465625938375E-4
15000	-2137.5168299321595	-1985.7124133114962	-151.8044166206631	0.059074899487962296	0.14502357743456082	0.1532730412039561	8.564143122367064E-4
16000	-2138.295154060196	-1988.9432852101795	-149.35186885001661	0.09243601326672282	0.13031614153251725	0.10398004156454503	0.0013491833904672155
17000	-2136.128303625221	-1986.4636034905948	-149.6647001346265	0.09131595139820381	0.11424413929289418	0.1513110632734827	0.0015287189087435453
18000	-2140.89117876853	-1985.7809679135094	-155.110210855021	0.10619788593684687	0.19176213974478168	0.2225950280647579	0.0031426595529117163
19000	-2139.003495352032	-1987.4865356485604	-151.51695970347154	0.06436344868898404	0.0667481686963521	0.12409040897724387	3.7263868416115455E-4
20000	-2140.171446945269	-1987.33430651101	-152.83714043425908	0.12526789200364208	0.16478996818331818	0.1637550912433278	7.06073518423964E-4
21000	-2138.8385536273463	-1988.0576865097785	-150.78086711756774	0.09436235197455166	0.06177519690787112	0.12154101198468295	5.155357372485875E-4
22000	-2138.7706680048664	-1985.5161449296525	-153.25452307521383	0.06852728686913202	0.12934449992048194	0.20303519612966342	0.0023069846468541104
23000	-2138.3910093505374	-1986.0763147061123	-152.31469464442506	0.054841969351476755	0.07488196793575498	0.12522518459996168	8.692047785658198E-4
24000	-2141.7533271962257	-1986.567754110512	-155.1855730857136	0.03764683143605041	0.11008929219870973	0.08851303111499138	9.997898116600153E-4
25000	-2139.8440570535963	-1989.6993544551797	-150.14470259841673	0.08088491923571896	0.0986081598077033	0.08403661182591993	5.344245698707645E-4
26000	-2137.5544384223012	-1988.6114377545398	-148.94300066776134	0.10897515702913438	0.07955740250650326	0.12490131285002547	1.9415738192186342E-4
27000	-2138.4412912661483	-1989.6343870872065	-148.80690417894175	0.16053109641717803	0.13134809744124704	0.10427201306523608	1.9518831074999854E-4
28000	-2137.3755228266773	-1986.82125795199	-150.55426487468748	0.12462418811247203	0.09278656637835182	0.1665518412367411	0.002632692048401365
29000	-2138.793079657193	-1986.81016582573	-151.98291383146292	0.08300269409234544	0.19974258569358783	0.15825640381827172	6.125807051376185E-4
30000	-2139.212649974229	-1985.7184191772665	-153.49423079696268	0.11342955244039257	0.12738118235982657	0.24807716119282527	5.710244532596738E-4
31000	-2139.4994243018573	-1985.3183355547008	-154.1810887471564	0.09932179852990232	0.07527802877325852	0.19475499155906023	0.001973394063503205
32000	-2139.852757673214	-1987.3005186585465	-152.55223901466763	0.06788599655993725	0.06681470623703098	0.1791661351070337	9.306123706652599E-5
33000	-2136.8127872784617	-1985.3099357260594	-151.5028515524024	0.09412932619381452	0.0989546503977969	0.20759420682220034	0.0011247852974595658
34000	-2137.2355747114957	-1987.5059057008916	-149.72966901060389	0.07716772040625942	0.10593393817902788	0.11764221432475246	9.170760921439922E-4
35000	-2138.5526089505324	-1986.2896565442873	-152.26295240624506	0.0559405584768273	0.08822149499056882	0.13754946380396563	0.0020053561612441923
36000	-2137.142012697316	-1987.3238237842038	-149.81818891311232	0.08493503196436727	0.13718161246476418	0.12711600661979955	0.001248903603895121
