#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72794.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72802.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72905.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72912.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72895.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2195.074643794937	-1947.7711073651815	-247.3035364297554	0.07003993467680877	0.07751583312378627	0.0893494195205671	0.09629519430874701	0.17585706347857183	0.004665724398783171
1000	-2202.267084188332	-1951.3681952035831	-250.8988889847488	0.07428974519292195	0.0590638649673445	0.08563728816447291	0.15185336030649715	0.20980066142510298	0.0040308514136962355
2000	-2195.217665014203	-1947.7424134394605	-247.47525157474237	0.0673914123887836	0.09217551006773686	0.12880647632694378	0.08893912689038268	0.1866373513608364	0.004548221452182159
3000	-2196.607999844915	-1948.9233660671302	-247.68463377778454	0.0784191234129924	0.11602271543408212	0.11019915007316064	0.0869667160473612	0.20327034498458474	0.005061172858185846
4000	-2197.9741954216624	-1948.2730902781218	-249.70110514354062	0.08567681799677168	0.11179875652484283	0.06444328588121748	0.12079821148374278	0.2250438125538418	0.004874749569837807
5000	-2199.888519331909	-1948.690336611678	-251.19818272023056	0.03914436220740417	0.0837231314922868	0.08721554325201666	0.06961227463394554	0.14663942995254073	0.004055473980421741
6000	-2198.5383785397207	-1946.842068101007	-251.69631043871348	0.05318538706129016	0.09989096386962805	0.06698887115098674	0.10899331631080952	0.21338095700090384	0.004205560895573902
7000	-2201.3689574420546	-1948.9603199754224	-252.4086374666323	0.07610298019285378	0.04573623302480196	0.07293483871760076	0.13756118872145812	0.20931877648726568	0.0031718593885741286
8000	-2199.7177534176126	-1948.8688629934463	-250.84889042416629	0.06731243302812394	0.09661464684823236	0.1390452010245095	0.06499973876911422	0.2310695727088439	0.003032505448853263
9000	-2199.480007102344	-1950.1713623618907	-249.30864474045345	0.06425566469142333	0.12900187283163883	0.06649885193989308	0.11842370685450944	0.1635351209210516	0.004063340598595696
10000	-2199.2338636774393	-1946.5974044105255	-252.6364592669139	0.04387933252957326	0.09176807838109362	0.1064987251244545	0.07708420291959807	0.19399868449410015	0.004328892194645787
11000	-2199.357446683935	-1948.9049428370386	-250.45250384689626	0.06776224285143247	0.13696714173325328	0.09659440290717047	0.07098682564516792	0.20988359816263139	0.007516356182438062
12000	-2198.541736640117	-1951.4220204983228	-247.11971614179419	0.059104991413660796	0.10777438372667356	0.1829566200385341	0.1180855760461084	0.1266825543516985	0.004405646223361678
13000	-2199.284196852008	-1947.1402177426603	-252.1439791093477	0.032389351864377074	0.07747847682095708	0.1081970072025544	0.10063215474441854	0.15633966420629486	0.002847299187940771
14000	-2201.7426037115833	-1949.5989244057048	-252.14367930587875	0.12478831364981843	0.12049857019872574	0.07647502355576498	0.0651003370210477	0.25148822667050924	0.005384039995756474
15000	-2198.521966118586	-1951.8052622167218	-246.71670390186443	0.07660422762032303	0.0839474584043638	0.14805758673999325	0.15247143235713276	0.12684541862458704	0.006930912572002415
16000	-2197.168881804474	-1947.9749008692502	-249.19398093522406	0.05354834906008561	0.08808618095439678	0.09317375291438958	0.13732017694993023	0.17687141614632154	0.005629464651929451
17000	-2199.285929519691	-1947.9438941859605	-251.3420353337305	0.07104598983385128	0.05755952764007451	0.06817864703535187	0.17251523479489517	0.19506223851719712	0.003536978686867232
18000	-2202.511732313976	-1952.257850248991	-250.25388206498522	0.0483170071443029	0.1568309875493978	0.1256243690123482	0.07291254101793268	0.1488646436819828	0.006433832291912658
19000	-2195.445513953785	-1948.5524670181783	-246.89304693560646	0.061483445636177955	0.08301809935417524	0.09653164232991839	0.12603300203460646	0.16338561631838064	0.0037140168052426045
20000	-2197.6540781987815	-1949.0968409372208	-248.5572372615606	0.05320981795202663	0.09436030601758726	0.07008378153367402	0.143822390963038	0.16458408565719695	0.003117037717715663
21000	-2197.3706104415924	-1949.1832006363784	-248.1874098052142	0.047743800079922995	0.10679099117835122	0.12709652444817932	0.09524941569499436	0.1513832611481671	0.0034205981738580286
22000	-2198.3573256152317	-1946.380833114008	-251.97649250122367	0.05553725581978836	0.15986428987217552	0.09632262561983376	0.09863856689331481	0.2306002936060961	0.005608771282587763
23000	-2198.2643269212585	-1952.0718531201896	-246.19247380106876	0.12988656445796082	0.09469039343740275	0.07700208811989008	0.1064518682917725	0.14370352463255132	0.005480140875640146
24000	-2200.674914237251	-1950.4245713127743	-250.25034292447674	0.040938004090233494	0.08376239190729047	0.06528279486401174	0.11679757745447525	0.12301525544234336	0.003605335421522904
25000	-2196.934528809771	-1950.0061865007656	-246.92834230900536	0.07271011684522621	0.1016052691361512	0.11146289965047948	0.09977224574137898	0.15730278580344306	0.004201473485902975
26000	-2201.217852705165	-1950.346625833052	-250.8712268721131	0.09154616436183274	0.05981897088955294	0.16763645358984983	0.07325137975821713	0.1481752892960529	0.004733258149736395
27000	-2201.113997299057	-1951.4170748542333	-249.6969224448233	0.17639583747568352	0.06976535496988256	0.07194938019008139	0.08906876325595119	0.19362901470726604	0.0047842288495954935
28000	-2197.5771475405754	-1948.5344076705817	-249.04273986999397	0.056203475193159574	0.05484064498563435	0.1334007457331283	0.1140899855485068	0.14198195086947846	0.004201066304947744
29000	-2195.3238132496313	-1948.7313682338008	-246.5924450158303	0.09410205221727254	0.10968112081368837	0.080342340318481	0.10277177254329485	0.18528269566527703	0.006268553999465478
