#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1771.5836508855107	-1621.8158755340537	-149.76777535145698	0.08451093328321958	0.1105127942350175	0.14113663027744291	0.0020590290802890046
1000	-1776.0723582199735	-1624.430425912334	-151.64193230763962	0.0936489384428496	0.09147660372449327	0.09069136636000132	4.643292646315384E-4
2000	-1771.9275300353106	-1622.7581681567217	-149.169361878589	0.09149431968231207	0.12300519746637827	0.13086202047020642	7.221667980801639E-4
3000	-1771.9558662260295	-1622.8471870366716	-149.10867918935796	0.0796681989087583	0.11205667483848976	0.11440590213297161	8.135337783366821E-4
4000	-1776.2287477839482	-1623.99766828441	-152.23107949953803	0.07721971403495993	0.07170193275424565	0.08492645897346623	0.0010292182085956442
5000	-1773.5064462667813	-1622.2387931948194	-151.2676530719618	0.09520403408634504	0.07179785953484749	0.14757685300902015	0.0029858650054072258
6000	-1774.4447086233517	-1621.2418904569734	-153.20281816637842	0.07521491890999495	0.10137230434829328	0.1669056547987319	9.049142109550979E-4
7000	-1775.9757707401877	-1622.6751474464177	-153.30062329376995	0.05903509638543354	0.11055145509576723	0.1322875224410037	0.0026740312365961093
8000	-1775.6071656150607	-1622.1803787834858	-153.4267868315748	0.09877150341816195	0.05346964583286188	0.1541669415713372	6.119593178866882E-4
9000	-1772.7629234983751	-1624.4106021808602	-148.352321317515	0.10788594398133272	0.11430643643068364	0.10739776278642382	1.4531320621563882E-5
10000	-1774.9861785587507	-1622.1913862679432	-152.79479229080735	0.08847378260297936	0.05457721652098245	0.1245994826443856	0.0014648449240749037
11000	-1774.8406486195613	-1622.1365716779885	-152.70407694157285	0.11862222689154513	0.05688553452063601	0.18061069196519922	5.085467805863184E-4
12000	-1773.929447594208	-1620.6988920249864	-153.23055556922162	0.04282459067247232	0.11956688897187168	0.13496747713823112	9.516390485971488E-4
13000	-1773.7049600206335	-1621.9637969160349	-151.74116310459854	0.07583107157334891	0.06798479647013805	0.134518798746487	0.002364648684345421
14000	-1772.6960300543465	-1622.8107357303238	-149.88529432402268	0.09076818458609287	0.17051256938297438	0.12813906163188687	8.184199031148127E-4
15000	-1774.0504010243824	-1623.5242685040803	-150.52613252030216	0.09060256512512695	0.07158519372411891	0.10269042916767301	0.0017784501267494681
16000	-1771.8896727697713	-1622.609245517844	-149.28042725192725	0.07465678137492138	0.11472336153112726	0.13282321906713243	4.85946272574923E-4
17000	-1775.8809102207956	-1623.811028650545	-152.06988157025063	0.048020375480776804	0.11510110805535453	0.12435323816380235	4.2988606726998824E-5
18000	-1773.227179739362	-1621.3088179974964	-151.91836174186568	0.09810602680087749	0.06971520719356665	0.16260507661497778	0.0017842607951055922
19000	-1772.1130022097896	-1622.4655382249173	-149.64746398487225	0.09478949046422216	0.0973201778704213	0.12927330368159615	0.002102896556843209
20000	-1775.6673890692687	-1620.5061057971302	-155.16128327213858	0.08696558641605034	0.06041691610296453	0.1970972061687827	0.0014227922712244346
21000	-1779.4917448200708	-1626.4905031776896	-153.00124164238122	0.10274522480759986	0.1150371274856295	0.10412028986267388	0.0050474926183655296
22000	-1772.8176780985887	-1621.4481248005268	-151.369553298062	0.11919037041134843	0.07283986139945632	0.18406062677473625	0.0012009831568599754
23000	-1773.4490864025222	-1624.7171637622116	-148.73192264031067	0.11149534671840058	0.10556169978086388	0.09333870624628224	9.488129947183127E-6
24000	-1773.5495091847938	-1622.8047829755221	-150.74472620927162	0.15429081938070044	0.09030722055450706	0.15106950422897308	0.0018929637634300701
25000	-1773.1340296735768	-1620.912514450041	-152.22151522353573	0.05798288791394797	0.08082980478513688	0.14434957010340527	0.00152287245979629
26000	-1776.3032861346196	-1621.8862672613573	-154.41701887326244	0.05232439139648811	0.11568150753384282	0.18621428563662445	2.433786531156402E-4
27000	-1771.8868925444106	-1622.1824173836817	-149.70447516072883	0.08307197269662464	0.11477571758282488	0.13109362622287968	0.0021666934139715956
28000	-1772.9684195553484	-1623.5073042981862	-149.46111525716213	0.10737749022657107	0.11639292779876566	0.11866035019244307	0.0024328428752411154
29000	-1771.7764530691682	-1621.7308720110732	-150.04558105809497	0.07803481980754522	0.10770884806250633	0.1420618914397835	0.0010414280730700121
30000	-1774.8821163618825	-1623.3556997830349	-151.52641657884763	0.12115350499919282	0.05122506837063765	0.12179730206584459	6.70567831298968E-4
31000	-1773.0212661112807	-1622.1897563792008	-150.8315097320798	0.06450798210736662	0.10635105859380745	0.11085968533441383	0.0016154034316853175
32000	-1772.9309535191	-1622.9021155720586	-150.0288379470414	0.120703439083313	0.09977946159140234	0.13477544964992846	0.0012683963521856632
33000	-1772.2330861261532	-1622.2034138735821	-150.02967225257112	0.07434422912751008	0.15193705476302363	0.12544671640556537	0.001008810840964912
34000	-1773.9673218027635	-1621.5825311114584	-152.38479069130517	0.08663880188728171	0.05304081114275578	0.14352558540248064	0.001170487190991472
35000	-1773.6438778553197	-1621.777169100696	-151.86670875462363	0.05019177121701619	0.11352601733797624	0.11492584175673803	6.70893390751835E-4
36000	-1773.8268012675135	-1621.5674271496075	-152.25937411790594	0.060837953776805606	0.08893347643854113	0.12288800181626994	0.0015809793457653174
37000	-1771.548398384132	-1623.1967443220035	-148.35165406212855	0.10152364684782822	0.11753022817517784	0.1266379877865329	6.162169786247537E-4
38000	-1773.618195307232	-1623.5449516135966	-150.07324369363542	0.09206195942311703	0.13579124320881023	0.10923802694053551	0.002199708322314678
39000	-1773.5695093615766	-1620.9991759860889	-152.57033337548776	0.10270676683913284	0.08618177008682576	0.18625636216165167	0.002203399518568716
40000	-1773.6822772597952	-1624.3641780173973	-149.3180992423979	0.08701360370151338	0.1012573013347455	0.10459157640181478	5.8076428402896495E-5
41000	-1779.2905814557575	-1621.5190132192688	-157.77156823648875	0.0970569759360589	0.05589824541886366	0.2802807307030516	2.6391091900666397E-4
42000	-1774.580238736666	-1621.853353398342	-152.7268853383239	0.0551966054096806	0.16266197483155204	0.11073233850287538	0.0012950926154335738
