#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1832.622626029995	-1582.587768462342	-250.03485756765295	0.05865389320277127	0.09199002113808434	0.08838582275678575	0.059130324015227775	0.17242094066501548	0.0037470024401588978
1000	-1831.6838989257315	-1583.5454924730775	-248.138406452654	0.076988661563995	0.08748685688315692	0.11894168582618121	0.11252617957848748	0.1636478075067224	0.004950046683152753
2000	-1830.8312069817382	-1584.198108253277	-246.63309872846122	0.06750966227849327	0.12112924278713558	0.1443818482093576	0.1579135463544408	0.1641838324564988	0.003915573141039203
3000	-1833.118993813596	-1583.1132139495598	-250.00577986403619	0.11587973063580796	0.15320107128836163	0.07729390324549054	0.09893750993445755	0.21635706834834925	0.007153885681169867
4000	-1831.266584485156	-1585.5524759320947	-245.71410855306127	0.07993789403166898	0.1352965268175439	0.09518376520475022	0.08795309310709466	0.16787571334563026	0.004825382167861931
5000	-1834.179776006757	-1583.9844904752827	-250.19528553147435	0.07657779033779225	0.0509841604806007	0.0937766247719609	0.08294576276987656	0.17726420598226494	0.0031571136992442845
6000	-1832.368189441552	-1585.0068611686243	-247.36132827292764	0.07410921388170369	0.08135988826253604	0.07055415950717095	0.09655853724340288	0.15003634399651095	0.005014271945878
7000	-1834.5689236547726	-1584.821558456003	-249.74736519876964	0.06565500784311541	0.10086244347593756	0.0921615670567868	0.05975891226455104	0.1492708712985714	0.004878593711356674
8000	-1834.1149489738705	-1586.3873018409956	-247.72764713287495	0.08971770153006002	0.06421463147298037	0.08717328420245685	0.0767431507468243	0.1647961207973884	0.004011077492747141
9000	-1833.1102411598351	-1585.4060440471021	-247.70419711273306	0.13031458542425017	0.10682011371901286	0.09285532922321309	0.09127221919821099	0.1840347357504295	0.0068183948158392115
10000	-1831.307380168736	-1584.5799869932575	-246.72739317547837	0.06086662183540363	0.08771564492931985	0.10121398251889026	0.10425824913562388	0.1753973122472114	0.002737207966242326
11000	-1830.505717983382	-1585.6079917137772	-244.8977262696048	0.11882893665810963	0.09005786741200228	0.11556772835289505	0.13520385440280663	0.1587923753439165	0.00520717065704529
12000	-1831.4286396829357	-1582.598063890026	-248.8305757929096	0.07417081824517793	0.09651864339690282	0.13925458657391201	0.07211956712366753	0.20321268155478167	0.005443762634460146
13000	-1829.7409678572399	-1581.9568300615756	-247.78413779566426	0.060593799223967786	0.1089889708025023	0.10087772645341052	0.1133625340108769	0.19874539114586498	0.004208698364272666
14000	-1831.3286433746835	-1581.8841365623605	-249.44450681232289	0.08190270840882292	0.13626604662446906	0.09101100624844616	0.07354050010276697	0.21687676882057785	0.005865230834976303
15000	-1830.1889130361246	-1584.7841449573834	-245.4047680787413	0.07833257958814208	0.09248221776183946	0.08582924246850855	0.12009347142373815	0.14478690802030125	0.00464881989398768
16000	-1835.14423076269	-1589.1582125714233	-245.98601819126688	0.0768294345549409	0.06780712869390532	0.13426701775498004	0.14105090026996686	0.13622698006493397	0.0032131414985108906
17000	-1834.0082513895848	-1587.255540749421	-246.75271064016377	0.10930600608471303	0.10501276366227041	0.10459946084757185	0.18832073619282477	0.13271614523478048	0.005424616274848926
18000	-1831.2331009094573	-1584.8268581086973	-246.40624280076005	0.05373455668188886	0.09726120537227413	0.10731686590099834	0.10540196793233575	0.1248416397206288	0.004206478027538485
19000	-1831.7917536040113	-1585.4648780920904	-246.3268755119208	0.06740888344741694	0.10680423328530328	0.11664910901212673	0.07916233556290982	0.13395730798591787	0.004830204846705366
20000	-1835.942624694249	-1591.3523874738246	-244.59023722042443	0.07221421261206742	0.11196191824575705	0.15976343522762593	0.10466010246572731	0.11151416696427567	0.0030566487861763613
21000	-1834.4072745769988	-1586.3373469728767	-248.0699276041221	0.09330072030122395	0.06856387243322111	0.08822755484385238	0.06221321167472888	0.18115303041736822	0.0028176976335865683
22000	-1834.385880241744	-1586.2067620584667	-248.17911818327718	0.06476679115977445	0.10114822446314521	0.10032050489464435	0.08208025087541052	0.14319539237810844	0.0028687474676800458
23000	-1829.8071175736102	-1583.3335082126093	-246.47360936100085	0.06898657602078669	0.10106476593623337	0.12296629004176135	0.09117376781636234	0.16547540275238812	0.004879126421296323
24000	-1833.3289733648664	-1585.6817421831915	-247.64723118167495	0.07291820849330027	0.05180698236477641	0.1389180610984158	0.08860169982214496	0.11327008633217424	0.0033323736241219325
25000	-1832.0676902981068	-1582.2056520528763	-249.86203824523034	0.06837735586383006	0.0927233181757166	0.10209935803907616	0.09738297335673561	0.24756927543507237	0.0038197289949592
26000	-1837.1751089652394	-1582.1307434459218	-255.04436551931764	0.04654108811542098	0.17451608641748645	0.054849501864956074	0.10275309664387121	0.21344687217328392	0.007020835558717813
27000	-1832.5361615731886	-1583.6142243567324	-248.92193721645614	0.06092364328083039	0.08022622037415923	0.09034495679324472	0.12774347948836867	0.19078869800407583	0.003822921923552082
