#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72880.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72887.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1769.4889267663593	-1616.3412555705945	-153.14767119576493	0.0709821414843363	0.06215681391683033	0.14917057660848795	0.001463937975961951
1000	-1767.2564289095615	-1617.544082259642	-149.7123466499195	0.10486481761426654	0.12848800382756428	0.18157158233348933	5.110489319391896E-4
2000	-1767.8752444890765	-1619.4618343341897	-148.41341015488695	0.08942785345047155	0.13712322844208372	0.11870969248775397	3.9269214630187713E-5
3000	-1769.565588717731	-1616.5486898568543	-153.01689886087684	0.0857389243327708	0.12751430424746238	0.21394199448754853	0.0028321696710369255
4000	-1771.9460082146584	-1621.2359468747838	-150.71006133987441	0.08390998017656344	0.13956313032234569	0.0750710740457879	0.0018502844512079345
5000	-1770.0581173177577	-1620.6634743482523	-149.39464296950538	0.12741270686567235	0.1519018329803223	0.0964705462059188	0.001453412239144163
6000	-1768.0941157972647	-1618.3619043848696	-149.7322114123951	0.14393950699053812	0.09461359798807942	0.1416352427576357	0.0017197613854261682
7000	-1771.114021860017	-1616.0841457136949	-155.02987614632204	0.03630133002961512	0.0850224808505427	0.11761224467976891	7.861687800630103E-4
8000	-1767.6459942694476	-1617.2824548533843	-150.36353941606336	0.09050007022020519	0.07994459542983456	0.13947453319598074	0.002125098490749733
9000	-1769.2544933674437	-1617.1507470505016	-152.10374631694205	0.08860238922840755	0.06096484393730783	0.17646280616253127	5.205760334732379E-4
10000	-1770.757737852565	-1616.3957484059558	-154.36198944660924	0.04038384169438373	0.08239079248310734	0.13147595612336563	5.534742938102184E-4
11000	-1772.7073971627851	-1617.9986299922762	-154.70876717050896	0.04168438716120533	0.08181096890530068	0.12755003129549125	0.0020755104935515347
12000	-1767.3556582022425	-1616.9353867405655	-150.42027146167703	0.07294067026629254	0.1282494101637505	0.1416871671363437	0.0011280337432047435
13000	-1769.1292057117575	-1617.6768221123789	-151.4523835993786	0.06451377801602674	0.07711689607350668	0.10403444544141797	0.0014139333770029697
14000	-1767.9789650910852	-1619.1332591861837	-148.8457059049014	0.0873271370988218	0.1361042774887349	0.12968752679213982	8.383220635086526E-5
15000	-1768.9625552240857	-1615.9244939592304	-153.03806126485534	0.0722560697276672	0.0746694122671887	0.1904236794774988	0.0018917667081427424
16000	-1768.041152904956	-1619.5600795448772	-148.48107336007894	0.10078607286352503	0.14527088472253277	0.10649976176687578	2.138426694518705E-4
17000	-1768.5926943527236	-1616.7600508824369	-151.8326434702867	0.13545980813813138	0.10062946140542833	0.21807199314126713	0.0010160320142543456
18000	-1770.3691091823002	-1619.206354424213	-151.1627547580873	0.10033455853149367	0.06037032157587827	0.10018166133477227	0.0015024678990960324
19000	-1768.7471973809597	-1616.4021174821103	-152.34507989884946	0.0668276387113939	0.13579465572610414	0.171203972262494	0.0019760362799096935
20000	-1769.3431643959198	-1618.7461816953976	-150.59698270052223	0.13650368578168884	0.07463423002298332	0.12871281393149056	8.633248277207956E-4
21000	-1767.8028742785305	-1615.940152121475	-151.8627221570554	0.07069532221216743	0.10200293914274973	0.19117740209239273	0.001192363234123778
22000	-1768.7671149383	-1618.0329590324316	-150.73415590586836	0.13976739636179616	0.07881537877661639	0.14661233671755183	0.00143901585120122
23000	-1767.4038537406507	-1616.6547711236492	-150.74908261700148	0.07050693446278451	0.09826433182156513	0.15898515565443208	8.540989215889982E-4
24000	-1770.977808303911	-1618.7232901425773	-152.25451816133352	0.054545221818446295	0.1290894602580413	0.1163939961151318	0.002644020987042623
25000	-1770.8431752147333	-1617.7561893650654	-153.08698584966783	0.04302727285128189	0.09141229756353844	0.11278557668645561	3.1673643776381703E-4
26000	-1768.7994271722841	-1618.6920854752686	-150.10734169701547	0.08465475722765571	0.1461496924057959	0.10493900004142347	0.0011442214329410415
27000	-1768.1591430470903	-1619.0074725208638	-149.15167052622647	0.10464365912787252	0.1466550779256668	0.11188848392392933	0.001578580279927395
28000	-1770.4954743165993	-1619.8793809073518	-150.61609340924755	0.13413222796925572	0.15289245260353396	0.11309186709232319	0.0019413249667184123
29000	-1770.2767625227928	-1617.07422415706	-153.20253836573292	0.08724494176020609	0.06953519943413247	0.17839778435807396	5.57655977189535E-4
30000	-1768.4815643567576	-1617.8409810598976	-150.64058329686014	0.12554886842540877	0.06864374229834272	0.14283952256016394	0.0014386400988474239
31000	-1768.0358662223714	-1618.7811825431365	-149.25468367923494	0.13087228836762868	0.09800309173669844	0.12800010598418965	0.002073151671632156
32000	-1769.1636700897197	-1616.5407034850227	-152.62296660469698	0.07288334748669932	0.1009606108227685	0.15719760480753628	0.0010919309279621584
33000	-1770.4421094804989	-1619.516947497475	-150.9251619830239	0.10570868415501401	0.06287421865243542	0.10697010165985771	1.7634521640840973E-4
