#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.F2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.F2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.F2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.F2" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67127.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67201.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72874.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72880.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72887.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B31685.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72870.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72762.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72773.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72785.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72754.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72760.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.F2" id="treeLikelihood.F2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.F2">
#            <siteModel id="MutationSiteModel.F2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1857.4233316108227	-1615.2207845624935	-242.2025470483293	0.0877760442225713	0.11188640488674069	0.11879581140237976	0.07508110675087007	0.0940380969251654	5.639222533285515E-4
1000	-1856.1049722327723	-1609.6413897015118	-246.46358253126058	0.07480287146486585	0.04564230920990621	0.11110402087759963	0.12197290496914062	0.10849295094530707	0.0011612439220917482
2000	-1853.1425532158164	-1608.7410865581796	-244.40146665763666	0.1081017276982042	0.08166778207412129	0.09037199197240238	0.10454683300396694	0.15052649631900183	0.0022576309508499127
3000	-1853.9295490490135	-1608.6211380383177	-245.30841101069592	0.1028546640359903	0.13210960130269475	0.12103180044990305	0.12122003156945539	0.192978247537258	0.0038465274764688476
4000	-1855.4879373366812	-1611.8365048315854	-243.65143250509578	0.11952898400374884	0.06950872400073863	0.13585837919210833	0.09516877258328599	0.11377858945740839	9.658689795661827E-4
5000	-1854.0914998361438	-1606.779977760537	-247.3115220756069	0.06756905865565346	0.08684201782165925	0.09130361191181319	0.0766750645218001	0.1903225737776213	0.001823977820813385
6000	-1854.587681025499	-1609.5234072644712	-245.0642737610278	0.11470527783268579	0.11929634542382493	0.15213664959213058	0.06499705255794976	0.14846425573587385	0.0023858136637059076
7000	-1853.189807458859	-1608.2701862828958	-244.91962117596316	0.10458361993232176	0.08887310292003318	0.11880854032963414	0.1064132801477973	0.21934771199768965	0.0014970604306551922
8000	-1857.3007054890775	-1612.7303242211308	-244.57038126794674	0.12884536409612934	0.10198309520353162	0.06445297336801642	0.15798436862436105	0.10762291930688232	0.0017250755161629828
9000	-1853.2163988418451	-1608.4768258205922	-244.73957302125294	0.0910165035515533	0.0884452243799492	0.14546091219255172	0.08718086734954533	0.1554866620309481	0.0019486974826204363
10000	-1854.092574472604	-1609.5704028591153	-244.52217161348852	0.1287737578882307	0.10735749104581324	0.11001133984523273	0.10091124061324408	0.1447075682863156	0.0024895770109142775
11000	-1854.4237333698404	-1611.2813098572456	-243.1424235125948	0.09982951012502511	0.1058899840636042	0.13499786596100682	0.1017102098245428	0.12239982376350726	0.0018930153342302833
12000	-1852.7871027771698	-1608.7969702941737	-243.99013248299622	0.11196652728383219	0.06490426981985631	0.10083622212148745	0.11422265577701754	0.1563572985447625	0.0017261267915317001
13000	-1860.4046911246455	-1613.5901720807094	-246.81451904393623	0.14917000400261954	0.18617539310023562	0.0775785593828458	0.1271094542608116	0.11691174086974047	0.003264236309993364
14000	-1854.8905520597157	-1607.9053705230922	-246.98518153662357	0.10056566365563463	0.05347293338360356	0.11897779528113041	0.1577412978007544	0.18293941940222133	0.0018687871947982067
15000	-1853.447025868316	-1608.222428213484	-245.2245976548321	0.08395143088830788	0.15914483915347524	0.11443550608764838	0.0909542059826896	0.17601510813505955	0.0026538115126398835
16000	-1852.2646543750989	-1609.3590711907625	-242.9055831843363	0.12256845384715971	0.08544247337034575	0.11525603223602264	0.1173170077288421	0.15631872363909302	0.0018315287205528147
17000	-1854.4798073504949	-1607.3428884708946	-247.13691887960013	0.13587308724170855	0.08074672135715881	0.08646372510170905	0.08516058589060205	0.21533333369328825	0.002027360559355594
18000	-1853.7005573340618	-1608.9982844838337	-244.70227285022816	0.0666296582227785	0.09704679647631588	0.11281344262477354	0.14578384599803715	0.1479954619591657	0.0016193701176880518
19000	-1857.7810697606412	-1608.0933887122983	-249.6876810483429	0.044150683508173284	0.10501810452005783	0.12823591433192702	0.16859651589352867	0.15733509909579818	0.001252924273207728
20000	-1852.7351409650541	-1609.4987306915518	-243.23641027350232	0.08235172896427159	0.09031758672143585	0.12976768089986548	0.1209065241894274	0.1655339513496862	0.0011684001003887294
21000	-1857.865246213442	-1608.491980884987	-249.373265328455	0.10081487585820131	0.13818583404670023	0.0580881793174817	0.100110104426951	0.1910409964812503	0.004259991061316873
22000	-1854.9568489099154	-1607.753347818729	-247.20350109118638	0.09637730625613984	0.059565369664465365	0.07685921085902474	0.17667656636895582	0.16059615647665249	0.0017694633736808243
23000	-1854.5078184778029	-1610.0826282382513	-244.4251902395516	0.0859383715619386	0.09450654849054002	0.11539154309665538	0.0826911034183911	0.1182243031874072	0.0019377438017932377
24000	-1860.518247351812	-1610.5062823082571	-250.011965043555	0.07010222900695609	0.08524901552836608	0.12254557398649903	0.06278488930177996	0.1705108117545212	8.607273030316225E-4
25000	-1855.341107623576	-1608.9522744552385	-246.3888331683375	0.09307060228155792	0.11990535063992196	0.1155502831122343	0.05981060467290639	0.14897417499294488	0.0032131837433763146
26000	-1853.6022644093944	-1607.8374255516728	-245.76483885772163	0.0682457304432789	0.12631655841884112	0.1021943109430527	0.10042936305165119	0.18569361409118687	0.0027926818910804846
