#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72793.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72795.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72907.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72909.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72900.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2058.742895393434	-1810.991150551069	-247.75174484236499	0.07669271772774841	0.14497266592228683	0.0975106881113107	0.08579808452595199	0.1924549740451949	0.004338114455119504
1000	-2060.6614999499825	-1811.936146136993	-248.7253538129895	0.09861699354910289	0.11723257570799234	0.04536637810931232	0.07994806387873817	0.1284113491168712	0.003663358875366447
2000	-2063.731752233281	-1812.0318905213978	-251.69986171188307	0.07897344381835406	0.15300697446130523	0.04868039772673471	0.09052653683310344	0.1522137587154535	0.005431705111214732
3000	-2061.4343964640852	-1814.5914158076691	-246.84298065641605	0.07943767078205112	0.09271021975695969	0.09980053174380624	0.06032094881217089	0.10554919952995252	0.0033384960758457206
4000	-2059.353804354906	-1813.5211429482804	-245.8326614066258	0.10957588850613191	0.09464907201228936	0.10556801611370158	0.11854833541426435	0.12926977931737224	0.005336338859355692
5000	-2061.102179088531	-1814.2040680446842	-246.89811104384677	0.07945462640285182	0.06214805029568403	0.08375727035221384	0.128924878050263	0.11658295280872011	0.004961393860405615
6000	-2061.2217856022116	-1815.7873775974276	-245.43440800478413	0.14145010274498374	0.06969704684130232	0.0877229865060582	0.142755683152972	0.1629850028036712	0.0026635648351976265
7000	-2064.569260426983	-1811.2715692822026	-253.29769114478057	0.05255505708261029	0.09409410736576022	0.060893784510059626	0.041501978036656964	0.16416117069073516	0.002154933464582861
8000	-2063.385437719762	-1810.6058869058888	-252.77955081387353	0.1146693785767001	0.19185941527242178	0.049038396653094424	0.10894344513670073	0.19501233185713146	0.009496391186158823
9000	-2062.7206834610884	-1812.347655337151	-250.37302812393747	0.06219942750929124	0.09516432381178433	0.08669169972787887	0.1604181060430209	0.17927759721102385	0.00478858560634117
10000	-2060.803536188518	-1811.5111416190416	-249.29239456947656	0.13128499131796725	0.12800299955714978	0.08664013370665846	0.17325692522287772	0.1688387469686936	0.00724525446231226
11000	-2059.0506187864476	-1813.9307527217816	-245.11986606466607	0.0779635882829494	0.1249420918417491	0.11117112809752477	0.10457881073005933	0.12979914024521802	0.0049933384272285285
12000	-2062.3392082676783	-1813.4739912949967	-248.86521697268145	0.05068650684671882	0.11127611073905214	0.06086867460267817	0.1105754418363882	0.11755964645917595	0.004374849843207709
13000	-2062.382922220494	-1812.823653554812	-249.55926866568203	0.11887754805983719	0.19014708415599135	0.13256688856917342	0.1508371007446354	0.18297271272520618	0.009492859438914623
14000	-2056.719805898198	-1812.210277956968	-244.50952794123012	0.08890850583287328	0.12169747342040285	0.10171323400257858	0.12092442126923657	0.14969551927040928	0.0052763667009527344
15000	-2059.164248154048	-1810.8523405299281	-248.31190762411978	0.07264777392541069	0.12108553341798566	0.07002779114237054	0.12666078674225564	0.18106636426201178	0.004192518497102674
16000	-2057.9731097529025	-1810.2894346444673	-247.68367510843532	0.10590869875775111	0.12374931795673816	0.054685054620004475	0.09448061577681356	0.1738843743729178	0.0050948702443441895
17000	-2059.3399668622155	-1813.357670511893	-245.98229635032266	0.07393680815297139	0.14736902206716815	0.12513302063770843	0.11174668574900323	0.15123663497274162	0.006264744962454796
18000	-2061.8171485698895	-1812.505772431999	-249.31137613789045	0.10292431241071896	0.08530457650176085	0.06930969999798679	0.19732469189379195	0.1827561172157741	0.005030740338852472
19000	-2067.373329679613	-1818.7345401006496	-248.63878957896335	0.12589785465346073	0.051618608393961235	0.08064870513443861	0.0731369957030236	0.07253286698465759	0.002146893848177672
20000	-2061.9414084594882	-1812.170162417775	-249.77124604171337	0.07242853347733882	0.12167164702612061	0.0455528455401919	0.07812112082037999	0.15272107109940372	0.0030472379989987014
21000	-2061.617072575864	-1816.6726829586619	-244.94438961720192	0.1115161125621836	0.07910325358630632	0.10091109237608188	0.09472676906571585	0.1209861906724896	0.005647040479245725
22000	-2063.2599223263232	-1815.9381402551744	-247.321782071149	0.07236746659666472	0.10775543866145061	0.1378044145625249	0.051385730084515406	0.11607105862429323	0.0029665174172107053
23000	-2061.0692242261216	-1814.1678715897888	-246.90135263633292	0.13071811711629677	0.1429897452730826	0.10329890846489466	0.11149929050508152	0.1315726432178323	0.0073106123405112565
24000	-2063.1117088341857	-1814.277557483216	-248.8341513509699	0.059618006278903235	0.06734554847770825	0.15733979783552135	0.12852888663609352	0.13835363359740876	0.005417661671067651
25000	-2060.1409830544367	-1812.7635480369486	-247.3774350174883	0.08117724889711102	0.1081000399045623	0.057579121787174434	0.08897591344917029	0.12977074864521496	0.003565156188911309
26000	-2060.607099686681	-1814.296461051264	-246.31063863541706	0.08993885068368451	0.12069997341252969	0.12495099910762728	0.13045818649100072	0.13653526634759341	0.0042570894841970856
27000	-2062.281267152779	-1815.0152513314472	-247.2660158213317	0.07558908115685908	0.05807544566898373	0.12414334016730744	0.12349324500194794	0.11545667034211367	0.005842626594495009
28000	-2058.967460695684	-1813.9697592109737	-244.99770148471057	0.11427370982726526	0.10715672637775123	0.10313957870166891	0.0997955884448821	0.15656698289559334	0.007630546723859625
29000	-2057.1067273320255	-1812.535417175847	-244.5713101561783	0.12140146210845656	0.12058267896441038	0.12850776540510883	0.1263950175388004	0.1626473662507807	0.005205454559083823
