#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1773.8435319683704	-1524.9904675652292	-248.85306440314127	0.06297649525881033	0.11962779545922342	0.0580383862153752	0.11150475184105646	0.12707696046957004	0.00721226722763172
1000	-1770.351116390555	-1524.572929153301	-245.7781872372542	0.06590027626343377	0.12891509029684717	0.10078276082814977	0.14845084591516527	0.14534819435832405	0.004124542283973354
2000	-1774.0318372773593	-1524.8800467406027	-249.15179053675658	0.08301914015645434	0.05256909469573665	0.0721104958448614	0.08105552521394113	0.10711481878235612	0.004867644818941995
3000	-1770.102361564004	-1521.703291159194	-248.39907040481012	0.08828960659898585	0.11954127132564825	0.06669975507944223	0.12339292002977782	0.19069473661167666	0.007551043552287821
4000	-1769.8391295001893	-1523.8531259412657	-245.98600355892367	0.1334385551304649	0.0834145237286907	0.0782421965877097	0.10827686547263703	0.14787099759870412	0.00579415176941248
5000	-1773.0081679117038	-1525.077680332995	-247.93048757870875	0.07305855605084824	0.12226332818056364	0.0767762695715496	0.14092115309665462	0.19007842585710544	0.005633440612832163
6000	-1771.4849084832667	-1526.635440788396	-244.84946769487075	0.07646044503532033	0.102461239241613	0.14904356579866743	0.08668076863554798	0.13330791130143957	0.0038234557177067256
7000	-1770.4742756204957	-1522.0324483637742	-248.4418272567215	0.141538319171926	0.09536313106978316	0.06421907517969308	0.13145672530237398	0.16491806486748645	0.006645507721642268
8000	-1772.5581656546817	-1521.20978593696	-251.34837971772157	0.07655647770486637	0.0886504262465487	0.04196967246275197	0.15032240042956405	0.1566727129116235	0.005616039539938595
9000	-1774.3120465280554	-1524.0491376822267	-250.26290884582875	0.07019579236663993	0.08822879602304842	0.16532874551041465	0.06405267796240809	0.14114633912440983	0.004098516301537318
10000	-1769.4173537275851	-1523.076728753123	-246.34062497446212	0.09114183603004791	0.08335262661414179	0.08431430779501586	0.12968061761700367	0.14316199334522295	0.0063847202307473145
11000	-1768.3600699155356	-1523.7739684038202	-244.58610151171555	0.12879520307510448	0.10694079019186535	0.09284966018405932	0.09870902254838729	0.14406461123080347	0.0063503184843306665
12000	-1768.3898024390287	-1523.6367360519453	-244.75306638708332	0.0956926446231647	0.08551824012975881	0.12153519837478179	0.10736957305114045	0.15129691272675214	0.0054058074232848285
13000	-1770.1879222523821	-1522.6481937020167	-247.53972855036537	0.1572886713092713	0.1098303394431256	0.1266681470195051	0.14025834729987255	0.18408553135805958	0.009125423530674498
14000	-1770.1635954287244	-1524.5466143123772	-245.61698111634732	0.12211176049605528	0.08250677074623602	0.10554177487818639	0.1293857488175431	0.17030152962003894	0.004654106928479036
15000	-1771.1744437038685	-1524.0829773349833	-247.09146636888522	0.14796093749767533	0.11216959253414768	0.05956323395746167	0.09057344506007882	0.12446707380752983	0.0070122512130693605
16000	-1772.6461339215468	-1525.2537922737424	-247.39234164780436	0.09717800837933738	0.13806494081682488	0.18109165412423997	0.06777991247783662	0.1352320286206415	0.004516759675639544
17000	-1776.8637129281499	-1525.6047227846834	-251.25899014346646	0.03896796021727569	0.10643171039101713	0.12474661477707989	0.062145510786966854	0.11740616462097771	0.00346607682518041
18000	-1769.3523196352567	-1523.5762268185058	-245.77609281675092	0.14180048217103008	0.0880223275285654	0.10167204598995688	0.13184906563883625	0.1456496694791007	0.007857199514895115
19000	-1769.9530255781833	-1524.4555844257525	-245.49744115243078	0.12960416031146796	0.10206823048078083	0.1105083150036211	0.14686529593914752	0.137547257476393	0.007963302147745911
20000	-1768.9642613624264	-1523.2547025257436	-245.70955883668296	0.10674153465044073	0.09088577148444295	0.0941743598114069	0.09100805302914104	0.18584076384748516	0.0043647607257049515
21000	-1768.6591450039161	-1522.0925672530338	-246.56657775088226	0.11102878191875076	0.09693010521952301	0.08839764818318514	0.07560691659237638	0.17430509728748378	0.005570726728535988
22000	-1773.4030226292202	-1524.2418094513932	-249.16121317782705	0.07255427469289649	0.13627392072167052	0.0777304063099407	0.10737020406907456	0.18063185817604557	0.008183284247546151
23000	-1772.6910207359283	-1528.279795373586	-244.4112253623422	0.10242234737709054	0.10288653422033033	0.07929711052061984	0.09586492408637572	0.1257203012357272	0.0033185892428471385
24000	-1775.3312991858836	-1522.9508920769877	-252.38040710889592	0.07964268135059385	0.037686066173518905	0.08741431952792608	0.08902669379067467	0.1757790927785333	0.003502140284336768
25000	-1769.839884242455	-1522.5034971522068	-247.3363870902482	0.12828637724037806	0.1455458432597447	0.0687251017943264	0.10148846545663438	0.16117181349359752	0.008579140409256473
26000	-1771.2448286493361	-1524.342692395478	-246.90213625385806	0.07946037508431845	0.07196099228582603	0.15856686536852665	0.11381310302369399	0.15286053338928526	0.00401586019741043
27000	-1770.3769584636934	-1523.332580103638	-247.04437836005528	0.1316955701350147	0.09769623008935639	0.10237898467651947	0.13011426801566459	0.16627305529691433	0.0074091305673375995
