#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1797.3779488846967	-1548.94272309344	-248.4352257912568	0.09825019604944611	0.050661939375037525	0.1025496984494992	0.09386324095862614	0.11121710139177567	0.0038278669156270205
1000	-1792.4066051627753	-1546.4803069077439	-245.9262982550315	0.10135547840808477	0.08844441132217007	0.062386369761003126	0.150299278221977	0.16921496540498182	0.0021875485185047856
2000	-1794.7836665151117	-1545.0700426686863	-249.7136238464254	0.13812718119875314	0.10408478884087323	0.04846674926668905	0.09564347474550619	0.20923999218327696	0.0032716637021708225
3000	-1794.498615648332	-1546.389498262834	-248.10911738549802	0.059964199991761155	0.09114753263515948	0.07615193015442767	0.09289484802238018	0.13995448293598317	0.003909971222230978
4000	-1795.0226846412354	-1548.6745558464122	-246.34812879482323	0.08776981758879858	0.09060411658967102	0.1009024853317027	0.07221931632305323	0.1701381444760028	0.0013849975104307346
5000	-1793.0668868900582	-1545.718734504012	-247.34815238604617	0.10410305441772602	0.07098841541022612	0.06053229560597363	0.08075024564200661	0.13691674750695756	0.0034228756200246134
6000	-1794.439553344963	-1546.8739383856166	-247.56561495934648	0.07579635204149664	0.04648961032994396	0.08320125195393609	0.1091141037885914	0.12171451019978363	0.002066963982684626
7000	-1793.818043605824	-1548.3714960699235	-245.44654753590035	0.10620671571406573	0.09241496081705326	0.1809349013346821	0.16967131366012714	0.15685603337257703	0.0022012844914791087
8000	-1792.2468771237063	-1548.5946711354627	-243.65220598824365	0.08495272182567376	0.11176053567516724	0.08049658800463985	0.12742420562514872	0.14742450745917385	0.0024879299146935074
9000	-1792.9314443925778	-1549.030648213118	-243.9007961794597	0.09887186388897923	0.08603595754956651	0.11747655697946131	0.07747674382906539	0.13586167339048158	0.001776789982677036
10000	-1796.052827504954	-1549.8874916750817	-246.16533582987222	0.09929388471291914	0.19154144874361176	0.07171944443793916	0.12422203877831489	0.11275478924466635	0.003232269367054259
11000	-1794.9001687504913	-1548.6778443347703	-246.22232441572098	0.10547268644701867	0.0787124521109871	0.10365322224185368	0.06972154589474001	0.15010859026530102	0.0032688624197557844
12000	-1791.7190161828566	-1547.613884530567	-244.10513165228951	0.10319077085373203	0.1405171803228503	0.0939454361831535	0.14475953041587475	0.14565497579939352	0.0030459884724543663
13000	-1793.3387374387469	-1548.0738554034883	-245.26488203525847	0.09093654623798747	0.09003083359176348	0.08259343293652553	0.1175289521034249	0.17906245072128513	0.002925726621291295
14000	-1790.8060043003593	-1545.5649049001065	-245.24109940025284	0.09297055619302486	0.07882273653118192	0.08050131287457922	0.12372371681942115	0.15788805969429975	0.003493373828398392
15000	-1795.2515280946495	-1546.6289068141764	-248.62262128047325	0.1410120944501027	0.04560753352232036	0.0685476873452215	0.10848044049619586	0.1441349242902421	0.002834122328987398
16000	-1793.7170865267287	-1545.1925077126125	-248.52457881411627	0.12945745416703372	0.06895359404966832	0.053511094823836515	0.07674617652126747	0.15886717269760625	0.002978229277998121
17000	-1795.2209300645613	-1550.4864023858738	-244.73452767868758	0.09307846226978318	0.08167628493792972	0.14532175356423105	0.07178641824936732	0.10390620960334859	0.0017238968038323847
18000	-1795.354835178967	-1550.1284675360362	-245.2263676429308	0.08729541697966574	0.07756319512218339	0.09233402624712866	0.1186544266617715	0.10592073466333342	0.0016650174251052006
19000	-1794.3435776402778	-1545.0164380924828	-249.32713954779504	0.09370747157997425	0.05433605135022056	0.05552279499932925	0.11792118978335696	0.1828583323869908	0.0022532602858566057
20000	-1794.7294882790275	-1547.475477082135	-247.2540111968924	0.08448833659718476	0.07880798169645786	0.05103127119828128	0.08830397486329165	0.10352818233499125	0.002127348933378982
21000	-1792.8625791764136	-1549.0373601997433	-243.8252189766703	0.11323530624448888	0.09998541868143489	0.07835653600240357	0.0741709634061094	0.14301170718523412	0.0014197429317142028
22000	-1797.5154336848066	-1545.286722216516	-252.2287114682907	0.07976304119084444	0.07607196878844198	0.06147848350659105	0.06358419121037295	0.23476605798742822	0.0028760860339777134
23000	-1793.4708723835308	-1546.3223721589613	-247.1485002245694	0.17713528024847164	0.1304530438025963	0.08871148801792311	0.14844037500821464	0.1609331852917093	0.006997699544758938
24000	-1796.2340585287313	-1548.9397695022199	-247.29428902651156	0.13371877626083076	0.09737816356310093	0.1337545322310052	0.196994558746773	0.161260398959328	0.006676021545066002
25000	-1795.692880622622	-1551.3136259879625	-244.3792546346594	0.06617087099528786	0.12029298764310903	0.06979352430411284	0.09129712749320582	0.12905686264843935	8.104294813914775E-4
26000	-1795.3383516095182	-1550.9480258243525	-244.3903257851656	0.08348241939855154	0.09972703882545801	0.17818340034015628	0.08678426359612006	0.12441988507742431	0.0012735580025137196
