#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1711.2389116561849	-1562.2451322163809	-148.99377943980411	0.13487183983750492	0.09883012867453242	0.10596886781615183	0.0011848684198682783
1000	-1711.1952314934242	-1560.548615565447	-150.64661592797705	0.08113183455362084	0.10211230069554547	0.10073279180055772	0.0022120985157170862
2000	-1710.9172594091513	-1559.8930947330823	-151.0241646760689	0.07392266626972485	0.07939858706023821	0.14819857296776576	0.0012528419175536472
3000	-1711.2114119458201	-1560.3868433510374	-150.82456859478265	0.08760245222340096	0.08044604985989125	0.09813486547756536	0.002076736626325071
4000	-1714.3035713221113	-1561.6683596407274	-152.635211681384	0.11763499113968641	0.07978027677698056	0.10402436043136379	0.007871334522918638
5000	-1711.9007131701221	-1561.8236689306912	-150.07704423943093	0.08159339187109317	0.13578770120384492	0.1052016776395254	9.208621320361963E-4
6000	-1713.8220120501474	-1559.6842616231738	-154.13775042697364	0.12815588748466758	0.04147837680474302	0.11024601251918667	0.0015732232950050036
7000	-1716.5344864719032	-1558.252309941733	-158.2821765301701	0.07616168663710329	0.03225824058689855	0.1047746749938358	0.003093842539262213
8000	-1713.5600268017263	-1559.1852370668523	-154.37478973487393	0.11195970587890226	0.07518693303849526	0.18224846390817392	0.005193273513484411
9000	-1711.7483518260292	-1561.6547968821674	-150.09355494386188	0.16307230601316997	0.08357029845106845	0.13433324597623186	0.0010968684420155168
10000	-1709.5697932380735	-1559.699931040379	-149.8698621976946	0.09641632100925182	0.09585272550425177	0.14441773636298375	0.002222869723337873
11000	-1712.8680324455738	-1559.4702017532948	-153.39783069227911	0.06729568776156065	0.07369825753466612	0.1200424447733492	0.0023162946292204865
12000	-1709.7785513938784	-1559.3793178508517	-150.39923354302672	0.10680958816032797	0.09847052007842794	0.16611315523379508	0.002951449859210846
13000	-1710.4055085658144	-1560.0211985198666	-150.38431004594779	0.08759305932947836	0.10726123775336016	0.1727085418257588	0.0016684483892121182
14000	-1712.487165475339	-1558.739273233409	-153.74789224193003	0.13873261777875642	0.0452085314111851	0.11957485752724974	0.0028434584823298185
15000	-1712.5384965528724	-1561.9178379078521	-150.6206586450202	0.12784029798481195	0.06225150140168887	0.13340908997516787	5.687853881053911E-4
16000	-1711.4578861333011	-1560.9296017757958	-150.5282843575052	0.16570599841287198	0.10501383378736333	0.15831837598936607	0.0016704499065143933
17000	-1710.9061534897492	-1560.3893455928196	-150.51680789692946	0.10485799029941074	0.08939155802479468	0.11632834416933287	0.0019814571387186952
18000	-1710.8716849741031	-1561.2013256892442	-149.67035928485902	0.09325735685346186	0.08917318366742803	0.09428928681371912	0.0016202620990415342
19000	-1710.0711554277705	-1559.5649927496718	-150.5061626780988	0.1294520490231654	0.07360733238620608	0.14525193417238613	0.0021217547759975405
20000	-1714.360150599226	-1558.8650784248305	-155.49507217439563	0.0577245167909344	0.05172347653726228	0.1641097366247721	0.0019008619037750856
21000	-1710.318857225621	-1559.5021141846069	-150.81674304101412	0.07953021953914362	0.08510143371192655	0.13497983519411452	0.0026502355241515866
22000	-1710.0930666733343	-1560.1442872189025	-149.94877945443173	0.11474354122017391	0.09573646611858766	0.14485940453847737	0.0018809586339749887
23000	-1711.755831784961	-1557.8750512742618	-153.88078051069922	0.16326508092190783	0.06015144752025639	0.17243715757808126	0.0040983437582533845
24000	-1710.6123111991474	-1558.7044446410077	-151.90786655813952	0.13047196083568818	0.08296677660164736	0.1851119487495176	0.003531051462843897
25000	-1712.1743428587683	-1560.5114426065802	-151.6629002521881	0.06888041000118048	0.08884662359171326	0.13540927380003476	9.55150704240028E-4
26000	-1711.5679506398967	-1562.104024186416	-149.46392645348075	0.13795924084280897	0.13692592985649102	0.1173743718520108	0.0014725357354405761
27000	-1709.8823926386233	-1560.057343835147	-149.8250488034761	0.11428683090287772	0.0854957595216446	0.11860703946152874	0.0025537347387069712
28000	-1713.196049303981	-1561.282281099057	-151.9137682049241	0.13806613642253707	0.0695389799923169	0.09262754044241742	0.003067734784714222
29000	-1711.9525267906495	-1561.9116290738802	-150.04089771676925	0.08174209758222326	0.1348522377965383	0.09239727041450646	0.0011638719316376448
30000	-1710.7493175828263	-1561.7867656807393	-148.96255190208703	0.1133245177559501	0.12808055726284504	0.10316191353692329	0.0018330410655575471
31000	-1712.1426722274928	-1560.0585824889533	-152.08408973853952	0.09000921272056997	0.10450999420627329	0.19797221797383519	0.0016262131390152833
32000	-1710.9043046932468	-1558.8680820715542	-152.0362226216925	0.12506187324001708	0.0808882459313506	0.154682556476003	0.003777922448596823
33000	-1711.759797593535	-1560.2423938756463	-151.51740371788884	0.08452408969501331	0.05910803991521673	0.10625949795798435	0.0012195719138317462
