#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="CarpaChavin_B72793.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="CarpaChavin_B72795.Huanuco.CarpaChavin" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72907.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Pacar_B72909.Ancash.Pacar" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_B72900.Ancash.Chinchan" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chinchan_NK_173896" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-2058.499666982648	-1812.0146656129737	-246.485001369674	0.0976546790047597	0.09626048375054294	0.09262241081974083	0.06279614558658918	0.16253797999190622	0.004437236650300208
1000	-2059.0182394099643	-1812.7558874009624	-246.2623520090019	0.08994219350248979	0.0906682184343412	0.10838082607786037	0.07400293571439169	0.16378421009352512	0.0032182711933791746
2000	-2059.6455335346286	-1814.699392305556	-244.9461412290725	0.09524641470300081	0.09543910669569677	0.0865599169163022	0.11141288010864923	0.11918565154467174	0.004756746203290127
3000	-2061.6941277496057	-1810.8399407870875	-250.85418696251833	0.10844580667842996	0.10237270696503421	0.040692354460545005	0.06344969560623914	0.15876576978094115	0.004185097158783347
4000	-2058.279714637577	-1812.5183632360056	-245.7613514015713	0.061301285092134526	0.09453805703769819	0.09623051097090131	0.11013373852828223	0.1414734151826404	0.003524612378615451
5000	-2058.821196814435	-1815.5102590507536	-243.3109377636813	0.09330133025437555	0.14146517881519413	0.09996545575156802	0.09443702631686553	0.13069008789358474	0.0033297614451326093
6000	-2062.7261270795343	-1816.340740763745	-246.38538631578922	0.06001751983339592	0.07785405189595185	0.15394820449296515	0.0825903199201987	0.12196815287333124	0.0021475134102815216
7000	-2061.2157158855894	-1812.207580346369	-249.00813553922015	0.06048037332259942	0.13074834849740927	0.06378078326801292	0.16947899614833056	0.14378261437552617	0.0038002676615278095
8000	-2060.239983578878	-1812.1568244699567	-248.0831591089211	0.10732496137802441	0.08147877312718675	0.052071209946446	0.1090282463048752	0.14547537550995066	0.004238487785556336
9000	-2061.6732697995476	-1814.6979070514392	-246.97536274810858	0.07566705209938733	0.07982252155573889	0.13324565939137994	0.1232559315224237	0.11033255179195882	0.004605809809489378
10000	-2062.125219005668	-1815.179259910501	-246.9459590951669	0.06273306527747734	0.09445692003709072	0.07680760474928838	0.09260199988057463	0.10620584539489981	0.004092994134644333
11000	-2063.885480534258	-1813.2910918880034	-250.59438864625486	0.11644796213838593	0.10106871458690565	0.04402623039637309	0.09582272774852188	0.1659924320280037	0.002729082576266207
12000	-2063.724381711694	-1817.016889556194	-246.70749215550023	0.060514784723621186	0.1583797317014969	0.13868032662111218	0.10735624514064357	0.109680177463381	0.0030242192822182144
13000	-2058.8314161671306	-1811.1308057777499	-247.7006103893808	0.08693402933523364	0.11473248642424122	0.06563757490474356	0.15529772871353645	0.15929842248483841	0.0052831521524634205
14000	-2060.0304483080276	-1814.1088948601946	-245.92155344783296	0.09426163257463366	0.09340341145928706	0.11927299702100366	0.05152560234025042	0.1242641474647632	0.0028949406413848896
15000	-2063.912600382049	-1810.5630661314785	-253.34953425057037	0.07219684143236908	0.12553116790426247	0.03547323608473526	0.05452738114463945	0.15314946330925047	0.002816903858091931
16000	-2061.4320374263934	-1810.8782210715167	-250.5538163548767	0.06933171583026655	0.11915556487255859	0.07061410239777695	0.1872692621824529	0.17849020822809356	0.005628481528855159
17000	-2059.1209974760886	-1811.863780135911	-247.25721734017773	0.06804511070223077	0.12066908756341173	0.07601391669345249	0.086158625468503	0.15013300611890387	0.0035118644930491757
18000	-2059.567652222287	-1814.448609293024	-245.11904292926303	0.08074774285466715	0.08127500756928077	0.09335034299128481	0.09284954942788219	0.10879798900095068	0.0033235734459814673
19000	-2058.0356113608477	-1813.7034498381142	-244.3321615227333	0.09988445819053847	0.09998154029889905	0.09755972157417263	0.07309782084161646	0.15304816537216065	0.003043112508693249
20000	-2058.8142631029064	-1813.1622324446018	-245.65203065830462	0.10402175173798284	0.09504424013836964	0.08240391853141996	0.11593778036412627	0.16280239221869863	0.004711045336774184
21000	-2059.464485924007	-1810.804356583366	-248.66012934064094	0.09684786937509925	0.11103297311270405	0.07617263814586525	0.066929720445657	0.2106674241034775	0.004014002793654276
22000	-2058.3740006699177	-1812.6759180902955	-245.6980825796221	0.0710779684571409	0.09270910747084571	0.12128790285897721	0.07789261912036281	0.13808574476805502	0.004048195779472307
23000	-2061.068616963367	-1810.9216182422315	-250.14699872113536	0.09248055595530183	0.0922920761957793	0.04953015671099174	0.06213199675533672	0.15137163317492583	0.00487698245775313
24000	-2063.1503758723175	-1811.6655851439068	-251.48479072841087	0.042681301759797965	0.07936823270729562	0.08373120624109683	0.0665242493096074	0.17018428603116872	0.0032437318794123786
25000	-2062.100925587743	-1811.348416998855	-250.75250858888782	0.13023579836616217	0.09859191997540699	0.049210759099193174	0.18491461127246248	0.1939011628626408	0.004130283420399917
26000	-2057.966943065668	-1811.9027283081227	-246.06421475754556	0.12211554307064712	0.12532698952710797	0.10647393507501998	0.06906765821362772	0.16956225815188117	0.005339377786986458
27000	-2057.5644147942467	-1812.6787244691932	-244.88569032505362	0.0836815723626184	0.12160036843498075	0.10836985918420347	0.09574826564634949	0.15377274235622	0.0037367046242385276
28000	-2060.475361723787	-1813.1200084802758	-247.3553532435113	0.08916092014296435	0.10702868765296898	0.06146650435772711	0.07566867036058865	0.14848693789484915	0.005122414388488305
29000	-2059.935982663252	-1811.7750344847566	-248.16094817849543	0.10299034079408144	0.18962129474196227	0.07246197353786525	0.08017237196389589	0.15363848574942737	0.0046678503674136155
