#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72883.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Llama_B72884.Cajamarca.Llama" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72863.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Porculla_B72866.Piura.Porculla" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="bar" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-1792.7773201718705	-1545.2363163885643	-247.5410037833062	0.11429180641775151	0.12218471350595518	0.04777670086053923	0.1267496098734652	0.15975601539523782	0.0033040625249385995
1000	-1793.599132343471	-1546.6938200679965	-246.90531227547456	0.16384733747167682	0.07676665941625721	0.09446570432412844	0.1705140657570016	0.16739386814073615	0.0031295583978037814
2000	-1793.4770869269437	-1546.6081542722245	-246.86893265471923	0.07431692218365978	0.06114279903987889	0.13281112778215198	0.12580722869135424	0.17292201538311788	0.002303797056526626
3000	-1792.2834753841903	-1547.822890398018	-244.4605849861724	0.07807244162489485	0.13625961265799702	0.08264050599517937	0.08772849741270575	0.14384639394283627	0.002094476453754408
4000	-1791.159897693828	-1546.8513739032583	-244.3085237905697	0.10352918787922323	0.11536762762046687	0.07031503493422248	0.12364527992514092	0.14774821710570685	0.0027284082319162656
5000	-1795.2315443067787	-1549.6613375246259	-245.57020678215287	0.10402932270909372	0.1134849907774118	0.11667701164916144	0.09649684339786278	0.11619553199334719	0.003056986504223324
6000	-1793.6503412884986	-1546.859175975559	-246.79116531293948	0.11353778039061847	0.14651623864214477	0.08599368264356691	0.14665719208376976	0.1737324198473294	0.003474943346447495
7000	-1792.190157582348	-1548.818248195892	-243.37190938645608	0.1120805012676446	0.12708574135082282	0.10564266356365366	0.11758397408265701	0.12277868056102348	0.003508412842470805
8000	-1795.0547468535885	-1550.4165333088054	-244.63821354478318	0.0779212364829883	0.12265335756572353	0.11335220194711121	0.12180199605261503	0.13453183602084717	0.003838237606532717
9000	-1793.2729310228738	-1547.2412723861635	-246.03165863671026	0.08794828302722789	0.07767959932040211	0.0646935820887796	0.14520461452080524	0.1198659568645121	0.0032993856688804226
10000	-1790.7905061967335	-1545.858222438278	-244.93228375845558	0.120527307985995	0.10011684418176309	0.09753439048028766	0.1311022892597123	0.16919780056810343	0.005543735011767347
11000	-1799.3058499156512	-1548.1195759339735	-251.18627398167772	0.06781098166561286	0.08049607335998218	0.05032326711325619	0.10263157979737905	0.12041004311045243	0.0060754793630239485
12000	-1795.850551511827	-1549.3880824849118	-246.4624690269152	0.1475914852023373	0.06665031468155178	0.08211895555047044	0.07525482173040733	0.11301012694397569	0.003532874320190837
13000	-1794.90399583	-1547.1749843852913	-247.72901144470882	0.09216541245554125	0.1833848674346224	0.06719303066411486	0.06057556465736167	0.1451476011845835	0.002088513259680317
14000	-1792.1330953693362	-1545.7678378686667	-246.36525750066943	0.1175346660584388	0.06630279178937278	0.08040326341914653	0.11442511259541105	0.15016546489601273	0.005171040076465585
15000	-1800.2268105044207	-1550.2109979286656	-250.0158125757551	0.11570591022903613	0.10898481035146022	0.10477356731172209	0.09112696824396702	0.14592560328574247	0.0015344199817714762
16000	-1796.0116317022637	-1544.5537964300097	-251.45783527225396	0.1348138838505523	0.07170625862118792	0.051509221007840916	0.06566943498605309	0.1945906464872228	0.004147023151408604
17000	-1792.634871881188	-1547.1846352138566	-245.4502366673315	0.11654667393569143	0.0663357178922485	0.07753154614075816	0.09692468904513031	0.12961067073944346	0.0025959694447488238
18000	-1794.5769517048852	-1545.6629026640142	-248.91404904087113	0.054613349613943284	0.0754714034121557	0.06991448553619639	0.1250402123641933	0.13932417084235388	0.004278470438793118
19000	-1793.8661862318902	-1547.0920005777175	-246.77418565417275	0.14143134902381313	0.1466753016399758	0.05921030408371027	0.08965938430711132	0.14141772780071574	0.0040506091409676275
20000	-1791.8033585942512	-1545.638472905151	-246.1648856891003	0.10813837414529863	0.0867855715743462	0.10668690635048408	0.14631475941807445	0.20215468268464484	0.002993903395376248
21000	-1791.6327964817233	-1545.7394763733785	-245.8933201083449	0.10257836521721085	0.09944160234843363	0.08705986318716841	0.09099316634553216	0.1861847002013799	0.0029514911251939903
22000	-1792.5068241222536	-1548.8026196413155	-243.70420448093827	0.14001253713394268	0.07047686359738717	0.12375827211064554	0.10243950939473437	0.16091267881913016	0.0015236253754987994
23000	-1793.7901651044322	-1548.7876827361115	-245.00248236832078	0.1259071395088707	0.0868107274702544	0.16424049516321834	0.08272687437447966	0.13931560576409635	0.002925691573305868
24000	-1794.7075860363682	-1547.8725431177731	-246.83504291859504	0.06434648008644708	0.055217288804963	0.09038715389282513	0.1004301259866255	0.11404440869630483	0.00142542400517348
25000	-1795.1450163948666	-1547.8768636885138	-247.26815270635274	0.05932801677156527	0.05571572110522925	0.11191119120249322	0.11529764286553681	0.16693153854661316	0.001341278723573292
26000	-1796.3799949381005	-1547.8027977525162	-248.57719718558437	0.09513451353595251	0.0561907751663833	0.089175106484131	0.06389501067202022	0.1301245341353708	0.0019471481323667767
