#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.bfd" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.core.parameter.RealParameter">200.0</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="snapprior.bfd" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.bfd" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.bfd" spec="snap.Data">
#                    <taxonset id="ant" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="Carpish_B72761.Huanuco.Acomayo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Carpish_B72772.Huanuco.Mitotambo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67243.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Amotape_B67257.Tumbes.Amotape" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72789.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Chavinillo_B72792.Huanuco.Chavinillo" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72777.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Quichas_B72778.Lima.Quichas" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72873.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Canchaque_B72878.Piura.Canchaque" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72889.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="Huamatanga_B72892.Lima.Huamatanga" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72753.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="LaQuinua_B72756.Pasco.LaQuinua" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="curtata_cra.cur.B6032" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="curtata_cra.cur.B8175" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.bfd" id="treeLikelihood.bfd" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.bfd">
#            <siteModel id="MutationSiteModel.bfd" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" spec="snap.likelihood.SnapSubstitutionModel">
#                    <parameter estimate="false" id="u" lower="0.0" name="mutationRateU" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter id="v" lower="0.0" name="mutationRateV" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </substModel>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	theta0	theta1	theta2	TreeHeightLogger
0	-1537.1986172344002	-1384.0068046161502	-153.1918126182499	0.08035312405187546	0.060487730970765985	0.09895666557790181	0.0022837430596882764
1000	-1535.3930934559853	-1385.2089259663212	-150.18416748966405	0.10701300229802779	0.09878360262683696	0.11358726637762921	0.0020392647064112162
2000	-1536.5178281437813	-1383.7368456924178	-152.78098245136366	0.11035923599673367	0.06585741095236172	0.15712844294672798	0.0022176273404505673
3000	-1537.2987593940863	-1385.2614819689366	-152.03727742514982	0.0541319774579843	0.09318579105074834	0.09013744436121844	0.0010781319481719337
4000	-1536.0671915182947	-1385.1037883397141	-150.96340317858073	0.07960429922705071	0.07850061782197008	0.12663966485415418	0.0011628131269706928
5000	-1535.1151806530636	-1385.561015539342	-149.5541651137216	0.11622838372156631	0.14313081181315235	0.13436323188691068	0.0020510213145405864
6000	-1535.0470057589857	-1384.3669375716795	-150.68006818730632	0.11340988265270861	0.0991416789378942	0.15356769977435034	0.005253901865021758
7000	-1535.2177469838339	-1384.0455347076522	-151.17221227618168	0.13095245686576273	0.07817969996946965	0.1377211199669967	0.002830550725836072
8000	-1536.8763935734369	-1387.918572012604	-148.95782156083288	0.13282755622935163	0.1319723482414596	0.09094510845175316	8.028548117727376E-4
9000	-1535.0256789754524	-1384.7409427293846	-150.2847362460678	0.0864382512540143	0.10033519031654094	0.10874160238707689	0.002809045412703669
10000	-1534.8813140872276	-1384.3799853043788	-150.50132878284865	0.07974962001738725	0.08073293247727972	0.12724063528311805	0.001844163636664634
11000	-1538.1803828245284	-1385.4933163401024	-152.6870664844259	0.05045537007289886	0.16315138903110057	0.12132714300832395	0.0010064525681343262
12000	-1535.7913021604147	-1385.3433631333041	-150.4479390271105	0.09028866736154414	0.14811325630266467	0.16175856256174334	0.00176345283285565
13000	-1536.5657838430518	-1383.9364876624668	-152.62929618058496	0.12553913336820713	0.0630325693686107	0.1158975417687192	0.005955124517834114
14000	-1536.71643548742	-1385.3585267809406	-151.35790870647952	0.05653781862797303	0.08947746969039531	0.11194296466209518	8.683332436366301E-4
15000	-1536.5546317376136	-1385.1640837364369	-151.39054800117665	0.0796931644223055	0.061048544542023506	0.12565972966040134	9.369603966440689E-4
16000	-1535.258073407672	-1384.97693914538	-150.2811342622922	0.07601385152533345	0.12967530590667153	0.13976186515851616	0.0021694263639823897
17000	-1538.8350280961452	-1384.9519375656907	-153.88309053045444	0.09284035350183827	0.050979414464800185	0.10340596028068917	0.005936123438100488
18000	-1537.843139619226	-1385.939002689201	-151.90413693002483	0.1127472675324201	0.06917163952817396	0.08979827482671064	0.001533621254196523
19000	-1538.5242766194247	-1384.0394531997645	-154.4848234196602	0.05628508488537549	0.05581460874523617	0.11437281475759789	0.0023858308613419798
20000	-1536.071962377144	-1386.538309724078	-149.53365265306596	0.08387466009292921	0.14053894105353762	0.10142598251998869	9.691585048284752E-4
21000	-1536.403004755999	-1387.7829900869804	-148.62001466901873	0.09850095899277678	0.12998928998631978	0.10959895297507656	3.493254778996877E-4
22000	-1537.5090360761453	-1385.4755598023016	-152.03347627384372	0.10436579277663054	0.08596367704335876	0.08453093788041449	0.004003831209494218
23000	-1534.5403518949852	-1384.6672114086389	-149.8731404863462	0.09186698769179151	0.09688305115876919	0.10940337627668427	0.0029494280133482514
24000	-1537.561610374722	-1383.825025428715	-153.73658494600713	0.10951344228721589	0.060108216217245214	0.13257084193073296	0.002102806199547883
25000	-1534.9946982563065	-1385.0308487694856	-149.96384948682086	0.11178816891523118	0.14080780779636196	0.12779452349691486	0.003543497043735463
26000	-1535.6107356850177	-1385.0102972502757	-150.6004384347421	0.07626651033261345	0.10061813917585684	0.09581697049257949	0.002424370901217833
27000	-1535.850150186334	-1384.040419962368	-151.80973022396591	0.09696309578429475	0.059307810683209686	0.10087010109026633	0.0025118857300031484
28000	-1534.7650537143622	-1385.3005843125297	-149.4644694018326	0.09678010444371833	0.08653821385941833	0.1120036200743112	0.0015264280447068149
29000	-1538.2729135533903	-1383.0741071811744	-155.19880637221584	0.16392687992257268	0.04824201075939795	0.13627461098708546	0.003122269224647352
30000	-1535.738964686615	-1383.9126237830055	-151.82634090360932	0.08931565972219702	0.07013889412055822	0.14806427811792333	0.0038762664846882515
31000	-1534.6000680412847	-1384.7465326568451	-149.8535353844396	0.09533509638652114	0.10879989618181551	0.1162729367384065	0.0032368822457075064
32000	-1534.4177765220074	-1385.1173153499467	-149.30046117206078	0.09380617469129873	0.11700456263174103	0.11589875114810283	0.002200767927122495
33000	-1539.7732068758935	-1382.8209860344623	-156.95222084143114	0.1302421658776226	0.04338333617784497	0.12089136917083305	0.0035141518500688444
34000	-1539.3563926207023	-1383.329948612969	-156.0264440077332	0.12728384272433843	0.052564395911647604	0.11737955493655979	0.004885280670985547
35000	-1534.895398620638	-1384.5249189870929	-150.37047963354516	0.09306704787415804	0.0819207265578375	0.11225544330747037	0.0022237726133881803
36000	-1535.1678608931813	-1384.8237119146097	-150.34414897857172	0.08336145289681957	0.0915943022778139	0.0977158911979836	0.002681544669892633
37000	-1534.8197190891299	-1384.213640915846	-150.60607817328383	0.09899890606979686	0.0825120126953087	0.11475636130067808	0.0036525883046948783
38000	-1536.7991364809955	-1385.3881701643334	-151.41096631666207	0.06454251702104925	0.10074826283531213	0.13150476326186167	0.003107204239126773
39000	-1536.492084844484	-1383.9831106089011	-152.50897423558288	0.12897112630341565	0.07221235232819181	0.1215639523830449	0.0032434661433192445
40000	-1534.6363786465072	-1384.9990937896082	-149.637284856899	0.10619302433637	0.11061688111261492	0.11407668664674842	0.002741088892225752
41000	-1536.575340976372	-1386.7648487787587	-149.81049219761326	0.08825637247983607	0.12805028871284213	0.08600915290348565	0.0011576073979406667
42000	-1535.8299910353303	-1386.054401328909	-149.77558970642121	0.07649084592567248	0.112231910873309	0.12711677291277285	8.365339849303265E-4
43000	-1537.9005964934413	-1384.9728152669184	-152.92778122652294	0.13150803623166493	0.056004167435782404	0.10669025083610513	0.0017422567859233702
44000	-1536.3010982102373	-1385.4806619480023	-150.82043626223495	0.1287497163682325	0.128195551234046	0.10574602261561533	0.004434336648765203
45000	-1536.490763529792	-1384.8219686212387	-151.6687949085533	0.07735389070697912	0.10899179405982957	0.15592133753012694	0.0018284572524466887
46000	-1536.117516541344	-1383.7934339180642	-152.3240826232797	0.10792518937356399	0.07128419629429106	0.1188125329499269	0.0036812087662486583
47000	-1535.9453056117338	-1383.699338009153	-152.2459676025808	0.10101822138332865	0.07374471200840564	0.1424117043824642	0.002864260873770806
48000	-1539.0517214609304	-1387.4248953047386	-151.62682615619184	0.0869955176845839	0.1262410464692198	0.10233948129322448	0.006923247610524581
49000	-1536.5734135817283	-1386.2505904336294	-150.322823148099	0.06141324690357017	0.11196969057135969	0.12597950359617058	5.948502167754493E-4
50000	-1536.4552143684164	-1385.3398097125444	-151.11540465587194	0.0789140718261863	0.1460681063827977	0.15567250508943337	0.002958475309410904
51000	-1535.2008593846738	-1385.1048856490102	-150.0959737356637	0.1050057506556349	0.12000532183123558	0.1093954180825716	0.004120003653426924
52000	-1535.3814303494562	-1387.0824626044468	-148.29896774500926	0.10806847960341619	0.10696278525257197	0.13139682391513618	5.687857544331156E-4
53000	-1536.6209208207629	-1384.0068058243478	-152.6141149964151	0.08185230341257387	0.06144388024054483	0.09724654434297011	0.0029397573405877124
54000	-1543.9625665615479	-1386.8134271023525	-157.14913945919534	0.1752354198569952	0.13357995125766436	0.13357816489303637	0.017133254025093803
55000	-1534.6113176148149	-1384.3687133104422	-150.2426043043727	0.0932424281919028	0.07532926742331156	0.12025417001661384	0.002000078764517924
56000	-1536.9252091217786	-1384.8662152573772	-152.0589938644015	0.11525186436843148	0.10780124743673553	0.1356734680320755	0.006193892307433328
57000	-1536.3127502282446	-1384.7246215165685	-151.58812871167618	0.10656172171794254	0.11134130952155843	0.1567447269499967	0.0049194433167733375
58000	-1537.1594364088562	-1385.8786189867394	-151.28081742211674	0.12883488919161734	0.05895352183860631	0.15298509976113045	8.26867826683827E-4
59000	-1535.9009598862158	-1383.994826281544	-151.90613360467174	0.10216471279778491	0.06454622058931994	0.1046256795634395	0.003063088308503911
60000	-1536.3895557613832	-1386.2876922921391	-150.10186346924422	0.14086740081563906	0.07944343038467247	0.11296297039288239	0.0012321848330970387
61000	-1536.1703546617964	-1387.2855269244806	-148.88482773731596	0.12482381877524126	0.09777893996278637	0.15579212093358905	4.6012199619687604E-4
62000	-1535.8481012438167	-1384.9607730729988	-150.887328170818	0.07294339931562453	0.09660264908545972	0.10113126673558427	0.0018043614283538769
63000	-1537.9175135402625	-1386.8148188270059	-151.1026947132566	0.13574985152972555	0.07379785056780552	0.0878336140179814	0.0013641259103440346
64000	-1536.7265301983102	-1386.220047097123	-150.50648310118729	0.09710395334418843	0.07846385055275791	0.08143774813547996	0.0014761049993042405
65000	-1540.1893124589315	-1385.3839027661534	-154.8054096927781	0.03937679133338842	0.11855282027428893	0.15314793612426042	8.39214579275173E-4
66000	-1537.1820868423347	-1384.7179224953693	-152.46416434696548	0.06779619076179517	0.1037653876564856	0.12710953319839832	0.0020747186119523856
67000	-1535.392891324537	-1385.1594361952452	-150.23345512929183	0.09014923330204988	0.07596815110928856	0.10107568862103582	0.0015457198128655048
68000	-1534.7388535195269	-1384.8888612018081	-149.84999231771866	0.08273766649132815	0.10325685596855692	0.10607719725647985	0.002374834134878672
69000	-1535.2170767350667	-1386.2847510768365	-148.93232565823018	0.08537462909195948	0.10192115537226464	0.12101983591399393	7.977714210175471E-4
70000	-1535.7774423956616	-1385.948731481788	-149.8287109138736	0.10870100523307	0.165100963884892	0.12773068238579735	0.0017426168825171963
71000	-1538.1585412439088	-1384.7299009956034	-153.4286402483053	0.10600131591861417	0.08689058939805387	0.11102976626328605	0.00246912988829948
72000	-1534.8364363382093	-1383.66158379863	-151.17485253957918	0.10480252426376348	0.07708070918326243	0.1497698190807189	0.0033744635164509053
73000	-1535.8364100515796	-1383.4071446398195	-152.42926541175999	0.09877943322843734	0.06593958571186942	0.1557992912503241	0.0035516156402126383
74000	-1534.6400457012694	-1384.5838350867211	-150.05621061454835	0.08675325510577395	0.10581937746057704	0.13921211340115985	0.0023980552484384053
75000	-1538.8905585280277	-1385.273025408356	-153.61753311967152	0.08310466720462967	0.045942355809002314	0.11499251276580429	7.801065947563013E-4
76000	-1536.2017923272151	-1386.1086293231454	-150.09316300406965	0.07563361042072625	0.09923259464315635	0.15916884024979402	7.069851411463567E-4
