"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg","EC.AZ.CH",NA,"","Canton","Canton","",""
2,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca","EC.AZ.CU",NA,"","Canton","Canton","",""
3,68,"ECU","Ecuador",1,"Azuay",3,"El Pan","EC.AZ.EP",NA,"","Canton","Canton","",""
4,68,"ECU","Ecuador",1,"Azuay",4,"Girón","EC.AZ.GR",NA,"","Canton","Canton","","Giron"
5,68,"ECU","Ecuador",1,"Azuay",5,"Gualaceo","EC.AZ.GL",NA,"","Canton","Canton","",""
6,68,"ECU","Ecuador",1,"Azuay",6,"Nabón","EC.AZ.NA",NA,"","Canton","Canton","","Nabon"
7,68,"ECU","Ecuador",1,"Azuay",7,"Oña","EC.AZ.ON",NA,"","Canton","Canton","",""
8,68,"ECU","Ecuador",1,"Azuay",8,"Paute","EC.AZ.PA",NA,"","Canton","Canton","",""
9,68,"ECU","Ecuador",1,"Azuay",9,"Pucará","EC.AZ.PU",NA,"","Canton","Canton","","Pucara"
10,68,"ECU","Ecuador",1,"Azuay",10,"San Fernando","EC.AZ.SF",NA,"","Canton","Canton","",""
11,68,"ECU","Ecuador",1,"Azuay",11,"Santa Isabel","EC.AZ.SI",NA,"","Canton","Canton","",""
12,68,"ECU","Ecuador",1,"Azuay",12,"Sevilla de Oro","EC.AZ.SO",NA,"","Canton","Canton","",""
13,68,"ECU","Ecuador",1,"Azuay",13,"Sigsig","EC.AZ.SG",NA,"","Canton","Canton","","Sissig"
14,68,"ECU","Ecuador",2,"Bolivar",14,"Caluma","EC.BO.CA",NA,"","Canton","Canton","",""
15,68,"ECU","Ecuador",2,"Bolivar",15,"Chillanes","EC.BO.CN",NA,"","Canton","Canton","",""
16,68,"ECU","Ecuador",2,"Bolivar",16,"Chimbo","EC.BO.CB",NA,"","Canton","Canton","",""
17,68,"ECU","Ecuador",2,"Bolivar",17,"Echeandía","EC.BO.EC",NA,"","Canton","Canton","","Echeandia"
18,68,"ECU","Ecuador",2,"Bolivar",18,"Guaranda","EC.BO.GU",NA,"","Canton","Canton","",""
19,68,"ECU","Ecuador",2,"Bolivar",19,"Las Naves","EC.BO.LN",NA,"","Canton","Canton","",""
20,68,"ECU","Ecuador",2,"Bolivar",20,"San Miguel","EC.BO.SM",NA,"","Canton","Canton","",""
21,68,"ECU","Ecuador",3,"Cañar",21,"Azogues","EC.CN.AZ",NA,"","Canton","Canton","",""
22,68,"ECU","Ecuador",3,"Cañar",22,"Biblián","EC.CN.BI",NA,"","Canton","Canton","","Biblian"
23,68,"ECU","Ecuador",3,"Cañar",23,"Cañar","EC.CN.CA",NA,"","Canton","Canton","",""
24,68,"ECU","Ecuador",3,"Cañar",24,"Déleg","EC.CN.DE",NA,"","Canton","Canton","","Deleg"
25,68,"ECU","Ecuador",3,"Cañar",25,"El Tambo","EC.CN.ET",NA,"","Canton","Canton","",""
26,68,"ECU","Ecuador",3,"Cañar",26,"La Troncal","EC.CN.LT",NA,"","Canton","Canton","",""
27,68,"ECU","Ecuador",3,"Cañar",27,"No Delimitado","",NA,"","Canton","Canton","",""
28,68,"ECU","Ecuador",4,"Carchi",28,"Bolívar","EC.CR.BO",NA,"","Canton","Canton","","Bolivar"
29,68,"ECU","Ecuador",4,"Carchi",29,"Espejo","EC.CR.ES",NA,"","Canton","Canton","",""
30,68,"ECU","Ecuador",4,"Carchi",30,"Mira","EC.CR.MI",NA,"","Canton","Canton","",""
31,68,"ECU","Ecuador",4,"Carchi",31,"Montúfar","EC.CR.MO",NA,"","Canton","Canton","","Montufar"
32,68,"ECU","Ecuador",4,"Carchi",32,"Tulcán","EC.CR.TU",NA,"","Canton","Canton","","Tulcan"
33,68,"ECU","Ecuador",5,"Chimborazo",33,"Alausí","EC.CB.AL",NA,"","Canton","Canton","","Alausi"
34,68,"ECU","Ecuador",5,"Chimborazo",34,"Chambo","EC.CB.CB",NA,"","Canton","Canton","",""
35,68,"ECU","Ecuador",5,"Chimborazo",35,"Chunchi","EC.CB.CN",NA,"","Canton","Canton","",""
36,68,"ECU","Ecuador",5,"Chimborazo",36,"Colta","EC.CB.CT",NA,"","Canton","Canton","",""
