"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",1,"Chordeleg",NA,"","Parroquia","Parish","",""
2,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",2,"La Union",NA,"","Parroquia","Parish","",""
3,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",3,"Luis Galarza Orellana",NA,"","Parroquia","Parish","",""
4,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",4,"Principal",NA,"","Parroquia","Parish","",""
5,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",5,"San Martin de Puzhio",NA,"","Parroquia","Parish","",""
6,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",6,"Baños",NA,"","Parroquia","Parish","",""
7,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",7,"Chaucha",NA,"","Parroquia","Parish","",""
8,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",8,"Checa",NA,"","Parroquia","Parish","",""
9,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",9,"Chiquintad",NA,"","Parroquia","Parish","",""
10,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",10,"Cuenca",NA,"","Parroquia","Parish","",""
11,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",11,"Cumbe",NA,"","Parroquia","Parish","",""
12,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",12,"Llacao",NA,"","Parroquia","Parish","",""
13,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",13,"Molleturo",NA,"","Parroquia","Parish","",""
14,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",14,"Nulti",NA,"","Parroquia","Parish","",""
15,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",15,"Octavio Cordero",NA,"","Parroquia","Parish","",""
16,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",16,"Paccha",NA,"","Parroquia","Parish","",""
17,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",17,"Quingeo",NA,"","Parroquia","Parish","",""
18,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",18,"Ricaurte",NA,"","Parroquia","Parish","",""
19,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",19,"San Joaquin",NA,"","Parroquia","Parish","",""
20,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",20,"Santa Ana",NA,"","Parroquia","Parish","",""
21,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",21,"Sayausi",NA,"","Parroquia","Parish","",""
22,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",22,"Sidcay",NA,"","Parroquia","Parish","",""
23,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",23,"Sinicay",NA,"","Parroquia","Parish","",""
24,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",24,"Tarqui",NA,"","Parroquia","Parish","",""
25,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",25,"Turi",NA,"","Parroquia","Parish","",""
26,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",26,"Valle",NA,"","Parroquia","Parish","",""
27,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",27,"Victoria del Portete",NA,"","Parroquia","Parish","",""
28,68,"ECU","Ecuador",1,"Azuay",3,"El Pan",28,"El Pan",NA,"","Parroquia","Parish","",""
29,68,"ECU","Ecuador",1,"Azuay",3,"El Pan",29,"San Vicente",NA,"","Parroquia","Parish","",""
30,68,"ECU","Ecuador",1,"Azuay",4,"Girón",30,"Asuncion",NA,"","Parroquia","Parish","",""
31,68,"ECU","Ecuador",1,"Azuay",4,"Girón",31,"Giron",NA,"","Parroquia","Parish","",""
32,68,"ECU","Ecuador",1,"Azuay",4,"Girón",32,"San Gerardo",NA,"","Parroquia","Parish","",""
