ID	sample.code	institution	catalog.number	pop.code	pop	transect	day	month	year	country	department	locality	lat	long	verbatim.elevation	bioclim.elevation	age	sex	mass	PC1.plumage
cra.cur.B6032	CA183_curtata	LSUMZ	B-6032	0	curtata	NA	NA	NA	1984	Ecuador	Morona-Santiago Province	West slope of Cordillera del Cutucu on trail from Lagrono to Yaupi 	-2.74	-78.03	NA	1100	NA	NA	NA	NA
cra.cur.B43876	CA178_curtata	LSUMZ	B-43876	0	curtata	NA	29	June	2002	Peru	San Martin	ca 24 km ENE Florida, 5 41' 09 S, 77 45' 16 W, ca 1700m	-5.686	-77.754	1700	1707	a	f	18.9	NA
cra.cur.B8175	CA181_curtata	LSUMZ	B-8175	0	curtata	NA	1	July	1985	Peru	Pasco	Cushi, ca 1800 m	-9.85	-75.62	1800	1824	a	f	16.5	NA
B67177.Tumbes.Amotape	CA5_Amotape	LSUMZ	B-67177	1	Amotape	0	16	July	2009	Peru	Tumbes	El Plantano	-4.12949	-80.61974	952	974	a	m	12.2	-4.121928561
B67179.Tumbes.Amotape	CA6_Amotape	LSUMZ	B-67179	1	Amotape	0	16	July	2009	Peru	Tumbes	El Plantano	-4.12949	-80.61974	952	974	a	f	14.2	-1.281546257
B67136.Tumbes.Amotape	CA3_Amotape	LSUMZ	B-67136	1	Amotape	0	15	July	2009	Peru	Tumbes	Parque nacional cerros de Amotape, El Encanto	-4.1433	-80.58614	1138	1132	a	m	11.6	NA
B67166.Tumbes.Amotape	CA4_Amotape	LSUMZ	B-67166	1	Amotape	0	15	July	2009	Peru	Tumbes	Parque nacional cerros de Amotape, El Encanto	-4.1433	-80.58614	1138	1132	a	m	11.5	NA
B67126.Tumbes.Amotape	CA1_Amotape	LSUMZ	B-67126	1	Amotape	0	14	July	2009	Peru	Tumbes	Parque nacional cerros de Amotape, cerro Los Limos	-4.14695	-80.63084	1117	1123	a	f	12.2	NA
B67127.Tumbes.Amotape	CA2a_Amotape	LSUMZ	B-67127	1	Amotape	0	14	July	2009	Peru	Tumbes	Parque nacional cerros de Amotape, cerro Los Limos	-4.14695	-80.63084	1117	1123	a	m	12.6	-0.399059747
B67201.Tumbes.Amotape	CA7_Amotape	LSUMZ	B-67201	1	Amotape	0	16	July	2009	Peru	Tumbes	Parque nacional cerros de Amotape, cerro Los Limos	-4.14695	-80.630835	1117	1123	a	f	13.7	NA
B67257.Tumbes.Amotape	CA9a_Amotape	LSUMZ	B-67257	1	Amotape	0	20	July	2009	Peru	Tumbes	Parque nacional, Cerros de Amotape, Quebrada El Barco	-4.14722	-80.629859	1119	1123	a	m	13	NA
B67243.Tumbes.Amotape	CA8_Amotape	LSUMZ	B-67243	1	Amotape	0	19	July	2009	Peru	Tumbes	Parque nacional, Cerros de Amotape, Quebrada El Barco	-4.1647	-80.630516	1185	1181	a	m	11.5	-0.174925282
B67273.Tumbes.Amotape	CA10_Amotape	LSUMZ	B-67273	1	Amotape	0	20	July	2009	Peru	Tumbes	Parque nacional, Cerros de Amotape,Quebraba El Barco	-4.1647	-80.630516	1185	1181	a	f	12.2	-0.752996797
LSU78313.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	29	Nov	1974	Peru	Piura	33 km SW Huancabamba, ca. 9,000'	-5.35858	-79.545555	2743	3247	a	f	17	NA
LSU97655.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	3	Aug	1980	Peru	Piura	Cruz Blanca, ca 33 road km SW Huancabamba, 3050m	-5.35858	-79.545555	3050	3247	a	m	14.5	NA
LSU97656.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	4	Aug	1980	Peru	Piura	Cruz Blanca, 33 road km SW Huancabamba	-5.35858	-79.545555	3050	3247	a	f	19	NA
B72877.Piura.Canchaque	CA135_Canchaque	LSUMZ	B-72877	2	Canchaque	179	1	August	2010	Peru	Piura	4.5 km E Canchaque	-5.36944	-79.56587	2710	2865	a	m	19	-1.263737153
B72878.Piura.Canchaque	CA136_Canchaque	LSUMZ	B-72878	2	Canchaque	179	1	August	2010	Peru	Piura	4.2 km E Canchaque	-5.3715	-79.56834	2477	2449	a	m	15.4	-1.697188082
B72876.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	1	August	2010	Peru	Piura	~5 km E Canchaque	-5.3747	-79.5697	2500	2449	a	m	17.4	NA
B72875.Piura.Canchaque	CA133_Canchaque	LSUMZ	B-72875	2	Canchaque	179	1	August	2010	Peru	Piura	4.7 km E Canchaque	-5.37652	-79.56374	2440	2337	a	m	16.7	-2.745454102
B72873.Piura.Canchaque	CA131_Canchaque	LSUMZ	B-72873	2	Canchaque	179	1	August	2010	Peru	Piura	3.3 km E Canchaque	-5.3788	-79.57652	2140	2160	a	f	16.3	-4.218377425
B72874.Piura.Canchaque	CA132_Canchaque	LSUMZ	B-72874	2	Canchaque	179	1	August	2010	Peru	Piura	3.7 km E Canchaque	-5.381	-79.573	2190	2289	a	f	16.8	-2.243845693
LSU78308.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	5	Dec	1974	Peru	Piura	15 km above (E) Chanchaque on rd. to Huancabamba ca. 6,000'	-5.391	-79.586	1829	1920	a	f	15	NA
LSU78309.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	5	Dec	1974	Peru	Piura	15 km above (E) Chanchaque on rd. to Huancabamba ca. 6,000'	-5.391	-79.586	1829	1920	a	f	15	NA
LSU78310.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	5	Dec	1974	Peru	Piura	15 km above (E) Chanchaque on rd. to Huancabamba ca. 6,000'	-5.391	-79.586	1829	1920	a	m	15	NA
LSU78311.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	5	Dec	1974	Peru	Piura	15 km above (E) Chanchaque on rd. to Huancabamba ca. 6,000'	-5.391	-79.586	1829	1920	a	f	14	NA
LSU78312.Piura.Canchaque	NA	LSUMZ		2	Canchaque	179	5	Dec	1974	Peru	Piura	15 km by rd. E Canchaque on Huancabamba rd. ca. 5,700ft	-5.391	-79.586	1737	1920	a	m	17	NA
B31683.Piura.Porculla	CA187_Porculla	LSUMZ	B-31683	3	Porculla	222	16	June	1998	Peru	Cajamarca	W of El Espino	-5.68	-79.31	2400	2174	a	f	17	NA
B31685.Piura.Porculla	CA188_Porculla	LSUMZ	B-31685	3	Porculla	222	15	June	1998	Peru	Cajamarca	W of El Espino	-5.68	-79.31	2400	2174	j	f	17.4	NA
LSU169821.Cajamarca.Espino	NA	LSUMZ		3	Porculla	222	16	Jun	1998	Peru	Cajamarca	W of El Espino, 5d 41.0' S, 79d 18.8' W	-5.68	-79.31	2400	2174	a	f	17	NA
B72871.Piura.Porculla	CA129_Porculla	LSUMZ	B-72871	3	Porculla	222	30	July	2010	Peru	Piura	2.34 km NE Landirca	-5.80759	-79.52694	2305	2303	a	f	17.3	-5.000600604
B72872.Piura.Porculla	CA130_Porculla	LSUMZ	B-72872	3	Porculla	222	30	July	2010	Peru	Piura	2.34 km NE Landirca	-5.80759	-79.52694	2305	2303	a	m	17.2	-1.908384365
B72870.Piura.Porculla	CA128_Porculla	LSUMZ	B-72870	3	Porculla	222	30	July	2010	Peru	Piura	2.3 km NE Landirca	-5.80981	-79.52463	2325	2439	a	m	16.3	-5.574224217
B72869.Piura.Porculla	CA127a_Porculla	LSUMZ	B-72869	3	Porculla	222	30	July	2010	Peru	Piura	2.67 km E Landirca	-5.81692	-79.51579	2425	2352	a	f	17	-7.009848069
B72868.Piura.Porculla	CA126_Porculla	LSUMZ	B-72868	3	Porculla	222	30	July	2010	Peru	Piura	2.45 km W Landirca	-5.82278	-79.516419	2460	2352	a	f	16.7	NA
B72862.Piura.Porculla	CA120_Porculla	LSUMZ	B-72862	3	Porculla	222	29	July	2010	Peru	Piura	1.74 km SE Landirca	-5.83878	-79.52978	1735	1845	a	f	17.8	-3.628528373
NK_169285	CA1nm_Porculla	MSB	169285	3	Porculla	222	22	December	2009	Peru	Piura	Abra Porculla	-5.839914	-79.505496	2168	2156	a	m	16.91	NA
B72866.Piura.Porculla	CA124_Porculla	LSUMZ	B-72866	3	Porculla	222	30	July	2010	Peru	Piura	2.98 km SE Landirca	-5.84243	-79.51779	2000	2076	a	m	16.6	-3.909747077
B72867.Piura.Porculla	NA	LSUMZ		3	Porculla	222	30	July	2010	Peru	Piura	2.98 km SE Landirca	-5.84243	-79.51779	2000	2076	a	f	16.1	NA
B72863.Piura.Porculla	CA121_Porculla	LSUMZ	B-72863	3	Porculla	222	30	July	2010	Peru	Piura	2.76 km S Landirca	-5.84919	-79.53188	1955	1999	a	m	17.1	-4.519154365
B72864.Piura.Porculla	CA122_Porculla	LSUMZ	B-72864	3	Porculla	222	30	July	2010	Peru	Piura	3 km S Landirca	-5.85083	-79.53123	2040	2060	a	m	16	-5.088381864
B72865.Piura.Porculla	CA123_Porculla	LSUMZ	B-72865	3	Porculla	222	30	July	2010	Peru	Piura	3.22 km S Landirca	-5.85296	-79.53005	2010	2060	a	m	17.1	-5.35755959
LSU84687.Cajamarca.Cutervo	NA	LSUMZ		4	Llama	313	4	Sep	1977	Peru	Cajamarca	2 km SE Cutervo, elev. 8350'	-6.393	-78.805	2545	2680	a	m	24	NA
LSU84688.Cajamarca.Cutervo	NA	LSUMZ		4	Llama	313	5	Sep	1977	Peru	Cajamarca	2 km SE Cutervo, elev. 8350'	-6.393	-78.805	2545	2680	a	m	22	NA
B72884.Cajamarca.Llama	CA142_Llama	LSUMZ	B-72884	4	Llama	313	3	August	2010	Peru	Cajamarca	6.87 km E Llama	-6.50273	-79.05919	2755	2751	a	f	20.3	-2.025721948
B72883.Cajamarca.Llama	CA141_Llama	LSUMZ	B-72883	4	Llama	313	3	August	2010	Peru	Cajamarca	7.3 km E Llama	-6.50314	-79.0552	2783	2759	a	f	20.1	-2.918586612
B72885.Cajamarca.Llama	CA143_Llama	LSUMZ	B-72885	4	Llama	313	3	August	2010	Peru	Cajamarca	6.57 km E Llama	-6.50385	-79.0618	2738	2751	a	m	20	-1.823578545
B72879.Cajamarca.Llama	CA137b_Llama	LSUMZ	B-72879	4	Llama	313	3	August	2010	Peru	Cajamarca	2.24 km SW Llama	-6.52761	-79.13376	2235	2109	a	f	18.2	-2.940294886
B72880.Cajamarca.Llama	CA138_Llama	LSUMZ	B-72880	4	Llama	313	3	August	2010	Peru	Cajamarca	2.24 km SW Llama	-6.52761	-79.13376	2235	2109	j	m	17	NA
B72881.Cajamarca.Llama	CA139_Llama	LSUMZ	B-72881	4	Llama	313	3	August	2010	Peru	Cajamarca	2.24 km SW Llama	-6.52761	-79.13376	2235	2109	a	m	18	-3.48086465
B72886.Cajamarca.Llama	NA	LSUMZ		4	Llama	313	3	August	2010	Peru	Cajamarca	2.31 km SE Llama	-6.52884	-79.10733	2494	2468	a	f	19.8	NA
B72887.Cajamarca.Llama	CA145a_Llama	LSUMZ	B-72887	4	Llama	313	3	August	2010	Peru	Cajamarca	3.16 km SW Llama	-6.53832	-79.13235	2320	2354	a	m	19.9	-2.416370282
B72882.Cajamarca.Llama	CA140_Llama	LSUMZ	B-72882	4	Llama	313	3	August	2010	Peru	Cajamarca	3.22 km SW Llama	-6.53903	-79.13206	2330	2354	a	m	17.1	-0.226373846
NK_171957	CA7nm_Contumaza	MSB	171957	5	Contumaza	413	12	July	2010	Peru	Cajamarca	5.4 km SE Contumaza	-7.396624	-78.780607	2625	2642	j	m	25.37	NA
NK_172033	CA8nm_Contumaza	MSB	172033	5	Contumaza	413	16	July	2010	Peru	Cajamarca	5.4 km SE Contumaza	-7.396624	-78.780607	2550	2642	a	f	22.77	NA
NK_172063	CA9nm_Contumaza	MSB	172063	5	Contumaza	413	18	July	2010	Peru	Cajamarca	5.4 km SE Contumaza	-7.396624	-78.780607	2500	2642	a	m	NA	NA
B72841.Cajamarca.Contumaza	CA99a_Contumaza	LSUMZ	B-72841	5	Contumaza	413	22	July	2010	Peru	Cajamarca	4.6 km SSE Contumaza	-7.40422	-78.79109	2647	2605	a	m	27	1.008435692
B72838.Cajamarca.Contumaza	CA96_Contumaza	LSUMZ	B-72838	5	Contumaza	413	22	July	2010	Peru	Cajamarca	5 km SSE Contumaza	-7.40554	-78.78716	2616	2605	j	f	26.2	NA
B72840.Cajamarca.Contumaza	CA98_Contumaza	LSUMZ	B-72840	5	Contumaza	413	22	July	2010	Peru	Cajamarca	5 km SSE Contumaza	-7.40554	-78.78716	2616	2605	a	f	23.5	-1.24488016
B72839.Cajamarca.Contumaza	CA97_Contumaza	LSUMZ	B-72839	5	Contumaza	413	22	July	2010	Peru	Cajamarca	4.9 km SSE Contumaza	-7.40664	-78.79015	2637	2605	a	f	25.4	NA
B72837.Cajamarca.Contumaza	CA95_Contumaza	LSUMZ	B-72837	5	Contumaza	413	22	July	2010	Peru	Cajamarca	5.3 km SSE Contumaza	-7.40743	-78.78323	2500	2531	a	m	25.7	1.996006076
LSU80513.Cajamarca.Celendin	NA	LSUMZ		6	Celendin	410	5	Aug	1975	Peru	Cajamarca	Hda. Lim_n on rd. from Celedin-Balsas, ca 6600'	-6.833	-78.083	2012	2778	a	f	25	NA
B72849.Cajamarca.Celendin	CA107_Celendin	LSUMZ	B-72849	6	Celendin	410	25	July	2010	Peru	Cajamarca	3.7 km E Celendin	-6.8426	-78.11246	2895	2834	j	m	25.4	-2.972864075
B72850.Cajamarca.Celendin	CA108_Celendin	LSUMZ	B-72850	6	Celendin	410	25	July	2010	Peru	Cajamarca	3.71 km E Celendin	-6.85241	-78.11451	2857	2759	a	m	25.4	-3.375067518
B72851.Cajamarca.Celendin	CA109a_Celendin	LSUMZ	B-72851	6	Celendin	410	25	July	2010	Peru	Cajamarca	3.71 km E Celendin	-6.85241	-78.11451	2857	2759	a	m	25.1	-3.185316439
B72846.Cajamarca.Celendin	CA104a_Celendin	LSUMZ	B-72846	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.33 km SE Celendin	-6.89097	-78.1166	3050	3171	a	f	23.7	0.172864035
B72847.Cajamarca.Celendin	CA105_Celendin	LSUMZ	B-72847	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.33 km SE Celendin	-6.89097	-78.1166	3050	3171	a	m	23.9	-3.589365161
B72848.Cajamarca.Celendin	CA106a_Celendin	LSUMZ	B-72848	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.33 km SE Celendin	-6.89097	-78.1166	3050	3171	a	f	23.6	-2.049493828
B72843.Cajamarca.Celendin	CA101_Celendin	LSUMZ	B-72843	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.15 km SE Celendin	-6.89151	-78.11893	3020	2972	a	m	24.4	-3.72572449
B72842.Cajamarca.Celendin	CA100_Celendin	LSUMZ	B-72842	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.15 km SE Celendin	-6.89156	-78.1189	3017	2972	a	f	24.3	-1.737632484
B72844.Cajamarca.Celendin	CA102_Celendin	LSUMZ	B-72844	6	Celendin	410	25	July	2010	Peru	Cajamarca	4.38 km SE Celendin	-6.89291	-78.11806	3027	3009	a	f	22.9	-2.746189654
