ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
LSU74003.Huanuco.Acomayo	Acomayo	a	f	25	10.58	3.35	4.45	74.27	80.99	44.99	11.14	24.07	17.92
B72765.Huanuco.Acomayo	Acomayo	a	f	28.7	11.32	3.14	4.42	72.55	79.83	45.76	12.69	23.01	17.32
LSU74004.Huanuco.Acomayo	Acomayo	a	f	30	11.7	3.51	4.83	77.11	85.71	46.45	13.28	25.63	19.06
LSU73998.Huanuco.Acomayo	Acomayo	a	m	26	10.76	3.41	4.28	79.67	87.55	46.7	13.58	24.54	17.64
LSU74002.Huanuco.Acomayo	Acomayo	a	f	30	10.24	3.36	4.67	81.09	88.79	47	12.93	22.08	17.89
B72761.Huanuco.Acomayo	Acomayo	a	f	26.6	11.27	3.4	4.26	74.7	81.49	47.79	12.76	22.93	16.72
LSU73997.Huanuco.Acomayo	Acomayo	a	f	26	10.07	3.14	4.22	75.37	79.35	48.03	10.86	23.32	18.5
B72762.Huanuco.Acomayo	Acomayo	a	m	30.9	11.27	3.4	4.36	77.35	86.68	molt	11.25	damaged	damaged
B72763.Huanuco.Acomayo	Acomayo	a	f	28	11.47	3.14	4.52	76.43	76.75	molt	12.23	22.94	17.29
B72764.Huanuco.Acomayo	Acomayo	a	m	29.9	11.5	3.34	4.33	78.64	82.23	molt	12.35	22.7	18.54
LSU74000.Huanuco.Acomayo	Acomayo	a	m	32	10.46	3.13	4.79	77.36	85.38	molt	12.15	21.98	18.83
LSU74005.Huanuco.Acomayo	Acomayo	a	f	NA	10.83	3.68	4.72	78.74	85.89	molt	damaged	23.85	16.96
LSU74006.Huanuco.Acomayo	Acomayo	j	f	26	NA	NA	NA	NA	NA	NA	NA	NA	NA
B67243.Tumbes.Amotape	Amotape	a	m	11.5	9.24	2.72	3.5	60.12	63.7	30.24	8.56	18.04	15.56
B67177.Tumbes.Amotape	Amotape	a	m	12.2	9.37	2.77	3.43	58.58	69.13	31.15	8.64	18.29	14.1
B67179.Tumbes.Amotape	Amotape	a	f	14.2	8.84	2.66	3.57	57.95	61.52	31.49	9.47	17.31	14.54
B67273.Tumbes.Amotape	Amotape	a	f	12.2	9.21	2.75	3.33	57.58	66.55	31.72	9.61	17.4	14.14
B67127.Tumbes.Amotape	Amotape	a	m	12.6	9.22	2.66	3.63	59.09	67.71	35.13	9.49	17.99	13.88
B67126.Tumbes.Amotape	Amotape	u	f	12.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
