scenario.name	trait.set	bestK_BIC	BIC.G1	BIC.G2	deltaBIC
FULL_v1	morphology	2	-4397.53176873079	-4374.3289977042	23.2027710265902
SBE1_v1	morphology	2	-3903.69699172144	-3863.75758249639	39.9394092250554
SBE2_v1	morphology	2	-3128.67442204893	-3097.5324092713	31.1420127776287
SBE3_v1	morphology	2	-2468.13234600879	-2442.66670255459	25.4656434541935
FULL_v2	morphology	2	-4397.53176873079	-4374.3289977042	23.2027710265902
SBE1_v2	morphology	2	-3919.32461599529	-3905.82381376654	13.5008022287457
SBE2_v2	morphology	2	-3039.22298254676	-3022.12875203536	17.0942305114036
SBE3_v2	morphology	2	-1953.72512467268	-1944.18405430079	9.54107037189374
FULL_v3	morphology	2	-4397.53176873079	-4374.3289977042	23.2027710265902
SBE1_v3	morphology	1	-4023.11529021746	-4028.88235766829	-5.76706745082947
SBE2_v3	morphology	1	-2749.41990598902	-2770.51167908619	-21.0917730971714
SBE3_v3	morphology	2	-2144.25041344018	-2142.46873016705	1.7816832731246
FULL_v1	plumage	2	-4439.11626124742	-4382.72440371947	56.3918575279449
SBE1_v1	plumage	2	-3814.89058968261	-3753.62549565211	61.265094030497
SBE2_v1	plumage	2	-2970.48160575076	-2889.49478577055	80.9868199802081
SBE3_v1	plumage	2	-2155.02862302945	-2071.21683840799	83.8117846214636
FULL_v2	plumage	2	-4439.11626124742	-4382.72440371947	56.3918575279449
SBE1_v2	plumage	2	-3903.44446280474	-3827.76236802971	75.6820947750289
SBE2_v2	plumage	2	-2858.91247878148	-2764.36699530432	94.5454834771617
SBE3_v2	plumage	2	-2149.41933579369	-2062.03674972239	87.3825860713023
FULL_v3	plumage	2	-4439.11626124742	-4382.72440371947	56.3918575279449
SBE1_v3	plumage	2	-4024.65830019536	-3957.48007933618	67.1782208591881
SBE2_v3	plumage	2	-3081.98347232161	-3001.27497298748	80.7084993341318
SBE3_v3	plumage	2	-2326.25322419074	-2237.15942154878	89.0938026419585
FULL_v1	combined	1	-8358.58198713766	-8377.95801070552	-19.3760235678619
SBE1_v1	combined	2	-7257.11878529181	-7232.0485664399	25.0702188519072
SBE2_v1	combined	2	-5632.24842779284	-5591.03529241319	41.213135379644
SBE3_v1	combined	2	-4156.25206371031	-4090.77912887629	65.4729348340202
FULL_v2	combined	1	-8358.58198713766	-8377.95801070552	-19.3760235678619
SBE1_v2	combined	1	-7345.19649153826	-7366.38141738443	-21.184925846168
SBE2_v2	combined	2	-5389.87284488556	-5388.67786662221	1.19497826335191
SBE3_v2	combined	2	-4076.35739652921	-3978.5744329274	97.78296360181
FULL_v3	combined	1	-8358.58198713766	-8377.95801070552	-19.3760235678619
SBE1_v3	combined	1	-7553.69378793895	-7575.95122992011	-22.2574419811581
SBE2_v3	combined	1	-5807.85848799305	-5824.16623570524	-16.3077477121897
SBE3_v3	combined	2	-4440.8827959992	-4421.64019507843	19.2426009207747
