scenario	MLE_1sp	MLE_2sp	BF
FULL_v1	-3301.66175208396	-3281.61289700546	40.0977101570088
FULL_v2	-3301.66175208396	-3260.27989929024	82.7637055874438
FULL_v3	-3301.66175208396	-3285.01848971815	33.2865247316331
FULL_v4	-3301.66175208396	-3289.25847139107	24.8065613857934
FULL_v5	-3301.66175208396	-3299.89939214362	3.52471988068282
FULL_v6	-3301.66175208396	-3299.43826611345	4.44697194102355
FULL_v7	-3301.66175208396	-3302.09432518871	-0.865146209504928
FULL_v8	-3301.66175208396	-3303.56997607377	-3.8164479796169
EXT_v1	-3126.56541276101	-3100.304988137	52.5208492480224
EXT_v2	-3152.39402902525	-3114.04821016639	76.6916377177231
EXT_v3	-2810.17014604927	-2795.10589686807	30.1284983624073
EXT_v4	-2978.46480062853	-2968.61030706016	19.7089871367498
EXT_v5	-2984.81791399068	-2982.78639300286	4.06304197564987
EXT_v6	-2861.67010648587	-2860.20239913663	2.93541469848878
EXT_v7	-3151.90639522151	-3153.36553651614	-2.9182825892658
EXT_v8	-2978.37483179452	-2954.19563777195	48.3583880451306
EXT_v9	-2658.86112443033	-2623.3494286576	71.0233915454537
EXT_v10	-2485.22428630225	-2473.05100743604	24.3465577324241
EXT_v11	-2663.03614696524	-2651.85342666355	22.3654406033847
EXT_v12	-2546.53612232791	-2544.52908291807	4.01407881966952
EXT_v13	-2710.73682154025	-2710.97019751283	-0.466751945147735
EXT_v14	-2483.3627356718	-2462.01547420622	42.6945229311505
EXT_v15	-2329.98782152934	-2299.39825828883	61.1791264810063
EXT_v16	-2165.94852747029	-2153.08982109827	25.7174127440485
EXT_v17	-2220.12788350247	-2210.37213343226	19.5115001404101
EXT_v18	-2396.06531393734	-2395.76997424177	0.590679391148115
EXT_v19	-2156.3718725888	-2137.58804828954	37.5676485985259
EXT_v20	-2009.99444731096	-1978.70990589732	62.5690828272809
EXT_v21	-1720.48217954133	-1706.48060909151	28.0031408996315
EXT_v22	-2068.45405320017	-2061.5348434223	13.8384195557419
EXT_v23	-1836.87923152938	-1816.63609566859	40.486271721571
EXT_v24	-1561.39921375831	-1527.96337708832	66.8716733399929
EXT_v25	-1557.9656223152	-1550.19863081728	15.533982995848
EXT_v26	-1385.99235600489	-1363.21462138022	45.5554692493292
EXT_v27	-1392.28497225512	-1369.80281327402	44.9643179621849
EXT_v28	-1220.29978602007	-1205.61029727065	29.3789774988336
