scenario.name	trait.set	bestK_BIC	BIC.G1	BIC.G2	deltaBIC
FULL_v1	morphology	2	-3057.61405737746	-3034.41128635087	23.2027710265875
SBE1_v1	morphology	2	-2617.04069328795	-2577.10128381378	39.9394094741688
SBE2_v1	morphology	2	-2022.02203462094	-1990.88002187483	31.1420127461085
SBE3_v1	morphology	2	-1597.7691388115	-1566.64720557945	31.1219332320552
FULL_v2	morphology	2	-3057.61405737746	-3034.41128635087	23.2027710265875
SBE1_v2	morphology	2	-2666.47025266295	-2652.95563271552	13.5146199474266
SBE2_v2	morphology	2	-1938.89264047205	-1919.93818986078	18.9544506112723
SBE3_v2	morphology	2	-1189.85627520524	-1180.31520483335	9.54107037189397
FULL_v3	morphology	2	-3057.61405737746	-3034.41128635087	23.2027710265875
SBE1_v3	morphology	1	-2759.27664874575	-2764.23778902261	-4.96114027686281
SBE2_v3	morphology	1	-1836.27424719753	-1857.35699592232	-21.0827487247923
SBE3_v3	morphology	2	-1347.78011845174	-1345.99843517862	1.78168327312528
FULL_v1	plumage	2	-3149.86347070836	-3097.70456737366	52.1589033346972
SBE1_v1	plumage	2	-2680.70187903693	-2621.5439662235	59.1579128134304
SBE2_v1	plumage	2	-2008.33086562806	-1928.34044004196	79.9904255860997
SBE3_v1	plumage	2	-1514.85058792862	-1426.06766068878	88.7829272398485
FULL_v2	plumage	2	-3149.86347070836	-3097.70456737366	52.1589033346972
SBE1_v2	plumage	2	-2719.7479531846	-2651.16262605069	68.5853271339106
SBE2_v2	plumage	2	-1946.37363985594	-1855.89446727431	90.4791725816344
SBE3_v2	plumage	2	-1473.37389392472	-1394.98964262591	78.3842512988094
FULL_v3	plumage	2	-3149.86347070836	-3097.70456737366	52.1589033346972
SBE1_v3	plumage	2	-2840.32453982676	-2778.09198513444	62.2325546923203
SBE2_v3	plumage	2	-2197.71320504091	-2130.2172002874	67.496004753511
SBE3_v3	plumage	2	-1658.09054102667	-1578.11715232586	79.9733887008138
FULL_v1	combined	1	-5896.14840690231	-5902.92113447467	-6.77272757236551
SBE1_v1	combined	2	-5007.6825237636	-4972.07725213713	35.6052716264758
SBE2_v1	combined	2	-3739.90964325675	-3695.34130875485	44.5683345018992
SBE3_v1	combined	2	-2811.8237989362	-2746.35086410218	65.4729348340211
FULL_v2	combined	1	-5896.14840690231	-5902.92113447467	-6.77272757236551
SBE1_v2	combined	2	-5081.96263156998	-5076.5078097455	5.45482182448086
SBE2_v2	combined	2	-3568.60756440004	-3550.18809979878	18.4194646012606
SBE3_v2	combined	2	-2705.71165486248	-2607.92869126067	97.7829636018078
FULL_v3	combined	1	-5896.14840690231	-5902.92113447467	-6.77272757236551
SBE1_v3	combined	1	-5278.27879494536	-5292.1273116578	-13.8485167124481
SBE2_v3	combined	1	-4078.07431515846	-4116.28028583076	-38.2059706723062
SBE3_v3	combined	2	-3048.33098756215	-3023.69957832514	24.6314092370098
